?û³Æ	ItemGenre	DetailType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	ParticularType	ÎïÆ·×î´óµ?·ÅÖµ
M¶nh B«n L«i Toµn Long th­¬ng (6/9) 	4	572	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Kim Quang B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long th­¬ng (7/9) 	4	573	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Kim Quang B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long th­¬ng (8/9) 	4	574	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Kim Quang B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long th­¬ng (9/9) 	4	575	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Kim Quang B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (1/9) 	4	576	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (2/9) 	4	577	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (3/9) 	4	578	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (4/9) 	4	579	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (5/9) 	4	580	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (6/9) 	4	581	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (7/9) 	4	582	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (8/9) 	4	583	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Phôc Ma Tö Kim C«n (9/9) 	4	584	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Phôc Ma Tö Kim C«n. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (1/9) 	4	585	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (2/9) 	4	586	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (3/9) 	4	587	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (4/9) 	4	588	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (5/9) 	4	589	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (6/9) 	4	590	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (7/9) 	4	591	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (8/9) 	4	592	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tø Kh«ng Gi¸ng Ma Giíi ®ao (9/9) 	4	593	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tø Kh«ng Gi¸ng Ma Giíi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (1/9) 	4	594	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (2/9) 	4	595	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (3/9) 	4	596	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (4/9) 	4	597	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (5/9) 	4	598	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (6/9) 	4	599	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (7/9) 	4	600	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (8/9) 	4	601	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §¹i Nh·n ThÇn Chïy (9/9) 	4	602	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (1/9) 	4	603	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (2/9) 	4	604	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (3/9) 	4	605	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (4/9) 	4	606	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (5/9) 	4	607	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (6/9) 	4	608	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (7/9) 	4	609	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (8/9) 	4	610	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B«n L«i Toµn Long Th­¬ng (9/9) 	4	611	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh K? NghiÖp B«n L«i Toµn Long Th­¬ng. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (1/9) 	4	612	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (2/9) 	4	613	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (3/9) 	4	614	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (4/9) 	4	615	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (5/9) 	4	616	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (6/9) 	4	617	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (7/9) 	4	618	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (8/9) 	4	619	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh L­îng Ng©n B¶o §ao (9/9) 	4	620	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Ngù Long L­îng Ng©n B¶o §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (1/9) 	4	621	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (2/9) 	4	622	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (3/9) 	4	623	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (4/9) 	4	624	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (5/9) 	4	625	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (6/9) 	4	626	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (7/9) 	4	627	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (8/9) 	4	628	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh V« Gian û Thiªn Ki?m (9/9) 	4	629	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh V« Gian û Thiªn Ki?m. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (1/9) 	4	630	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (2/9) 	4	631	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (3/9) 	4	632	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (4/9) 	4	633	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (5/9) 	4	634	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (6/9) 	4	635	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (7/9) 	4	636	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (8/9) 	4	637	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Tª Hoµng Phông NghÜa §ao (9/9) 	4	638	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Tª Hoµng Phông Nghi §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (1/9) 	4	639	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (2/9) 	4	640	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (3/9) 	4	641	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (4/9) 	4	642	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (5/9) 	4	643	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (6/9) 	4	644	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (7/9) 	4	645	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (8/9) 	4	646	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (9/9) 	4	647	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B?ch H¶i Uyªn ¦¬ng Liªn Hoµn §ao. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Minh ¶o Tµ S¸t §éc NhËn (1/9) 	4	648	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Minh ¶o Tµ S¸t §éc NhËn. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Minh ¶o Tµ S¸t §éc NhËn (2/9) 	4	649	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Minh ¶o Tµ S¸t §éc NhËn. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Minh ¶o Tµ S¸t §éc NhËn (3/9) 	4	650	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Minh ¶o Tµ S¸t §éc NhËn. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Minh ¶o Tµ S¸t §éc NhËn (4/9) 	4	651	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh Minh ¶o Tµ S¸t §éc NhËn. ChØ cÇn thu thËp ®ñ bé 9 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
