sourcename	targetname
H­ viªn ph­¬ng tr­îng 	H­ viªn ph­¬ng tr­îng

Long truy vò 	Long truy vò

§inh a b»ng 	§inh a b»ng

§ao liªn anh 	§ao liªn anh

§æng kh¾c dÜ 	§æng kh¾c dÜ

Töu kh¸ch 	Töu kh¸ch

N«ng d©n chuyªn trång hoa 	N«ng d©n chuyªn trång hoa

A kú 	A kú

V¨n v¨n 	V¨n v¨n

§oµn l·o h¸n 	§oµn l·o h¸n

Nh­ng h¹nh hoa 	Nh­ng h¹nh hoa

B¹ch l·o h¸n 	B¹ch l·o h¸n

Xa l·o th¸i 	Xa l·o th¸i

§o¹n ngäc ph­îng 	§o¹n ngäc ph­îng

C¸ t«m than 	C¸ t«m than

Ng­êi ®¸nh c¸ Êt 	Ng­êi ®¸nh c¸ Êt

Ng­êi ®¸nh c¸ ®inh 	Ng­êi ®¸nh c¸ ®inh

Ng­êi ®¸nh c¸ bİnh 	Ng­êi ®¸nh c¸ bİnh

Ng­êi ®¸nh c¸ gi¸p 	Ng­êi ®¸nh c¸ gi¸p

¸c b¸ tay ch©n 	¸c b¸ tay ch©n

¸c b¸ 	¸c b¸

L­u manh 	L­u manh

Th­¬ng l·ng kh¸ch 	Th­¬ng l·ng kh¸ch

A quúnh 	A quúnh

TrÇm gia 	TrÇm gia

LiÔu diÖp mµ 	LiÔu diÖp mµ

A toµn bé 	A toµn bé

A m· 	A m·

A nguyªn 	A nguyªn

Ng« nghiÔn nh©n 	Ng« nghiÔn nh©n

DuÉn hµm yªn 	DuÉn hµm yªn

Yªn hiÓu xinh ®Ñp 	Yªn hiÓu xinh ®Ñp

G× mé tuyÕt 	G× mé tuyÕt

GiÆc cá 	GiÆc cá

V« danh l·o gi¶ 	V« danh l·o gi¶

H¶i ®­êng sø gi¶ ly thu thñy 	H¶i ®­êng sø gi¶ ly thu thñy

NÕu lan 	NÕu lan

Phong tróc 	Phong tróc

Ng¹o mai 	Ng¹o mai

C­êi cóc 	C­êi cóc

Hång hå 	Hång hå

Tù ngäc 	Tù ngäc

XÊu hæ hoa 	XÊu hæ hoa

Nh­ hoa 	Nh­ hoa

BÕ nguyÖt 	BÕ nguyÖt

Thóy yªn ®Ö tö 	Thóy yªn ®Ö tö

TuyÕt lang 	TuyÕt lang

Man nh©n 	Man nh©n

Thö c«ng bia 	Thö c«ng bia

L¹c cöu thiªn 	L¹c cöu thiªn

§o¹n kİch 	§o¹n kİch

ThiÕt cøc 	ThiÕt cøc

ThÊt s¸t ®éng tö tï 	ThÊt s¸t ®éng tö tï

H¹t tö tinh 	H¹t tö tinh

§éc xµ 	§éc xµ

H÷u hé ph¸p Da LuËt İch ly 	H÷u hé ph¸p Da LuËt İch ly

Thiªn nhÉn gi¸o chñ hoµn nhan hoµnh liÖt 	Thiªn nhÉn gi¸o chñ hoµn nhan hoµnh liÖt

Löa ®­êng ®­êng chóa ngét ngao 	Löa ®­êng ®­êng chóa ngét ngao

Qu©n s­ 	Qu©n s­

Trong th¸p h·n 	Trong th¸p h·n

Vò ®Şch 	Vò ®Şch

Kú h÷u 	Kú h÷u

T¶ hé ph¸p hä §oan Méc duÖ 	T¶ hé ph¸p hä §oan Méc duÖ

Phong ®­êng ®­êng chóa hoµn nhan tuyÕt y 	Phong ®­êng ®­êng chóa hoµn nhan tuyÕt y

NhËt nguyÖt ®µn chñ « hîp t¸t 	NhËt nguyÖt ®µn chñ « hîp t¸t

TiÓu nam hµi 	TiÓu nam hµi

Kim quèc cung Binh 	Kim quèc cung Binh

Kim quèc th­¬ng binh 	Kim quèc th­¬ng binh

Kim quèc viÖc binh ®ao 	Kim quèc viÖc binh ®ao

Kim quèc cung tiÕn thñ 	Kim quèc cung tiÕn thñ

Qu©n Kim gi¸p 	Qu©n Kim gi¸p

Kim quèc phã t­íng 	Kim quèc phã t­íng

Kim quèc qu©n y 	Kim quèc qu©n y

Kim quèc ®¹i t­íng 	Kim quèc ®¹i t­íng

TriÒu ®¹i Nam Tèng cung Binh 	TriÒu ®¹i Nam Tèng cung Binh

TriÒu ®¹i Nam Tèng th­¬ng binh 	TriÒu ®¹i Nam Tèng th­¬ng binh

TriÒu ®¹i Nam Tèng viÖc binh ®ao 	TriÒu ®¹i Nam Tèng viÖc binh ®ao

C«ng sù phßng ngù 	C«ng sù phßng ngù

Kim quèc hËu ph­¬ng qu©n y 	Kim quèc hËu ph­¬ng qu©n y

Tèng qu©n hËu ph­¬ng qu©n y 	Tèng qu©n hËu ph­¬ng qu©n y

Nam Tèng t­íng qu©n 	Nam Tèng t­íng qu©n

TriÒu ®¹i Nam Tèng phã t­íng 	TriÒu ®¹i Nam Tèng phã t­íng

Tèng qu©n qu©n y 	Tèng qu©n qu©n y

TriÒu ®¹i Nam Tèng cung tiÕn thñ 	TriÒu ®¹i Nam Tèng cung tiÕn thñ

Nam Tèng thèng lÜnh 	Nam Tèng thèng lÜnh

Tèng vò khİ 	Tèng vò khİ

ThiÕu L©m ®ång nh©n 	ThiÕu L©m ®ång nh©n

ThiÕu L©m t¨ng Binh 	ThiÕu L©m t¨ng Binh

T¨ng Binh thñ lÜnh 	T¨ng Binh thñ lÜnh

Kim c­¬ng nh©n 	Kim c­¬ng nh©n

Rõng t©m 	Rõng t©m

HuyÒn gi¸c 	HuyÒn gi¸c

Rõng vi 	Rõng vi

Rõng tiÕt 	Rõng tiÕt

Ng­êi tiÕp kh¸ch t¨ng 	Ng­êi tiÕp kh¸ch t¨ng

Rõng m¹t 	Rõng m¹t

Mª hoÆc 	Mª hoÆc

M¹ch anh 	M¹ch anh

Ph­¬ng tr­îng huyÒn nh©n 	Ph­¬ng tr­îng huyÒn nh©n

Ng­êi m¸y 	Ng­êi m¸y

HuyÒn nan 	HuyÒn nan

HuyÒn tõ 	HuyÒn tõ

HuyÒn bi 	HuyÒn bi

Chu tiªn trÊn hiÖu cÇm ®å l·o b¶n 	Chu tiªn trÊn hiÖu cÇm ®å l·o b¶n

Chu tiªn trÊn thuèc ®iÕm l·o b¶n 	Chu tiªn trÊn thuèc ®iÕm l·o b¶n

A mao 	A mao

Hµng th¸ng 	Hµng th¸ng

Chu tiªn trÊn tªn khÊt c¸i 	Chu tiªn trÊn tªn khÊt c¸i

Song song 	Song song

Chu tÈu 	Chu tÈu

DŞu dµng 	DŞu dµng

Chu tiªn trÊn kh¸ch s¹n b×nh d©n l·o b¶n 	Chu tiªn trÊn kh¸ch s¹n b×nh d©n l·o b¶n

Më lín nguyªn 	Më lín nguyªn

LÖ ®Ñp 	LÖ ®Ñp

V©n nhi 	V©n nhi

A h¾c 	A h¾c

GÊu con 	GÊu con

TrÇn tÈu 	TrÇn tÈu

L·o M· 	L·o M·

L·o Chu 	L·o Chu

T«n l·o ®Çu 	T«n l·o ®Çu

M¹nh hóc 	M¹nh hóc

Lı tæ ®øc 	Lı tæ ®øc

§¹i ®é thiÒn s­ 	§¹i ®é thiÒn s­

T«n tó tµi 	T«n tó tµi

TrÇn tam b¶o 	TrÇn tam b¶o

Ph­¬ng l·o th¸i 	Ph­¬ng l·o th¸i

T©n khİ nhanh 	T©n khİ nhanh

Lç toµn bé 	Lç toµn bé

T©n ®¹i c« 	T©n ®¹i c«

B¹ch c«ng tö 	B¹ch c«ng tö

C¬ l·o b¶n 	C¬ l·o b¶n

Khóc thî rÌn 	Khóc thî rÌn

§­êng l·o ®a 	§­êng l·o ®a

§«ng mai 	§«ng mai

Tr×nh ®¹i gia 	Tr×nh ®¹i gia

Töu l©u l·o b¶n 	Töu l©u l·o b¶n

V­¬ng thî rÌn 	V­¬ng thî rÌn

TiÓu H¶i 	TiÓu H¶i

Anh tö 	Anh tö

L­u viªn ngo¹i 	L­u viªn ngo¹i

V­¬ng phu nh©n 	V­¬ng phu nh©n

Xu©n hoa 	Xu©n hoa

Nh­ ngäc 	Nh­ ngäc

Hoµng lín nhá 	Hoµng lín nhá

Phã nam b¨ng 	Phã nam b¨ng

Ng­êi quÌ lı 	Ng­êi quÌ lı

Tr­¬ng qu¶ phô 	Tr­¬ng qu¶ phô

Kim quèc vâ sÜ 	Kim quèc vâ sÜ

Th­¬ng binh 	Th­¬ng binh

Cung Binh 	Cung Binh

ViÖc binh ®ao 	ViÖc binh ®ao

Tæng binh 	Tæng binh

Sµi cÈu 	Sµi cÈu

M¹nh xa tµi 	M¹nh xa tµi

Lı tı 	Lı tı

V­¬ng ng« 	V­¬ng ng«

La khu«ng sinh 	La khu«ng sinh

Tr­¬ng t¸n 	Tr­¬ng t¸n

Kú «ng 	Kú «ng

Ng­êi ph­¬ng nµo ta 	Ng­êi ph­¬ng nµo ta

Xµ ba tr­îng 	Xµ ba tr­îng

M¹nh th­¬ng l·ng 	M¹nh th­¬ng l·ng

Ngôy «ng 	Ngôy «ng

Hæ quyÒn 	Hæ quyÒn

Hoa b¸o 	Hoa b¸o

Xİch DiÔm 	Xİch DiÔm

H¹c ®i 	H¹c ®i

§¹i thanh lang 	§¹i thanh lang

§¹i tuyÕt lang 	§¹i tuyÕt lang

Háa ho¹n hå 	Háa ho¹n hå

Thiªn nhÉn cao thñ l«i quyÕt 	Thiªn nhÉn cao thñ l«i quyÕt

Hoµng viªm hæ 	Hoµng viªm hæ

NhuËn nhµ mÑ ®Î b¸o 	NhuËn nhµ mÑ ®Î b¸o

NhuËn nhµ mÑ ®Î hæ 	NhuËn nhµ mÑ ®Î hæ

B¹ch ngäc hæ 	B¹ch ngäc hæ

NhuËn n­¬ng 	NhuËn n­¬ng

Cai tï 	Cai tï

TriÖu ®µ chñ 	TriÖu ®µ chñ

DiÔn vâ tr­êng hé vÖ 	DiÔn vâ tr­êng hé vÖ

NhÊt vi ph¸p s­ 	NhÊt vi ph¸p s­

BĞ 	BĞ

Tr¹m dŞch dŞch quan 	Tr¹m dŞch dŞch quan

Tèng bµ bµ 	Tèng bµ bµ

Say b¸n tiªn 	Say b¸n tiªn

T«n viªn ngo¹i 	T«n viªn ngo¹i

Tèng t­ v¨n 	Tèng t­ v¨n

Ch©u ch©u 	Ch©u ch©u

Giang nhÊt tiªu 	Giang nhÊt tiªu

TiÓn hiÓu ch©n 	TiÓn hiÓu ch©n

§Şnh gi¸ tiªn sinh 	§Şnh gi¸ tiªn sinh

Së së 	Së së

Tèng viªn ngo¹i 	Tèng viªn ngo¹i

TrÇm phu nh©n 	TrÇm phu nh©n

Nh­ ı 	Nh­ ı

TrÇm phong 	TrÇm phong

Tiªu ®Çu 	Tiªu ®Çu

Nh¹c Thanh thu 	Nh¹c Thanh thu

B¸n hoa n÷ 	B¸n hoa n÷

Hoa ®¨ng lang 	Hoa ®¨ng lang

UyÓn n­¬ng 	UyÓn n­¬ng

Nh©m thiªn nhai 	Nh©m thiªn nhai

TrÇn lùc m¹nh 	TrÇn lùc m¹nh

§ç l·o b¶n 	§ç l·o b¶n

LiÔu ®¹i gia 	LiÔu ®¹i gia

C©y cá m·ng 	C©y cá m·ng

§¹i ng¹c c¸ 	§¹i ng¹c c¸

§¹i cãc 	§¹i cãc

§¹i c©y cá m·ng 	§¹i c©y cá m·ng

Tõ ®¹i nh¹c 	Tõ ®¹i nh¹c

Tõ vïng Trung Nguyªn 	Tõ vïng Trung Nguyªn

L¸ kÕ mü 	L¸ kÕ mü

Chu v©n tuyÒn 	Chu v©n tuyÒn

Ngäc thô 	Ngäc thô

Hoa hµnh 	Hoa hµnh

Vò §­¬ng thŞ ®ång tr¨ng s¸ng 	Vò §­¬ng thŞ ®ång tr¨ng s¸ng

Lı thiªn môc 	Lı thiªn môc

Ch­ëng th­ 	Ch­ëng th­

Vò §­¬ng thŞ ®ång giã m¸t 	Vò §­¬ng thŞ ®ång giã m¸t

Th­¬ng lang 	Th­¬ng lang

D· lang 	D· lang

Diªu cöa ®¸ 	Diªu cöa ®¸

Vò §­¬ng ch­ëng m«n nãi nhÊt ch©n nh©n 	Vò §­¬ng ch­ëng m«n nãi nhÊt ch©n nh©n

§an t­ nam 	§an t­ nam

Tr­¬ng Tam 	Tr­¬ng Tam

Lı Tø 	Lı Tø

§­êng thóc 	§­êng thóc

T­¬ng phong 	T­¬ng phong

§¹o h­¬ng th«n hiÖu cÇm ®å l·o b¶n 	§¹o h­¬ng th«n hiÖu cÇm ®å l·o b¶n

T« b¸c g¸i 	T« b¸c g¸i

T« trung 	T« trung

Lı tó tµi 	Lı tó tµi

Thuı ngäc 	Thuı ngäc

§¹o h­¬ng th«n thuèc ®iÕm l·o b¶n 	§¹o h­¬ng th«n thuèc ®iÕm l·o b¶n

Con r¾n 	Con r¾n

§¹o h­¬ng th«n kh¸ch s¹n b×nh d©n l·o b¶n 	§¹o h­¬ng th«n kh¸ch s¹n b×nh d©n l·o b¶n

V©n du bèn ph­¬ng th­¬ng nh©n 	V©n du bèn ph­¬ng th­¬ng nh©n

D­¬ng bµ bµ 	D­¬ng bµ bµ

V­¬ng nhŞ tÈu 	V­¬ng nhŞ tÈu

V­¬ng hæ 	V­¬ng hæ

Trµ ®iÕm l·o b¶n 	Trµ ®iÕm l·o b¶n

Hoa hoa 	Hoa hoa

Thî s¨n 	Thî s¨n

TiÓu lan 	TiÓu lan

Sê kho¶ng kh«ng nguyÖt 	Sê kho¶ng kh«ng nguyÖt

TuyÖt s¸t 	TuyÖt s¸t

TuyÖt chĞm 	TuyÖt chĞm

Tõ m­a ph¸p s­ 	Tõ m­a ph¸p s­

Ph¹m cha 	Ph¹m cha

Ph¹m nhŞ xu©n 	Ph¹m nhŞ xu©n

Ng« l·o th¸i 	Ng« l·o th¸i

Hæ tö ®a 	Hæ tö ®a

C¶nh l·o ®Çu 	C¶nh l·o ®Çu

Diªu diªu 	Diªu diªu

Ph¹m ®¹i c­êng 	Ph¹m ®¹i c­êng

Cung a bß 	Cung a bß

Cung l·o th¸i 	Cung l·o th¸i

§o¹n tó tµi 	§o¹n tó tµi

B¹ch v©n 	B¹ch v©n

Hµ c« 	Hµ c«

L­u h»ng 	L­u h»ng

H­¬ng nhi 	H­¬ng nhi

TiÓu ®Æng tö 	TiÓu ®Æng tö

Phïng mËp m¹p 	Phïng mËp m¹p

Cæ tİnh to¸n tµi t×nh 	Cæ tİnh to¸n tµi t×nh

D­a phiÕn 	D­a phiÕn

Hµ l·o b¶n 	Hµ l·o b¶n

§Æng gia tÈu tö 	§Æng gia tÈu tö

Diªu gia 	Diªu gia

Qu¸ch viªn ngo¹i 	Qu¸ch viªn ngo¹i

T­¬ng D­¬ng Thñ t­íng 	T­¬ng D­¬ng Thñ t­íng

Bµng vËt ®iÕm l·o b¶n n­¬ng 	Bµng vËt ®iÕm l·o b¶n n­¬ng

Sñng vËt l·o b¶n n­¬ng 	Sñng vËt l·o b¶n n­¬ng

Sñng vËt ®iÕm l·o b¶n n­¬ng 	Sñng vËt ®iÕm l·o b¶n n­¬ng

HiÖu cÇm ®å l·o b¶n n÷ nhi 	HiÖu cÇm ®å l·o b¶n n÷ nhi

§Ëu §Ëu n­¬ng 	§Ëu §Ëu n­¬ng

ThÇn bİ th­¬ng nh©n liÔu Êt 	ThÇn bİ th­¬ng nh©n liÔu Êt

Kim quèc vÖ binh 	Kim quèc vÖ binh

Hay Èn t­íng c«ng 	Hay Èn t­íng c«ng

TiÖm t¹p hãa l·o b¶n n­¬ng 	TiÖm t¹p hãa l·o b¶n n­¬ng

Thæ phØ gi¸p 	Thæ phØ gi¸p

Thæ phØ Êt 	Thæ phØ Êt

Hßm gi÷ ®å 	Hßm gi÷ ®å

S¬n tÆc gi¸p 	S¬n tÆc gi¸p

S¬n tÆc Êt 	S¬n tÆc Êt

S¬n tÆc ®Çu lÜnh 	S¬n tÆc ®Çu lÜnh

Trß ch¬i më réng viªn 	Trß ch¬i më réng viªn

Kim qu©n mé binh quan 	Kim qu©n mé binh quan

Kim qu©n xa phu 	Kim qu©n xa phu

Kim qu©n quan tiÕp liÖu 	Kim qu©n quan tiÕp liÖu

Ng­êi chÌo thuyÒn bİnh 	Ng­êi chÌo thuyÒn bİnh

Ng­êi chÌo thuyÒn gi¸p 	Ng­êi chÌo thuyÒn gi¸p

Xu©n h­¬ng bµ bµ 	Xu©n h­¬ng bµ bµ

ViÖc binh ®ao ®éi tr­ëng 	ViÖc binh ®ao ®éi tr­ëng

ViÖc binh ®ao thèng lÜnh 	ViÖc binh ®ao thèng lÜnh

§éc xµ tinh 	§éc xµ tinh

Con bß c¹p v­¬ng 	Con bß c¹p v­¬ng

¸c b¸ b¶o tiªu 	¸c b¸ b¶o tiªu

¸c b¸ hé viÖn 	¸c b¸ hé viÖn

C¸ sÊu tinh 	C¸ sÊu tinh

Cãc tinh 	Cãc tinh

Cung Binh thèng lÜnh 	Cung Binh thèng lÜnh

Hoa con b¸o 	Hoa con b¸o

Ho¸n hïng tinh 	Ho¸n hïng tinh

Kim Elvis 	Kim Elvis

Anh chµng lç m·ng ®Çu lÜnh 	Anh chµng lç m·ng ®Çu lÜnh

Méc nh©n (30000 sinh mÖnh)	Méc nh©n (30000 sinh mÖnh)

Cäc gç (3000 sinh mÖnh)	Cäc gç (3000 sinh mÖnh)

Ph¶n tÆc ®Çu môc 	Ph¶n tÆc ®Çu môc

Th­¬ng binh ®éi tr­ëng 	Th­¬ng binh ®éi tr­ëng

Bao c¸t (10000 sinh mÖnh)	Bao c¸t (10000 sinh mÖnh)

B¸o xa-li tinh 	B¸o xa-li tinh

B¸o tuyÕt v­¬ng 	B¸o tuyÕt v­¬ng

Ngäc diÖn ph¸n quan 	Ngäc diÖn ph¸n quan

Con nhÖn tinh 	Con nhÖn tinh

C«ng thµnh trïng xa 	C«ng thµnh trïng xa

§Çu th¹ch xa 	§Çu th¹ch xa

Næi trèng binh sÜ 	Næi trèng binh sÜ

Cê tung bay binh sÜ 	Cê tung bay binh sÜ

C«ng thµnh c«ng ph­¬ng hoµn chØnh long trô 	C«ng thµnh c«ng ph­¬ng hoµn chØnh long trô

C«ng thµnh c«ng ph­¬ng tæn h¹i long trô 	C«ng thµnh c«ng ph­¬ng tæn h¹i long trô

C«ng thµnh thñ ph­¬ng hoµn chØnh long trô 	C«ng thµnh thñ ph­¬ng hoµn chØnh long trô

C«ng thµnh thñ ph­¬ng tæn h¹i long trô 	C«ng thµnh thñ ph­¬ng tæn h¹i long trô

C«ng thµnh chiÕn hoµn chØnh cöa thµnh 	C«ng thµnh chiÕn hoµn chØnh cöa thµnh

C«ng thµnh chiÕn tæn h¹i cöa thµnh 	C«ng thµnh chiÕn tæn h¹i cöa thµnh

L­îc phong 	L­îc phong

XĞ trêi 	XĞ trêi

B¾c ng¹n ng­êi chÌo thuyÒn bİnh 	B¾c ng¹n ng­êi chÌo thuyÒn bİnh

Bê phİa nam ng­êi chÌo thuyÒn bİnh 	Bê phİa nam ng­êi chÌo thuyÒn bİnh

Bê phİa nam ng­êi chÌo thuyÒn Êt 	Bê phİa nam ng­êi chÌo thuyÒn Êt

B¾c ng¹n ng­êi chÌo thuyÒn Êt 	B¾c ng¹n ng­êi chÌo thuyÒn Êt

B¾c ng¹n ng­êi chÌo thuyÒn gi¸p 	B¾c ng¹n ng­êi chÌo thuyÒn gi¸p

Bê phİa nam ng­êi chÌo thuyÒn gi¸p 	Bê phİa nam ng­êi chÌo thuyÒn gi¸p

C«ng b×nh tö 	C«ng b×nh tö

ThuËt dŞch dung sÜ 	ThuËt dŞch dung sÜ

Phôc ba 	Phôc ba

Tèng qu©n xa phu 	Tèng qu©n xa phu

Tèng qu©n mé binh quan 	Tèng qu©n mé binh quan

Mòi tªn 	Mòi tªn

B¾n lĞn 	B¾n lĞn

M«ng Cæ vâ sÜ 	M«ng Cæ vâ sÜ

M¹c kÎ trém 	M¹c kÎ trém

L­ít sãng 	L­ít sãng

Sa ®¹o 	Sa ®¹o

ThÇn c¸nh tay 	ThÇn c¸nh tay

Thñy kÎ trém 	Thñy kÎ trém

Tèng qu©n quan tiÕp liÖu 	Tèng qu©n quan tiÕp liÖu

§i th¹ch 	§i th¹ch

Si t¨ng 	Si t¨ng

Phi sa 	Phi sa
