ATLAS_NAME	ATLAS_GENRE	ATLAS_DETAILTYPE	ATLAS_PARTICULAR	1_NAME	1_GENRE	1_DETAILTYPE	1_PARTICULAR	1_LEVEL	1_SERIES	1_MAGIC_ID	2_NAME	2_GENRE	2_DETAILTYPE	2_PARTICULAR	2_LEVEL	2_SERIES	2_MAGIC_ID	3_NAME	3_GENRE	3_DETAILTYPE	3_PARTICULAR	3_LEVEL	3_SERIES	3_MAGIC_ID	4_NAME	4_GENRE	4_DETAILTYPE	4_PARTICULAR	4_LEVEL	4_SERIES	4_MAGIC_ID	5_NAME	5_GENRE	5_DETAILTYPE	5_PARTICULAR	5_LEVEL	5_SERIES	5_MAGIC_ID	6_NAME	6_GENRE	6_DETAILTYPE	6_PARTICULAR	6_LEVEL	6_SERIES	6_MAGIC_ID	DES_NAME	DES_QUALITY	DES_GENRE	DES_DETAILTYPE	DES_PARTICULAR	DES_LEVEL	DES_SERIES	DES_PIECE	DES_PIECESUM	DES_VALUES
§å phæ Hoµng Kim - BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	6	1	289	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Thóy Yªn Song ®ao	6	1	41				Chu Sa kho¸ng	6	1	204	5		89	Phï Dung Th¹ch	6	1	203	4	2	169															M¶nh BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao (9/9) 	0	4	647	1	0	0	9	9	70000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (1/9) 	0	4	648	1	0	0	1	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (2/9) 	0	4	649	1	0	0	2	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (3/9) 	0	4	650	1	0	0	3	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (4/9) 	0	4	651	1	0	0	4	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (5/9) 	0	4	652	1	0	0	5	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (6/9) 	0	4	653	1	0	0	6	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (7/9) 	0	4	654	1	0	0	7	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (8/9) 	0	4	655	1	0	0	8	9	950000000
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				M¶nh Minh ¶o Tµ S¸t §éc NhËn (9/9) 	0	4	656	1	0	0	9	9	950000000
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (1/9) 	0	4	657	1	0	0	1	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (2/9) 	0	4	658	1	0	0	2	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (3/9) 	0	4	659	1	0	0	3	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (4/9) 	0	4	660	1	0	0	4	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (5/9) 	0	4	661	1	0	0	5	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (6/9) 	0	4	662	1	0	0	6	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (7/9) 	0	4	663	1	0	0	7	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (8/9) 	0	4	664	1	0	0	8	9	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	HuyÒn ThiÕt kho¸ng	6	1	200	8		89	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	8		89	HuyÒn ThiÕt kho¸ng	6	1	200	8		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Hoa Vò M¹n Thiªn (9/9) 	0	4	665	1	0	0	9	9	0
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (1/9) 	0	4	666	1	0	0	1	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (2/9) 	0	4	667	1	0	0	2	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (3/9) 	0	4	668	1	0	0	3	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (4/9) 	0	4	669	1	0	0	4	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (5/9) 	0	4	670	1	0	0	5	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (6/9) 	0	4	671	1	0	0	6	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (7/9) 	0	4	672	1	0	0	7	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (8/9) 	0	4	673	1	0	0	8	9	1200000000
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	5		126	Chu Sa kho¸ng	6	1	204	5		89	HuyÒn ThiÕt kho¸ng	6	1	200	5		115	Phï Dung Th¹ch	6	1	203	4	0	121	Vâ L©m MËt TÞch	6	1	26				M¶nh Phi Tinh §o¹t Hån (9/9) 	0	4	674	1	0	0	9	9	1200000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (1/9) 	0	4	675	1	0	0	1	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (2/9) 	0	4	676	1	0	0	2	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (3/9) 	0	4	677	1	0	0	3	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (4/9) 	0	4	678	1	0	0	4	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (5/9) 	0	4	679	1	0	0	5	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (6/9) 	0	4	680	1	0	0	6	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (7/9) 	0	4	681	1	0	0	7	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (8/9) 	0	4	682	1	0	0	8	9	4000000000
§å phæ Hoµng Kim - §Þch Kh¸i Lôc Ngäc Tr­îng	6	1	334	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	6		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	8	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	C¸i Bang C«n ph¸p	6	1	55				M¶nh Lôc Ngäc Tr­îng (9/9) 	0	4	683	1	0	0	9	9	4000000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (1/9) 	0	4	684	1	0	0	1	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (2/9) 	0	4	685	1	0	0	2	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (3/9) 	0	4	686	1	0	0	3	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (4/9) 	0	4	687	1	0	0	4	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (5/9) 	0	4	688	1	0	0	5	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (6/9) 	0	4	689	1	0	0	6	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (7/9) 	0	4	690	1	0	0	7	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (8/9) 	0	4	691	1	0	0	8	9	1800000000
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	HuyÒn ThiÕt kho¸ng	6	1	200	7		126	MËt Ng©n kho¸ng	6	1	202	6		166	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	5	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh U Minh Th­¬ng (9/9) 	0	4	692	1	0	0	9	9	1800000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (1/9) 	0	4	693	1	0	0	1	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (2/9) 	0	4	694	1	0	0	2	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (3/9) 	0	4	695	1	0	0	3	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (4/9) 	0	4	696	1	0	0	4	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (5/9) 	0	4	697	1	0	0	5	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (6/9) 	0	4	698	1	0	0	6	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (7/9) 	0	4	699	1	0	0	7	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (8/9) 	0	4	700	1	0	0	8	9	8000000000
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	8		166	Chu Sa kho¸ng	6	1	204	7		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	6	2	123	Vâ L©m MËt TÞch	6	1	26				M¶nh Ch©n Vò KiÕm (9/9) 	0	4	701	1	0	0	9	9	8000000000
