Id	EventId	Name	StartDate	EndDate	Message	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	Param9	Param10	Param11	Param12	Param13	Param14	Param15	Param16	Param17	Param18	Param19	Param20
51	2	§æi [Tam s¾c chi b¶o] thµnh kinh nghiÖm	200909250000	200911020000	DailogOption("B¸nh §¹i C¸t","§æi 1[Tam s¾c chi b¶o] ®­îc 5.000.000 Exp, x¸c nhËn muèn ®æi?","")	PlayerFunLib:CheckItemInBag("return {szName=\"Tam s¾c chi b¶o\",tbProp={6,1,2135,1,0,0},}",1,"Trªn hµnh trang kh«ng cã tam s¾c chi b¶o.")	PlayerFunLib:CheckLevel(50,"default",">=")	PlayerFunLib:IsCharged("Yªu cÇn ph¶i lµ tµi kho¶n nép thÎ")	PlayerFunLib:CheckTask(2644,200,"i. Mçi nh©n vËt chØ cã tèi ®a 200 lÇn cho c¶ 2 viÖc “®æi vµ nép” [Tam S¾c Chi B¶o] ë NPC [B¸nh §¹i C¸t].","<")							PlayerFunLib:ConsumeEquiproomItem("return {szName=\"ÈıÉ«Ö®±¦\",tbProp={6,1,2135,1,0,0},}",1)	PlayerFunLib:AddExp(5000000,0,"MidAutumn,HandInSanseZhiBaoForExp")	PlayerFunLib:AddTask(2644,1)							
52	2	Xem b¶ng xÕp h¹ng	200909250000	200911090000	DailogOption("B¸nh §¹i C¸t","","")											PlayerFunLib:ShowSubDailog("dajibingpaiming","Sè l­îng toµn server <lua gb_GetTask(\"ZhongqiuDajibin2009\", 1)/><enter><lua LadderFunLib:GetInfo(10266, \"H¹ng\",\"Bang héi\",\"§iÓm\")/>")									
53	2	Chung tay x©y dùng		200911090000	DailogOption("LÔ Quan","","city")											PlayerFunLib:ShowSubDailog("liguan1.2","LÔ Quan: Ho¹t ®éng “Chung tay x©y dùng” diÔn ra tõ ngµy <color=yellow>25/09/2009 ®Õn 0h00 02/11/2009<color>. Trong thêi gian ho¹t ®éng, ®¹i hiÖp cã thÓ thu thËp “Qu©n trang Tèng Kim” tõ viÖc sö dông “Song ng­u tÒ nguyÖt”. §¹i hiÖp cã thÓ dïng “Qu©n trang Tèng Kim” vµ ®iÓm tİch lòy Tèng Kim ®Ó ®èi lÊy “Tam S¾c Chi B¶o”. Cã thÓ ®æi “Tam S¾c Chi B¶o” cho NPC [B¸nh §¹i C¸t] ®Ó nhËn lÊy phÇn th­ëng ®iÓm kinh nghiÖm hoÆc hoÆc chung tay x©y dùng 1 c¸i b¸nh khæng lå")									
54	2	C©y ®a thÇn kú		200911020000	DailogOption("LÔ Quan","","city")											PlayerFunLib:ShowSubDailog("liguan1.3","LÔ Quan: Ho¹t ®éng “C©y ®a thÇn kú” diÔn ra tõ ngµy <color=yellow>25/09/2009 ®Õn 0h00 02/11/2009<color>. Vµo ngµy thø 5, 6, 7, Chñ nhËt mçi ngµy cã 2 ®ît diÔn ra, trong mçi ®ît 2 NPC C©y ®a thÇn vµ C©y ®a nguyÖt thÇn sÏ xuÊt hiÖn ngÉu nhiªn ë c¸c b¶n ®å luyÖn c«ng, ®¹i hiÖp cã thÓ h¸i nh÷ng chiÕc l¸ tõ 2 NPC nµy vÒ nép cho NPC Chó Cuéi ®Ó nhËn phÇn th­ëng kinh nghiÖm vµ tİch lòy ®iÓm c«ng ®øc cho bang héi. TOP 10 bang héi cã ®iÓm c«ng ®øc cao nhÊt trong mçi ®ît, mçi tuÇn hoÆc trong suèt thêi gian  ho¹t ®éng sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.")									
55	2	Tèng Kim rùc löa		200911020000	DailogOption("LÔ Quan","","city")											PlayerFunLib:ShowSubDailog("liguan1.4","Ho¹t ®éng “Tèng Kim rùc löa” diÔn ra tõ ngµy <color=yellow>25/09/2009 ®Õn 0h00 02/11/2009<color>. Trong 1 ngµy nÕu ng­êi ch¬i tham gia chiÕn tr­êng Tèng Kim cµng nhiÒu lÇn th× ng­êi ch¬i sÏ nhËn ®­îc phÇn th­ëng ®iÓm kinh nghiÖm cµng nhiÒu vµ ®iÓm kinh nghiÖm sÏ cµng nhiÒu h¬n nÕu ng­êi ch¬i ë phe th¾ng cuéc. Ngoµi ra mçi ngµy, ­u tiªn cho 10 ng­êi ch¬i nhanh nhÊt cã thÓ ®æi ®iÓm tİch lòy Tèng Kim thµnh phÇn th­ëng ®iÓm kinh nghiÖm vµ M¶nh Bæ Thiªn Th¹ch (Trung).")									
56	2	Lµm b¸nh trung thu		0	DailogOption("jinnangshijian","","")											PlayerFunLib:ShowSubDailog("jinnangshijian1","Ho¹t ®éng “Song ng­u tÒ nguyÖt” diÔn ra tõ ngµy <color=yellow>25/09/2009 ®Õn 0h00 02/11/2009<color>. Trong thêi gian ho¹t ®éng, ®¹i hiÖp cã thÓ thu thËp “Cùc phÈm chi nguyªn” tõ viÖc ®¸nh qu¸i, mua “ThÊt truyÒn bİ ph¸p” tõ Kú Tr©n C¸c. §¹i hiÖp cã thÓ dïng c¸c nguyªn liÖu nµy ®èi lÊy “NhËt NguyÖt song hµnh”, vµ “Song ng­u tÒ nguyÖt” ®Ó nhËn ®­îc phÇn th­ëng ®iÓm kinh nghiÖm vµ vËt phÈm phong phó.")									
57	2	NhiÖm vô ®¸nh qu¸i		0	DailogOption("jinnangshijian","","")											PlayerFunLib:ShowSubDailog("jinnangshijian2","Ho¹t ®éng “Song ng­u tÒ nguyÖt” diÔn ra tõ ngµy <color=yellow>25/09/2009 ®Õn 0h00 02/11/2009<color>. Trong thêi gian ho¹t ®éng, ®¹i hiÖp cã thÓ thu thËp “Cùc phÈm chi nguyªn” tõ viÖc ®¸nh qu¸i, mua “ThÊt truyÒn bİ ph¸p” tõ Kú Tr©n C¸c. §¹i hiÖp cã thÓ dïng c¸c nguyªn liÖu nµy ®èi lÊy “NhËt NguyÖt song hµnh”, vµ “Song ng­u tÒ nguyÖt” ®Ó nhËn ®­îc phÇn th­ëng ®iÓm kinh nghiÖm vµ vËt phÈm phong phó.")									
58	2	Xem sè l­îng ®· nép Tam s¾c chi b¶o		200911090000	DailogOption("B¸nh §¹i C¸t","","")	PlayerFunLib:CheckTask(2643,0,"B¹n ®· nép <lua -GetTask(2643)/> tam s¾c chi b¶o",">=")										PlayerFunLib:ShowSubDailog("chakangeren","B¹n ®· nép <lua GetTask(2643)/> tam s¾c chi b¶o")									
59	2	§Æt tiªu ®Ò B¸nh §¹i C¸t		200911020000	SetDailogTitle("B¸nh §¹i C¸t","Ho¹t ®éng chung tay x©y dùng diÔn ra tõ 25/09/2009 ®Õn 02/11/2009. Trong thêi gian ho¹t ®éng ®¹i hiÖp cã thÓ th«ng qua "Song ng­u tÒ nguyÖt" thu thËp "Tèng Kim Qu©n Trang". §¹i hiÖp dïng "Tam s¾c chi b¶o" ®æi lÊy kinh nghiÖm hoÆc nép ®Ó lµm b¸nh trung thu cùc lín.")																				
60	2	§Æt tiªu ®Ò chó cuéi		200911020000	SetDailogTitle("Chó Cuéi","Hu, hu, vî ta ®ang bŞ bÖnh rÊt nÆng. Ta nghe nãi  3 lo¹i l¸ ChiÕc l¸ c¶i tö, ChiÕc l¸ håi sinh, ChiÕc l¸ hé mÖnh cã c«ng dông rÊt thÇn kú. §¹i hiÖp cã thÓ gióp ta t×m nh÷ng chiÕc l¸ nµy ®Ó ch÷a bÖnh cho vî ta kh«ng?")																				
61	2	§Æt tiªu ®Ò BĞ Long		200911020000	SetDailogTitle("BĞ Long","§¹i hiÖp cã thÊy ta dÔ th­¬ng kh«ng. å nh÷ng viªn ®¸ nµy ®Ñp qu¸, ®¹i hiÖp muèn ®æi lÊy vËt phÈm g× trong kho b¶o vËt cña gia ®×nh ta")																				
62	2	§Æt sè lÇn Tèng Kim		0		PlayerFunLib:CheckTaskDaily(1926,3,"","<")										PlayerFunLib:AddTaskDaily(1926,1)									
63	2	¼Ó¹¦µÂÍ¬Ê±¼Ó¾­Ñé		0		PlayerFunLib:CheckTask(2647,300,"Mçi ng­êi ch¬i chØ nhËn ®­îc tèi ®a 300.000.000 Exp tõ c¶ 3 lo¹i [ChiÕc l¸ c¶i tö], [ChiÕc l¸ håi sinh] vµ [ChiÕc l¸ hé mÖnh].","<")										PlayerFunLib:AddExp(4000000,0,"gaisiye huan jingyan")	PlayerFunLib:AddTask(2647,4)								
64	2	¼Ó¹¦µÂÍ¬Ê±¼Ó¾­Ñé		0		PlayerFunLib:CheckTask(2647,300,"Mçi ng­êi ch¬i chØ nhËn ®­îc tèi ®a 300.000.000 Exp tõ c¶ 3 lo¹i [ChiÕc l¸ c¶i tö], [ChiÕc l¸ håi sinh] vµ [ChiÕc l¸ hé mÖnh].","<")										PlayerFunLib:AddExp(6000000,0,"gaisiye huan jingyan")	PlayerFunLib:AddTask(2647,6)								
65	2	¼Ó¹¦µÂÍ¬Ê±¼Ó¾­Ñé		0		PlayerFunLib:CheckTask(2647,300,"Mçi ng­êi ch¬i chØ nhËn ®­îc tèi ®a 300.000.000 Exp tõ c¶ 3 lo¹i [ChiÕc l¸ c¶i tö], [ChiÕc l¸ håi sinh] vµ [ChiÕc l¸ hé mÖnh].","<")										PlayerFunLib:AddExp(8000000,0,"gaisiye huan jingyan")	PlayerFunLib:AddTask(2647,8)								
