效果	是否前缀	五行要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明
生命33				85	160	160	-1	-1	0	0	0
体力10				93	160	160	-1	-1	0	0	0
幸运7				135	20	20	-1	-1	0	0	0
内力24				89	160	160	-1	-1	0	0	0
体力11				93	200	200	-1	-1	0	0	0
力量10				97	-25	-25	-1	-1	0	0	0
打击回复13				113	50	60	-1	-1	0	0	0
减少眩晕时间8				110	20	40	-1	-1	0	0	0
内电伤4				171	400	500	-1	-1	0	0	0
跑速15				111	45	60	-1	-1	0	0	0
跑速16				111	50	70	-1	-1	0	0	0
缩短毒发间隔3				164	20	25	-1	-1	0	0	0
外毒点数5				125	40	50	-1	-1	0	0	0
外普%10				126	120	150	-1	-1	6	6	0
外普%11				126	160	200	-1	-1	6	6	0
外普点数7				121	60	70	-1	-1	0	0	0
外普点数8				121	70	80	-1	-1	0	0	0
吸内5				137	6	10	-1	-1	0	0	0
冰防14				105	30	35	-1	-1	0	0	0
毒防18				101	30	35	-1	-1	0	0	0
火防15				102	30	35	-1	-1	0	0	0
命中9				166	300	400	-1	-1	0	0	0
命中10				166	400	500	-1	-1	0	0	0
命中11				166	500	600	-1	-1	0	0	0
命中12				166	600	700	-1	-1	0	0	0
命中13				166	700	800	-1	-1	0	0	0
内冰伤7				169	100	200	-1	-1	0	0	0
内冰伤8				169	500	600	-1	-1	0	0	0
内火伤4				170	100	200	-1	-1	0	0	0
内火伤5				170	240	300	-1	-1	0	0	0
内力25				89	150	200	-1	-1	0	0	0
内力26				89	240	300	-1	-1	0	0	0
内力27				89	350	400	-1	-1	0	0	0
内力28				89	450	500	-1	-1	0	0	0
内力29				89	500	600	-1	-1	0	0	0
普防15				104	10	15	-1	-1	0	0	0
普防16				104	5	10	-1	-1	0	0	0
生命34				85	150	200	-1	-1	0	0	0
生命35				85	240	300	-1	-1	0	0	0
生命36				85	350	400	-1	-1	0	0	0
生命37				85	450	500	-1	-1	0	0	0
生命38				85	500	600	-1	-1	0	0	0
外功13				99	15	25	-1	-1	0	0	0
外功14				99	20	30	-1	-1	0	0	0
外功15				99	40	50	-1	-1	0	0	0
昆仑剑法2				139	3	3	-1	-1	168	168	0
龙爪虎抓2				139	3	3	-1	-1	271	271	0
命中14				166	900	1000	-1	-1	0	0	0
外毒点数6				125	30	40	-1	-1	0	0	0
内电伤5				171	700	800	-1	-1	0	0	0
内冰伤9				169	150	200	-1	-1	0	0	0
内冰伤10				169	300	400	-1	-1	0	0	0
内火伤6				170	100	200	-1	-1	0	0	0
内火伤7				170	350	400	-1	-1	0	0	0
内冰伤11				169	350	400	-1	-1	0	0	0
内冰伤12				169	700	800	-1	-1	0	0	0
内电伤6				171	500	600	-1	-1	0	0	0
生命39				85	100	160	-1	-1	0	0	0
雷防13				103	15	15	-1	-1	0	0	0
普防17				104	30	35	-1	-1	0	0	0
雷防14				103	35	40	-1	-1	0	0	0
减少冰冻时间16				106	50	60	-1	-1	0	0	0
减少中毒时间12				108	40	60	-1	-1	0	0	0
减少中毒时间13				108	60	90	-1	-1	0	0	0
减少眩晕时间9				110	40	60	-1	-1	0	0	0
会心一击率3				70	5	7	-1	-1	0	0	0
会心一击率4				70	7	10	-1	-1	0	0	0
百毒穿心2				139	3	3	-1	-1	384	384	0
毒防19				101	35	55	-1	-1	0	0	0
天王战意2				139	3	3	-1	-1	36	36	0
冰心仙子2				139	3	3	-1	-1	337	337	0
天下无狗2				139	3	3	-1	-1	359	359	0
云龙击2				139	3	3	-1	-1	361	361	0
行龙不雨2				139	3	3	-1	-1	14	14	0
金刚伏魔2				139	3	3	-1	-1	10	10	0
斩龙诀2				139	3	3	-1	-1	29	29	0
回风落雁2				139	3	3	-1	-1	30	30	0
惊雷斩2				139	3	3	-1	-1	34	34	0
一叶知秋2				139	3	3	-1	-1	85	85	0
风花雪月2				139	3	3	-1	-1	99	99	0
风卷残雪2				139	3	3	-1	-1	102	102	0
毒砂掌2				139	3	3	-1	-1	63	63	0
血刀毒杀2				139	3	3	-1	-1	65	65	0
唐门暗器2				139	3	3	-1	-1	43	43	0
漫天花雨2				139	3	3	-1	-1	54	54	0
夺魂镖2				139	3	3	-1	-1	47	47	0
见人伸手2				139	3	3	-1	-1	122	122	0
沿门托钵2				139	3	3	-1	-1	119	119	0
弹指烈焰2				139	3	3	-1	-1	145	145	0
怒雷指2				139	3	3	-1	-1	153	153	0
三环套月2				139	3	3	-1	-1	267	267	0
呼风法2				139	3	3	-1	-1	169	169	0
狂雷震地2				139	3	3	-1	-1	179	179	0
经验4				176	15	15	-1	-1	0	0	0
经验5				176	5	5	-1	-1	0	0	0
生命40				85	399	399	-1	-1	0	0	0
内力30				89	399	399	-1	-1	0	0	0
打击回复14				113	48	68	-1	-1	0	0	0
摩诃无量2				139	3	3	-1	-1	19	19	0
行云诀2				139	3	3	-1	-1	31	31	0
身法11				98	16	20	-1	-1	0	0	0
乘龙诀2				139	3	3	-1	-1	324	324	0
天王枪法2				139	3	3	-1	-1	23	23	0
断魂刺2				139	3	3	-1	-1	40	40	0
减少冰冻时间16				106	40	60	-1	-1	0	0	0
推窗望月2				139	3	3	-1	-1	385	385	0
四象同归2				139	3	3	-1	-1	82	82	0
身法12				98	4	8	-1	-1	0	0	0
静心诀2				139	3	3	-1	-1	33	33	0
毒防20				101	15	20	-1	-1	0	0	0
翠烟刀法1				139	3	3	-1	-1	95	95	0
反弹4				117	16	20	-1	-1	0	0	0
雪影2				139	3	3	-1	-1	109	109	0
无形蛊2				139	3	3	-1	-1	69	69	0
内毒伤4				172	25	35	-1	-1	0	0	0
五毒奇经2				139	3	3	-1	-1	75	75	0
生命41				85	320	400	-1	-1	0	0	0
打击回复15				113	49	59	-1	-1	0	0	0
追心箭2				139	3	3	-1	-1	50	50	0
内力31				89	420	500	-1	-1	0	0	0
霹雳弹2				139	3	3	-1	-1	45	45	0
降龙掌2				139	3	3	-1	-1	274	274	0
打狗阵2				139	3	3	-1	-1	124	124	0
生命42				85	420	500	-1	-1	0	0	0
内力32				89	320	400	-1	-1	0	0	0
残阳如血2				139	3	3	-1	-1	135	135	0
天忍刀法2				139	3	3	-1	-1	131	131	0
内功7				100	22	30	-1	-1	0	0	0
雷防15				103	40	55	-1	-1	0	0	0
一气三清符2				139	3	3	-1	-1	178	178	0
狂风骤电2				139	3	3	-1	-1	176	176	0
减少中毒时间14				108	50	60	-1	-1	0	0	0
毒防21				101	10	20	-1	-1	0	0	0
毒防22				101	10	15	-1	-1	0	0	0
全抗16				114	8	8	-1	-1	0	0	0
火防16				102	15	15	-1	-1	0	0	0
减少中毒时间15				108	10	10	-1	-1	0	0	0
内电伤7				171	120	200	-1	-1	0	0	0
内电伤8				171	240	300	-1	-1	0	0	0
内冰伤13				169	240	300	-1	-1	0	0	0
内力33				89	180	240	-1	-1	0	0	0
生命43				85	180	240	-1	-1	0	0	0
减少中毒时间16				108	30	50	-1	-1	0	0	0
内火伤8				170	200	300	-1	-1	0	0	0
内电伤9				171	80	120	-1	-1	0	0	0
外普%12				126	30	50	-1	-1	6	6	0
会心率3				146	3	5	-1	-1	0	0	0
内毒伤5				172	50	60	-1	-1	0	0	0
物理伤害吸收4				134	6	10	-1	-1	0	0	0
打击回复16				113	45	55	-1	-1	0	0	0
雷防16				103	25	25	-1	-1	0	0	0
减少眩晕时间10				110	50	50	-1	-1	0	0	0
全抗17				114	22	22	-1	-1	0	0	0
全抗18				114	18	22	-1	-1	0	0	0
普防18				104	15	20	-1	-1	0	0	0
内毒伤6				172	15	35	-1	-1	0	0	0
幸运8				135	20	25	-1	-1	0	0	0
身法13				98	5	5	-1	-1	0	0	0
力量11				97	5	5	-1	-1	0	0	0
体力12				93	240	240	-1	-1	0	0	0
抵消伤害1				218	60	60	-1	-1	0	0	0
生命44				85	300	300	-1	-1	0	0	0
内力34				89	300	300	-1	-1	0	0	0
火防17				102	5	5	-1	-1	0	0	0
普防19				104	5	5	-1	-1	0	0	0
雷防17				103	5	5	-1	-1	0	0	0
冰防15				105	5	5	-1	-1	0	0	0
毒防23				101	5	5	-1	-1	0	0	0
全抗19				114	5	5	-1	-1	0	0	0
生命45				85	100	100	-1	-1	0	0	0
内力35				89	100	100	-1	-1	0	0	0
火防18				102	25	25	-1	-1	0	0	0
普防20				104	17	17	-1	-1	0	0	0
雷防18				103	25	25	-1	-1	0	0	0
冰防16				105	25	25	-1	-1	0	0	0
毒防24				101	25	25	-1	-1	0	0	0
生命499_499				85	499	499	-1	-1	0	0	0
内力499_499				89	499	499	-1	-1	0	0	0
狮子吼				139	1	3	-1	-1	20	20	0
追风诀				139	1	3	-1	-1	325	325	0
追星逐月				139	1	3	-1	-1	323	323	0
生命360_480				85	360	480	-1	-1	0	0	0
雷防45_50				103	45	50	-1	-1	0	0	0
毒防45_50				101	45	50	-1	-1	0	0	0
造成受伤动作时间6_8				219	6	8	-1	-1	0	0	0
造成眩晕时间30_50				220	30	50	-1	-1	0	0	0
忽略对方毒防25_30				221	25	30	-1	-1	0	0	0
忽略对方火防25_30				222	25	30	-1	-1	0	0	0
忽略对方雷防25_30				223	25	30	-1	-1	0	0	0
忽略对普防25_30				224	25	30	-1	-1	0	0	0
忽略对方冰防25_30				225	25	30	-1	-1	0	0	0
忽略对方火防10_15				222	10	15	-1	-1	0	0	0
造成眩晕时间20_40				220	20	40	-1	-1	0	0	0
普防40_50				104	40	50	-1	-1	0	0	0
外功攻速21_31				115	21	31	-1	-1	0	0	0
远反9_12				120	9	12	-1	-1	0	0	0
内力999_999				89	999	999	-1	-1	0	0	0
生命999_999				85	999	999	-1	-1	0	0	0
抵消伤害120_120				218	120	120	-1	-1	0	0	0
全抗24_24				114	24	24	-1	-1	0	0	0
打击回复68_68				113	68	68	-1	-1	0	0	0
减少眩晕时间60_60				110	60	60	-1	-1	0	0	0
内力400_400				89	400	400	-1	-1	0	0	0
生命400_400				85	400	400	-1	-1	0	0	0
跑速70_70				111	70	70	-1	-1	0	0	0
减少冰冻时间60_60				106	60	60	-1	-1	0	0	0
生命480_600				85	480	600	-1	-1	0	0	0
罗汉阵3_3				139	3	3	-1	-1	16	16	0
易筋经3_3				139	3	3	-1	-1	21	21	0
少林棍法3_3				139	3	3	-1	-1	4	4	0
不动明王3_3				139	3	3	-1	-1	15	15	0
少林刀法3_3				139	3	3	-1	-1	6	6	0
狮子吼3_3				139	3	3	-1	-1	20	20	0
天王锤法3_3				139	3	3	-1	-1	26	26	0
血战八方3_3				139	3	3	-1	-1	41	41	0
无心斩3_3				139	3	3	-1	-1	32	32	0
峨嵋剑法3_3				139	3	3	-1	-1	77	77	0
清音梵唱3_3				139	3	3	-1	-1	282	282	0
雨打梨花3_3				139	3	3	-1	-1	105	105	0
浮云散雪3_3				139	3	3	-1	-1	113	113	0
五毒刀法3_3				139	3	3	-1	-1	60	60	0
冰蓝玄晶3_3				139	3	3	-1	-1	64	64	0
霹雳弹3_3				139	3	3	-1	-1	45	45	0
天罗地网3_3				139	3	3	-1	-1	58	58	0
唐门暗器3_3				139	3	3	-1	-1	43	43	0
丐帮掌法3_3				139	3	3	-1	-1	116	116	0
棒打恶狗3_3				139	3	3	-1	-1	125	125	0
烈火情天3_3				139	3	3	-1	-1	141	141	0
幻影飞狐3_3				139	3	3	-1	-1	137	137	0
七星阵3_3				139	3	3	-1	-1	159	159	0
弃心符3_3				139	3	3	-1	-1	181	181	0
天际迅雷3_3				139	3	3	-1	-1	172	172	0
羁绊符3_3				139	3	3	-1	-1	174	174	0
不灭不绝3_3				139	3	3	-1	-1	88	88	0
飘雪穿云3_3				139	3	3	-1	-1	80	80	0
佛心慈佑3_3				139	3	3	-1	-1	92	92	0
牧野流星3_3				139	3	3	-1	-1	108	108	0
碧海潮生3_3				139	3	3	-1	-1	111	111	0
朱蛤青冥3_3				139	3	3	-1	-1	74	74	0
赤炎蚀天3_3				139	3	3	-1	-1	70	70	0
小李飞刀3_3				139	3	3	-1	-1	249	249	0
散花镖3_3				139	3	3	-1	-1	341	341	0
寒冰刺3_3				139	3	3	-1	-1	345	345	0
丐帮棒法3_3				139	3	3	-1	-1	115	115	0
偷天换日3_3				139	3	3	-1	-1	142	142	0
火莲焚华3_3				139	3	3	-1	-1	136	136	0
武当拳法3_3				139	3	3	-1	-1	152	152	0
昆仑刀法3_3				139	3	3	-1	-1	167	167	0
欺寒傲雪3_3				139	3	3	-1	-1	175	175	0
回内16_20				92	16	20	-1	-1	0	0	0
经验300_300				176	300	300	-1	-1	0	0	0
全抗15_15				114	15	15	-1	-1	0	0	0
减少中毒时间60_100				108	60	100	-1	-1	0	0	0
普防45_55				104	45	55	-1	-1	0	0	0
力量16_20				97	16	20	-1	-1	0	0	0
经验200_200				176	200	200	-1	-1	0	0	0
抵消伤害5_5				218	5	5	-1	-1	0	0	0
命中300%				167	300	300	-1	-1	0	0	0
重击2_2				227	2	2	-1	-1	0	0	0
格挡2_2				226	2	2	-1	-1	0	0	0
生命1000_1000				85	1000	1000	-1	-1	0	0	0
内毒伤60_70				172	60	70	-1	-1	0	0	0
内火伤2				170	500	600	-1	-1	0	0	0
毒防15_15				101	15	15	-1	-1	0	0	0
冰防40_45				105	40	45	-1	-1	0	0	0
经验6				176	20	25	-1	-1	0	0	0
经验25_25				176	25	25	-1	-1	0	0	0
火防14_20				102	14	20	-1	-1	0	0	0
普防14_20				104	14	20	-1	-1	0	0	0
毒防14_20				101	14	20	-1	-1	0	0	0
冰防14_20				105	14	20	-1	-1	0	0	0
雷防14_20				103	14	20	-1	-1	0	0	0
新毒防（1级）				228	20	25	-1	-1	0	0	0
新毒防（2级）				228	25	30	-1	-1	0	0	0
新毒防（3级）				228	30	35	-1	-1	0	0	0
新毒防（4级）				228	35	40	-1	-1	0	0	0
新毒防（5级）				228	40	45	-1	-1	0	0	0
新毒防（6级）				228	45	50	-1	-1	0	0	0
新毒防（7级）				228	50	55	-1	-1	0	0	0
新毒防（8级）				228	55	60	-1	-1	0	0	0
新毒防（9级）				228	60	65	-1	-1	0	0	0
新毒防（10级）				228	65	70	-1	-1	0	0	0
新毒防（11级）				228	70	75	-1	-1	0	0	0
新毒防（12级）				228	75	80	-1	-1	0	0	0
新毒防（13级）				228	80	85	-1	-1	0	0	0
新毒防（14级）				228	85	90	-1	-1	0	0	0
新毒防（15级）				228	90	95	-1	-1	0	0	0
新毒防（16级）				228	95	100	-1	-1	0	0	0
新毒防（17级）				228	100	105	-1	-1	0	0	0
新毒防（18级）				228	105	110	-1	-1	0	0	0
新毒防（19级）				228	110	115	-1	-1	0	0	0
新毒防（20级）				228	115	120	-1	-1	0	0	0
新雷防（1级）				229	20	25	-1	-1	0	0	0
新雷防（2级）				229	25	30	-1	-1	0	0	0
新雷防（3级）				229	30	35	-1	-1	0	0	0
新雷防（4级）				229	35	40	-1	-1	0	0	0
新雷防（5级）				229	40	45	-1	-1	0	0	0
新雷防（6级）				229	45	50	-1	-1	0	0	0
新雷防（7级）				229	50	55	-1	-1	0	0	0
新雷防（8级）				229	55	60	-1	-1	0	0	0
新雷防（9级）				229	60	65	-1	-1	0	0	0
新雷防（10级）				229	65	70	-1	-1	0	0	0
新雷防（11级）				229	70	75	-1	-1	0	0	0
新雷防（12级）				229	75	80	-1	-1	0	0	0
新雷防（13级）				229	80	85	-1	-1	0	0	0
新雷防（14级）				229	85	90	-1	-1	0	0	0
新雷防（15级）				229	90	95	-1	-1	0	0	0
新雷防（16级）				229	95	100	-1	-1	0	0	0
新雷防（17级）				229	100	105	-1	-1	0	0	0
新雷防（18级）				229	105	110	-1	-1	0	0	0
新雷防（19级）				229	110	115	-1	-1	0	0	0
新雷防（20级）				229	115	120	-1	-1	0	0	0
新火防（1级）				230	20	25	-1	-1	0	0	0
新火防（2级）				230	25	30	-1	-1	0	0	0
新火防（3级）				230	30	35	-1	-1	0	0	0
新火防（4级）				230	35	40	-1	-1	0	0	0
新火防（5级）				230	40	45	-1	-1	0	0	0
新火防（6级）				230	45	50	-1	-1	0	0	0
新火防（7级）				230	50	55	-1	-1	0	0	0
新火防（8级）				230	55	60	-1	-1	0	0	0
新火防（9级）				230	60	65	-1	-1	0	0	0
新火防（10级）				230	65	70	-1	-1	0	0	0
新火防（11级）				230	70	75	-1	-1	0	0	0
新火防（12级）				230	75	80	-1	-1	0	0	0
新火防（13级）				230	80	85	-1	-1	0	0	0
新火防（14级）				230	85	90	-1	-1	0	0	0
新火防（15级）				230	90	95	-1	-1	0	0	0
新火防（16级）				230	95	100	-1	-1	0	0	0
新火防（17级）				230	100	105	-1	-1	0	0	0
新火防（18级）				230	105	110	-1	-1	0	0	0
新火防（19级）				230	110	115	-1	-1	0	0	0
新火防（20级）				230	115	120	-1	-1	0	0	0
新普防（1级）				231	20	25	-1	-1	0	0	0
新普防（2级）				231	25	30	-1	-1	0	0	0
新普防（3级）				231	30	35	-1	-1	0	0	0
新普防（4级）				231	35	40	-1	-1	0	0	0
新普防（5级）				231	40	45	-1	-1	0	0	0
新普防（6级）				231	45	50	-1	-1	0	0	0
新普防（7级）				231	50	55	-1	-1	0	0	0
新普防（8级）				231	55	60	-1	-1	0	0	0
新普防（9级）				231	60	65	-1	-1	0	0	0
新普防（10级）				231	65	70	-1	-1	0	0	0
新普防（11级）				231	70	75	-1	-1	0	0	0
新普防（12级）				231	75	80	-1	-1	0	0	0
新普防（13级）				231	80	85	-1	-1	0	0	0
新普防（14级）				231	85	90	-1	-1	0	0	0
新普防（15级）				231	90	95	-1	-1	0	0	0
新普防（16级）				231	95	100	-1	-1	0	0	0
新普防（17级）				231	100	105	-1	-1	0	0	0
新普防（18级）				231	105	110	-1	-1	0	0	0
新普防（19级）				231	110	115	-1	-1	0	0	0
新普防（20级）				231	115	120	-1	-1	0	0	0
新冰防（1级）				232	20	25	-1	-1	0	0	0
新冰防（2级）				232	25	30	-1	-1	0	0	0
新冰防（3级）				232	30	35	-1	-1	0	0	0
新冰防（4级）				232	35	40	-1	-1	0	0	0
新冰防（5级）				232	40	45	-1	-1	0	0	0
新冰防（6级）				232	45	50	-1	-1	0	0	0
新冰防（7级）				232	50	55	-1	-1	0	0	0
新冰防（8级）				232	55	60	-1	-1	0	0	0
新冰防（9级）				232	60	65	-1	-1	0	0	0
新冰防（10级）				232	65	70	-1	-1	0	0	0
新冰防（11级）				232	70	75	-1	-1	0	0	0
新冰防（12级）				232	75	80	-1	-1	0	0	0
新冰防（13级）				232	80	85	-1	-1	0	0	0
新冰防（14级）				232	85	90	-1	-1	0	0	0
新冰防（15级）				232	90	95	-1	-1	0	0	0
新冰防（16级）				232	95	100	-1	-1	0	0	0
新冰防（17级）				232	100	105	-1	-1	0	0	0
新冰防（18级）				232	105	110	-1	-1	0	0	0
新冰防（19级）				232	110	115	-1	-1	0	0	0
新冰防（20级）				232	115	120	-1	-1	0	0	0
新生命（1级）				233	120	200	-1	-1	0	0	0
新生命（2级）				233	200	280	-1	-1	0	0	0
新生命（3级）				233	280	360	-1	-1	0	0	0
新生命（4级）				233	360	440	-1	-1	0	0	0
新生命（5级）				233	440	520	-1	-1	0	0	0
新生命（6级）				233	520	600	-1	-1	0	0	0
新生命（7级）				233	600	680	-1	-1	0	0	0
新生命（8级）				233	680	760	-1	-1	0	0	0
新生命（9级）				233	760	840	-1	-1	0	0	0
新生命（10级）				233	840	920	-1	-1	0	0	0
新生命（11级）				233	920	1000	-1	-1	0	0	0
新生命（12级）				233	1000	1080	-1	-1	0	0	0
新生命（13级）				233	1080	1160	-1	-1	0	0	0
新生命（14级）				233	1160	1240	-1	-1	0	0	0
新生命（15级）				233	1240	1320	-1	-1	0	0	0
新生命（16级）				233	1320	1400	-1	-1	0	0	0
新生命（17级）				233	1400	1480	-1	-1	0	0	0
新生命（18级）				233	1480	1560	-1	-1	0	0	0
新生命（19级）				233	1560	1640	-1	-1	0	0	0
新生命（20级）				233	1640	1720	-1	-1	0	0	0
新内力（1级）				235	120	200	-1	-1	0	0	0
新内力（2级）				235	200	280	-1	-1	0	0	0
新内力（3级）				235	280	360	-1	-1	0	0	0
新内力（4级）				235	360	440	-1	-1	0	0	0
新内力（5级）				235	440	520	-1	-1	0	0	0
新内力（6级）				235	520	600	-1	-1	0	0	0
新内力（7级）				235	600	680	-1	-1	0	0	0
新内力（8级）				235	680	760	-1	-1	0	0	0
新内力（9级）				235	760	840	-1	-1	0	0	0
新内力（10级）				235	840	920	-1	-1	0	0	0
新内力（11级）				235	920	1000	-1	-1	0	0	0
新内力（12级）				235	1000	1080	-1	-1	0	0	0
新内力（13级）				235	1080	1160	-1	-1	0	0	0
新内力（14级）				235	1160	1240	-1	-1	0	0	0
新内力（15级）				235	1240	1320	-1	-1	0	0	0
新内力（16级）				235	1320	1400	-1	-1	0	0	0
新内力（17级）				235	1400	1480	-1	-1	0	0	0
新内力（18级）				235	1480	1560	-1	-1	0	0	0
新内力（19级）				235	1560	1640	-1	-1	0	0	0
新内力（20级）				235	1640	1720	-1	-1	0	0	0
新全抗（1级）				241	8	10	-1	-1	0	0	0
新全抗（2级）				241	10	12	-1	-1	0	0	0
新全抗（3级）				241	12	14	-1	-1	0	0	0
新全抗（4级）				241	14	16	-1	-1	0	0	0
新全抗（5级）				241	16	18	-1	-1	0	0	0
新全抗（6级）				241	18	20	-1	-1	0	0	0
新全抗（7级）				241	20	22	-1	-1	0	0	0
新全抗（8级）				241	22	24	-1	-1	0	0	0
新全抗（9级）				241	24	26	-1	-1	0	0	0
新全抗（10级）				241	26	28	-1	-1	0	0	0
新全抗（11级）				241	28	30	-1	-1	0	0	0
新全抗（12级）				241	30	32	-1	-1	0	0	0
新全抗（13级）				241	32	34	-1	-1	0	0	0
新全抗（14级）				241	34	36	-1	-1	0	0	0
新全抗（15级）				241	36	38	-1	-1	0	0	0
新全抗（16级）				241	38	40	-1	-1	0	0	0
新全抗（17级）				241	40	42	-1	-1	0	0	0
新全抗（18级）				241	42	44	-1	-1	0	0	0
新全抗（19级）				241	44	46	-1	-1	0	0	0
新全抗（20级）				241	46	48	-1	-1	0	0	0
新抵消伤害5_10（1级）				237	5	10	-1	-1	0	0	0
新抵消伤害10_15（2级）				237	10	15	-1	-1	0	0	0
新抵消伤害15_20（3级）				237	15	20	-1	-1	0	0	0
新抵消伤害20_25（4级）				237	20	25	-1	-1	0	0	0
新抵消伤害25_30（5级）				237	25	30	-1	-1	0	0	0
新抵消伤害30_35（6级）				237	30	35	-1	-1	0	0	0
新抵消伤害35_40（7级）				237	35	40	-1	-1	0	0	0
新抵消伤害40_45（8级）				237	40	45	-1	-1	0	0	0
新抵消伤害45_50（9级）				237	45	50	-1	-1	0	0	0
新抵消伤害50_55（10级）				237	50	55	-1	-1	0	0	0
新抵消伤害55_60（11级）				237	55	60	-1	-1	0	0	0
新抵消伤害60_65（12级）				237	60	65	-1	-1	0	0	0
新抵消伤害65_70（13级）				237	65	70	-1	-1	0	0	0
新抵消伤害70_75（14级）				237	70	75	-1	-1	0	0	0
新抵消伤害75_80（15级）				237	75	80	-1	-1	0	0	0
新抵消伤害80_85（16级）				237	80	85	-1	-1	0	0	0
新抵消伤害85_90（17级）				237	85	90	-1	-1	0	0	0
新抵消伤害90_95（18级）				237	90	95	-1	-1	0	0	0
新抵消伤害95_100（19级）				237	95	100	-1	-1	0	0	0
新抵消伤害100_105（20级）				237	100	105	-1	-1	0	0	0
新外功攻速13（1级）				239	1	13	-1	-1	0	0	0
新外功攻速21（2级）				239	13	21	-1	-1	0	0	0
新外功攻速29（3级）				239	21	29	-1	-1	0	0	0
新外功攻速39（4级）				239	29	39	-1	-1	0	0	0
新外功攻速51（5级）				239	39	51	-1	-1	0	0	0
新外功攻速64（6级）				239	51	64	-1	-1	0	0	0
新外功攻速81（7级）				239	64	81	-1	-1	0	0	0
新外功攻速101（8级）				239	81	101	-1	-1	0	0	0
新外功攻速126（9级）				239	101	126	-1	-1	0	0	0
新外功攻速158（10级）				239	126	158	-1	-1	0	0	0
新外功攻速201（11级）				239	158	201	-1	-1	0	0	0
新外功攻速261（12级）				239	201	261	-1	-1	0	0	0
新外功攻速351（13级）				239	261	351	-1	-1	0	0	0
新外功攻速351（14级）				239	351	351	-1	-1	0	0	0
新外功攻速351（15级）				239	351	351	-1	-1	0	0	0
新外功攻速351（16级）				239	351	351	-1	-1	0	0	0
新外功攻速351（17级）				239	351	351	-1	-1	0	0	0
新外功攻速351（18级）				239	351	351	-1	-1	0	0	0
新外功攻速351（19级）				239	351	351	-1	-1	0	0	0
新外功攻速351（20级）				239	351	351	-1	-1	0	0	0
新内功攻速13（1级）				240	1	13	-1	-1	0	0	0
新内功攻速21（2级）				240	13	21	-1	-1	0	0	0
新内功攻速29（3级）				240	21	29	-1	-1	0	0	0
新内功攻速39（4级）				240	29	39	-1	-1	0	0	0
新内功攻速51（5级）				240	39	51	-1	-1	0	0	0
新内功攻速64（6级）				240	51	64	-1	-1	0	0	0
新内功攻速81（7级）				240	64	81	-1	-1	0	0	0
新内功攻速101（8级）				240	81	101	-1	-1	0	0	0
新内功攻速126（9级）				240	101	126	-1	-1	0	0	0
新内功攻速158（10级）				240	126	158	-1	-1	0	0	0
新内功攻速201（11级）				240	158	201	-1	-1	0	0	0
新内功攻速261（12级）				240	201	261	-1	-1	0	0	0
新内功攻速351（13级）				240	261	351	-1	-1	0	0	0
新内功攻速351（14级）				240	351	351	-1	-1	0	0	0
新内功攻速351（15级）				240	351	351	-1	-1	0	0	0
新内功攻速351（16级）				240	351	351	-1	-1	0	0	0
新内功攻速351（17级）				240	351	351	-1	-1	0	0	0
新内功攻速351（18级）				240	351	351	-1	-1	0	0	0
新内功攻速351（19级）				240	351	351	-1	-1	0	0	0
新内功攻速351（20级）				240	351	351	-1	-1	0	0	0
原普点数(1级)				121	1	1	-1	-1	0	0	0
原普点数(2级)				121	5	5	-1	-1	0	0	0
原普点数(3级)				121	10	20	-1	-1	0	0	0
原普点数(4级)				121	20	30	-1	-1	0	0	0
原普点数(5级)				121	30	40	-1	-1	0	0	0
原普点数(6级)				121	40	50	-1	-1	0	0	0
原普点数(7级)				121	50	60	-1	-1	0	0	0
原普点数(8级)				121	60	65	-1	-1	0	0	0
原普点数(9级)				121	75	85	-1	-1	0	0	0
原普点数(10级)				121	85	90	-1	-1	0	0	0
原普点数(11级)				121	90	100	-1	-1	0	0	0
原普点数(12级)				121	100	110	-1	-1	0	0	0
原普点数(13级)				121	110	120	-1	-1	0	0	0
原普点数(14级)				121	120	130	-1	-1	0	0	0
原普点数(15级)				121	130	140	-1	-1	0	0	0
原普点数(16级)				121	140	150	-1	-1	0	0	0
原普点数(17级)				121	150	160	-1	-1	0	0	0
原普点数(18级)				121	160	170	-1	-1	0	0	0
原普点数(19级)				121	170	180	-1	-1	0	0	0
原普点数(20级)				121	180	190	-1	-1	0	0	0
原内毒点伤（1级）				172	40	80	-1	-1	0	0	0
原内毒点伤（2级）				172	80	120	-1	-1	0	0	0
原内毒点伤（3级）				172	120	160	-1	-1	0	0	0
原内毒点伤（4级）				172	160	200	-1	-1	0	0	0
原内毒点伤（5级）				172	200	240	-1	-1	0	0	0
原内毒点伤（6级）				172	240	280	-1	-1	0	0	0
原内毒点伤（7级）				172	280	320	-1	-1	0	0	0
原内毒点伤（8级）				172	320	360	-1	-1	0	0	0
原内毒点伤（9级）				172	360	400	-1	-1	0	0	0
原内毒点伤（10级）				172	400	440	-1	-1	0	0	0
原内毒点伤（11级）				172	440	480	-1	-1	0	0	0
原内毒点伤（12级）				172	480	520	-1	-1	0	0	0
原内毒点伤（13级）				172	520	560	-1	-1	0	0	0
原内毒点伤（14级）				172	560	600	-1	-1	0	0	0
原内毒点伤（15级）				172	600	640	-1	-1	0	0	0
