?§¹û	ÊÇ·ñÇ°×º	Îå???ªÇó	µÈ¼¶?ªÇó	Êô?Ôµ÷?ûÀà±?	²ÎÊ?1×î?¡Öµ	²ÎÊ?1×î´óÖµ	²ÎÊ?2×î?¡Öµ	²ÎÊ?2×î´óÖµ	²ÎÊ?3×î?¡Öµ	²ÎÊ?3×î´óÖµ	?§¹ûËµ?÷
??Í?µ¶·¨				139	1	1	-1	-1	24	24	0
Æ?·ç?¶				139	1	1	-1	-1	37	37	0
Î??Ä?¶				139	1	1	-1	-1	32	32	0
?»?¶ÖªÇï				139	1	1	-1	-1	85	85	0
¶ëá?½£·¨				139	1	1	-1	-1	77	77	0
ÍÆ´°ÍûÔÂ				139	1	1	-1	-1	385	385	0
²»??²»¾ø				139	1	1	-1	-1	88	88	0
Æ®Ñ©´©ÔÆ				139	1	1	-1	-1	80	80	0
¶ëá??Æ·¨1				139	1	1	-1	-1	79	79	0
ËÄÏóÍ¬¹é				139	1	1	-1	-1	82	82	0
·?¹âÆ???1				139	1	1	-1	-1	91	91	0
·ç»¨Ñ©ÔÂ				139	1	1	-1	-1	99	99	0
´äÑ?µ¶·¨				139	1	1	-1	-1	95	95	0
Óê´?Àæ»¨				139	1	1	-1	-1	105	105	0
ÄÁ?°Á÷?Ç				139	1	1	-1	-1	108	108	0
·ç¾í²?Ñ©				139	1	1	-1	-1	102	102	0
´äÑ?Ë«µ¶1				139	1	1	-1	-1	97	97	0
¸¡ÔÆÉ¢Ñ©				139	1	1	-1	-1	113	113	0
±?º£³±Éú				139	1	1	-1	-1	111	111	0
¶¾É°?Æ				139	1	1	-1	-1	63	63	0
Îå¶¾?Æ·¨				139	1	1	-1	-1	62	62	0
ÓÄÚ¤÷¼÷?				139	1	1	-1	-1	68	68	0
??î¸µØÉ·ÊÖ				139	1	1	-1	-1	71	71	0
Ñªµ¶¶¾É±				139	1	1	-1	-1	65	65	0
Îå¶¾µ¶·¨				139	1	1	-1	-1	60	60	0
°Ù¶¾´©?Ä				139	1	1	-1	-1	384	384	0
Ö?¸?ÇàÚ¤				139	1	1	-1	-1	74	74	0
Åùö¨µ¯				139	1	1	-1	-1	45	45	0
?Æ?Å°µÆ÷				139	1	1	-1	-1	43	43	0
×·?Ä¼?				139	1	1	-1	-1	50	50	0
?¡Àî·Éµ¶				139	1	1	-1	-1	249	249	0
Â???»¨Óê				139	1	1	-1	-1	54	54	0
??Â?µØÍø				139	1	1	-1	-1	58	58	0
¶á»êïÚ				139	1	1	-1	-1	47	47	0
É¢»¨ïÚ				139	1	1	-1	-1	341	341	0
¼ûÈËÉ?ÊÖ				139	1	1	-1	-1	122	122	0
Ø¤°ï?Æ·¨				139	1	1	-1	-1	116	116	0
½µÁú?Æ				139	1	1	-1	-1	274	274	0
¿ºÁúÓ?»Ú1				139	1	1	-1	-1	128	128	0
ÑØ?ÅÍ?²§				139	1	1	-1	-1	119	119	0
Ø¤°ï°ô·¨				139	1	1	-1	-1	115	115	0
´?¹·?ó				139	1	1	-1	-1	124	124	0
°ô´?¶ñ¹·				139	1	1	-1	-1	125	125	0
²?ÑôÈçÑª				139	1	1	-1	-1	135	135	0
??È??¬·¨				139	1	1	-1	-1	132	132	0
Á?»?Çé??				139	1	1	-1	-1	141	141	0
Íµ??»»È?				139	1	1	-1	-1	142	142	0
µ¯Ö¸Á?Ñæ				139	1	1	-1	-1	145	145	0
??È?µ¶·¨				139	1	1	-1	-1	131	131	0
ÍÆÉ½?îº£1				139	1	1	-1	-1	138	138	0
Ä§Ñ×ÆßÉ±1				139	1	1	-1	-1	148	148	0
Å­À×Ö¸				139	1	1	-1	-1	153	153	0
Îäµ±È­·¨				139	1	1	-1	-1	152	152	0
°?¼°¶ø¸´1				139	1	1	-1	-1	164	164	0
Î?Î?Î?½£1				139	1	1	-1	-1	165	165	0
²×º£?÷ÔÂ				139	1	1	-1	-1	155	155	0
Îäµ±½£·¨				139	1	1	-1	-1	151	151	0
½£·É¾ª??				139	1	1	-1	-1	158	158	0
È?»·?×ÔÂ				139	1	1	-1	-1	267	267	0
ºô·ç·¨				139	1	1	-1	-1	169	169	0
À¥ÂØµ¶·¨				139	1	1	-1	-1	167	167	0
?»ÆøÈ?Çå·û				139	1	1	-1	-1	178	178	0
¿ñ·çÖèµç				139	1	1	-1	-1	176	176	0
¿ñÀ×??µØ				139	1	1	-1	-1	179	179	0
À¥ÂØ½£·¨				139	1	1	-1	-1	168	168	0
??¼ÊÑ¸À×				139	1	1	-1	-1	172	172	0
ÎåÀ×??·¨				139	1	1	-1	-1	182	182	0
??Áú²»Óê				139	2	2	-1	-1	14	14	0
ÉÙÁÖÈ­·¨1				139	2	2	-1	-1	8	8	0
Áú×¦»¢×¥				139	2	2	-1	-1	271	271	0
½?¸?·üÄ§				139	2	2	-1	-1	10	10	0
ÉÙÁÖ¹÷·¨				139	2	2	-1	-1	4	4	0
ºáÉ¨ÁùºÏ				139	2	2	-1	-1	11	11	0
ÉÙÁÖµ¶·¨				139	2	2	-1	-1	6	6	0
Ä¦Ú­Î?Á¿				139	2	2	-1	-1	19	19	0
?¶Áú¾÷				139	2	2	-1	-1	29	29	0
??Í?´¸·¨				139	2	2	-1	-1	26	26	0
??ÔÆ¾÷				139	2	2	-1	-1	31	31	0
³ËÁú¾÷				139	2	2	-1	-1	324	324	0
»Ø·çÂäÑ?				139	2	2	-1	-1	30	30	0
??Í?Ç¹·¨				139	2	2	-1	-1	23	23	0
Ñô¹ØÈ?µ?				139	2	2	-1	-1	35	35	0
Ñª?½°Ë·½				139	2	2	-1	-1	41	41	0
¾ªÀ×?¶				139	2	2	-1	-1	34	34	0
??Í?µ¶·¨				139	2	2	-1	-1	24	24	0
Æ?·ç?¶				139	2	2	-1	-1	37	37	0
Î??Ä?¶				139	2	2	-1	-1	32	32	0
?»?¶ÖªÇï				139	2	2	-1	-1	85	85	0
¶ëá?½£·¨				139	2	2	-1	-1	77	77	0
ÍÆ´°ÍûÔÂ				139	2	2	-1	-1	385	385	0
²»??²»¾ø				139	2	2	-1	-1	88	88	0
Æ®Ñ©´©ÔÆ				139	2	2	-1	-1	80	80	0
¶ëá??Æ·¨1				139	2	2	-1	-1	79	79	0
ËÄÏóÍ¬¹é				139	2	2	-1	-1	82	82	0
·?¹âÆ???1				139	2	2	-1	-1	91	91	0
·ç»¨Ñ©ÔÂ				139	2	2	-1	-1	99	99	0
´äÑ?µ¶·¨				139	2	2	-1	-1	95	95	0
Óê´?Àæ»¨				139	2	2	-1	-1	105	105	0
ÄÁ?°Á÷?Ç				139	2	2	-1	-1	108	108	0
·ç¾í²?Ñ©				139	2	2	-1	-1	102	102	0
´äÑ?Ë«µ¶1				139	2	2	-1	-1	97	97	0
¸¡ÔÆÉ¢Ñ©				139	2	2	-1	-1	113	113	0
±?º£³±Éú				139	2	2	-1	-1	111	111	0
¶¾É°?Æ				139	2	2	-1	-1	63	63	0
Îå¶¾?Æ·¨				139	2	2	-1	-1	62	62	0
ÓÄÚ¤÷¼÷?				139	2	2	-1	-1	68	68	0
??î¸µØÉ·ÊÖ				139	2	2	-1	-1	71	71	0
Ñªµ¶¶¾É±				139	2	2	-1	-1	65	65	0
Îå¶¾µ¶·¨				139	2	2	-1	-1	60	60	0
°Ù¶¾´©?Ä				139	2	2	-1	-1	384	384	0
Ö?¸?ÇàÚ¤				139	2	2	-1	-1	74	74	0
Åùö¨µ¯				139	2	2	-1	-1	45	45	0
?Æ?Å°µÆ÷				139	2	2	-1	-1	43	43	0
×·?Ä¼?				139	2	2	-1	-1	50	50	0
?¡Àî·Éµ¶				139	2	2	-1	-1	249	249	0
Â???»¨Óê				139	2	2	-1	-1	54	54	0
??Â?µØÍø				139	2	2	-1	-1	58	58	0
¶á»êïÚ				139	2	2	-1	-1	47	47	0
É¢»¨ïÚ				139	2	2	-1	-1	341	341	0
¼ûÈËÉ?ÊÖ				139	2	2	-1	-1	122	122	0
Ø¤°ï?Æ·¨				139	2	2	-1	-1	116	116	0
½µÁú?Æ				139	2	2	-1	-1	274	274	0
¿ºÁúÓ?»Ú1				139	2	2	-1	-1	128	128	0
ÑØ?ÅÍ?²§				139	2	2	-1	-1	119	119	0
Ø¤°ï°ô·¨				139	2	2	-1	-1	115	115	0
´?¹·?ó				139	2	2	-1	-1	124	124	0
°ô´?¶ñ¹·				139	2	2	-1	-1	125	125	0
²?ÑôÈçÑª				139	2	2	-1	-1	135	135	0
??È??¬·¨				139	2	2	-1	-1	132	132	0
Á?»?Çé??				139	2	2	-1	-1	141	141	0
Íµ??»»È?				139	2	2	-1	-1	142	142	0
µ¯Ö¸Á?Ñæ				139	2	2	-1	-1	145	145	0
??È?µ¶·¨				139	2	2	-1	-1	131	131	0
ÍÆÉ½?îº£1				139	2	2	-1	-1	138	138	0
Ä§Ñ×ÆßÉ±1				139	2	2	-1	-1	148	148	0
Å­À×Ö¸				139	2	2	-1	-1	153	153	0
Îäµ±È­·¨				139	2	2	-1	-1	152	152	0
°?¼°¶ø¸´1				139	2	2	-1	-1	164	164	0
Î?Î?Î?½£1				139	2	2	-1	-1	165	165	0
²×º£?÷ÔÂ				139	2	2	-1	-1	155	155	0
Îäµ±½£·¨				139	2	2	-1	-1	151	151	0
½£·É¾ª??				139	2	2	-1	-1	158	158	0
È?»·?×ÔÂ				139	2	2	-1	-1	267	267	0
ºô·ç·¨				139	2	2	-1	-1	169	169	0
À¥ÂØµ¶·¨				139	2	2	-1	-1	167	167	0
?»ÆøÈ?Çå·û				139	2	2	-1	-1	178	178	0
¿ñ·çÖèµç				139	2	2	-1	-1	176	176	0
¿ñÀ×??µØ				139	2	2	-1	-1	179	179	0
À¥ÂØ½£·¨				139	2	2	-1	-1	168	168	0
??¼ÊÑ¸À×				139	2	2	-1	-1	172	172	0
ÎåÀ×??·¨				139	2	2	-1	-1	182	182	0
??Áú²»Óê				139	3	3	-1	-1	14	14	0
ÉÙÁÖÈ­·¨1				139	3	3	-1	-1	8	8	0
Áú×¦»¢×¥				139	3	3	-1	-1	271	271	0
½?¸?·üÄ§				139	3	3	-1	-1	10	10	0
ÉÙÁÖ¹÷·¨				139	3	3	-1	-1	4	4	0
ºáÉ¨ÁùºÏ				139	3	3	-1	-1	11	11	0
ÉÙÁÖµ¶·¨				139	3	3	-1	-1	6	6	0
Ä¦Ú­Î?Á¿				139	3	3	-1	-1	19	19	0
?¶Áú¾÷				139	3	3	-1	-1	29	29	0
??Í?´¸·¨				139	3	3	-1	-1	26	26	0
??ÔÆ¾÷				139	3	3	-1	-1	31	31	0
³ËÁú¾÷				139	3	3	-1	-1	324	324	0
»Ø·çÂäÑ?				139	3	3	-1	-1	30	30	0
??Í?Ç¹·¨				139	3	3	-1	-1	23	23	0
Ñô¹ØÈ?µ?				139	3	3	-1	-1	35	35	0
Ñª?½°Ë·½				139	3	3	-1	-1	41	41	0
¾ªÀ×?¶				139	3	3	-1	-1	34	34	0
??Í?µ¶·¨				139	3	3	-1	-1	24	24	0
Æ?·ç?¶				139	3	3	-1	-1	37	37	0
Î??Ä?¶				139	3	3	-1	-1	32	32	0
?»?¶ÖªÇï				139	3	3	-1	-1	85	85	0
¶ëá?½£·¨				139	3	3	-1	-1	77	77	0
ÍÆ´°ÍûÔÂ				139	3	3	-1	-1	385	385	0
²»??²»¾ø				139	3	3	-1	-1	88	88	0
Æ®Ñ©´©ÔÆ				139	3	3	-1	-1	80	80	0
¶ëá??Æ·¨1				139	3	3	-1	-1	79	79	0
ËÄÏóÍ¬¹é				139	3	3	-1	-1	82	82	0
·?¹âÆ???1				139	3	3	-1	-1	91	91	0
·ç»¨Ñ©ÔÂ				139	3	3	-1	-1	99	99	0
´äÑ?µ¶·¨				139	3	3	-1	-1	95	95	0
Óê´?Àæ»¨				139	3	3	-1	-1	105	105	0
ÄÁ?°Á÷?Ç				139	3	3	-1	-1	108	108	0
·ç¾í²?Ñ©				139	3	3	-1	-1	102	102	0
´äÑ?Ë«µ¶1				139	3	3	-1	-1	97	97	0
¸¡ÔÆÉ¢Ñ©				139	3	3	-1	-1	113	113	0
±?º£³±Éú				139	3	3	-1	-1	111	111	0
¶¾É°?Æ				139	3	3	-1	-1	63	63	0
Îå¶¾?Æ·¨				139	3	3	-1	-1	62	62	0
ÓÄÚ¤÷¼÷?				139	3	3	-1	-1	68	68	0
??î¸µØÉ·ÊÖ				139	3	3	-1	-1	71	71	0
Ñªµ¶¶¾É±				139	3	3	-1	-1	65	65	0
Îå¶¾µ¶·¨				139	3	3	-1	-1	60	60	0
°Ù¶¾´©?Ä				139	3	3	-1	-1	384	384	0
Ö?¸?ÇàÚ¤				139	3	3	-1	-1	74	74	0
Åùö¨µ¯				139	3	3	-1	-1	45	45	0
?Æ?Å°µÆ÷				139	3	3	-1	-1	43	43	0
×·?Ä¼?				139	3	3	-1	-1	50	50	0
?¡Àî·Éµ¶				139	3	3	-1	-1	249	249	0
Â???»¨Óê				139	3	3	-1	-1	54	54	0
??Â?µØÍø				139	3	3	-1	-1	58	58	0
¶á»êïÚ				139	3	3	-1	-1	47	47	0
É¢»¨ïÚ				139	3	3	-1	-1	341	341	0
¼ûÈËÉ?ÊÖ				139	3	3	-1	-1	122	122	0
Ø¤°ï?Æ·¨				139	3	3	-1	-1	116	116	0
½µÁú?Æ				139	3	3	-1	-1	274	274	0
¿ºÁúÓ?»Ú1				139	3	3	-1	-1	128	128	0
ÑØ?ÅÍ?²§				139	3	3	-1	-1	119	119	0
Ø¤°ï°ô·¨				139	3	3	-1	-1	115	115	0
´?¹·?ó				139	3	3	-1	-1	124	124	0
°ô´?¶ñ¹·				139	3	3	-1	-1	125	125	0
²?ÑôÈçÑª				139	3	3	-1	-1	135	135	0
??È??¬·¨				139	3	3	-1	-1	132	132	0
Á?»?Çé??				139	3	3	-1	-1	141	141	0
Íµ??»»È?				139	3	3	-1	-1	142	142	0
µ¯Ö¸Á?Ñæ				139	3	3	-1	-1	145	145	0
??È?µ¶·¨				139	3	3	-1	-1	131	131	0
ÍÆÉ½?îº£1				139	3	3	-1	-1	138	138	0
Ä§Ñ×ÆßÉ±1				139	3	3	-1	-1	148	148	0
Å­À×Ö¸				139	3	3	-1	-1	153	153	0
Îäµ±È­·¨				139	3	3	-1	-1	152	152	0
°?¼°¶ø¸´1				139	3	3	-1	-1	164	164	0
Î?Î?Î?½£1				139	3	3	-1	-1	165	165	0
²×º£?÷ÔÂ				139	3	3	-1	-1	155	155	0
Îäµ±½£·¨				139	3	3	-1	-1	151	151	0
½£·É¾ª??				139	3	3	-1	-1	158	158	0
È?»·?×ÔÂ				139	3	3	-1	-1	267	267	0
ºô·ç·¨				139	3	3	-1	-1	169	169	0
À¥ÂØµ¶·¨				139	3	3	-1	-1	167	167	0
?»ÆøÈ?Çå·û				139	3	3	-1	-1	178	178	0
¿ñ·çÖèµç				139	3	3	-1	-1	176	176	0
¿ñÀ×??µØ				139	3	3	-1	-1	179	179	0
À¥ÂØ½£·¨				139	3	3	-1	-1	168	168	0
??¼ÊÑ¸À×				139	3	3	-1	-1	172	172	0
ÎåÀ×??·¨				139	3	3	-1	-1	182	182	0
ºáÉ¨Ç§¾ü2				139	1	1	-1	-1	319	319	0
Î?Ïà?¶				139	1	1	-1	-1	321	321	0
×··ç¾÷				139	1	1	-1	-1	325	325	0
×·?ÇÖ?ÔÂ				139	1	1	-1	-1	323	323	0
ÆÆ???¶				139	1	1	-1	-1	322	322	0
È?¶ëö«Ñ©				139	1	1	-1	-1	328	328	0
·çËªËéÓ°				139	1	1	-1	-1	380	380	0
±ù×ÙÎ?Ó°				139	1	1	-1	-1	336	336	0
±ù?ÄÏÉ×Ó				139	1	1	-1	-1	337	337	0
??·çÊ´¹Ç				139	1	1	-1	-1	353	353	0
?????¶				139	1	1	-1	-1	355	355	0
Éå»êÔÂÓ°				139	1	1	-1	-1	339	339	0
±©ÓêÀæ»¨				139	1	1	-1	-1	302	302	0
¾Å¹¬·É?Ç				139	1	1	-1	-1	342	342	0
·ÉÁúÔÚ??				139	1	1	-1	-1	357	357	0
??ÏÂÎ?¹·				139	1	1	-1	-1	359	359	0
ÔÆÁú»÷				139	1	1	-1	-1	361	361	0
??ÍâÁ÷?Ç				139	1	1	-1	-1	362	362	0
??µØÎ?¼«1				139	1	1	-1	-1	365	365	0
ÈË½£ºÏ?»				139	1	1	-1	-1	368	368	0
°ÁÑ©?¥·ç				139	1	1	-1	-1	372	372	0
À×¶¯¾Å??				139	1	1	-1	-1	375	375	0
ºáÉ¨Ç§¾ü2				139	2	2	-1	-1	319	319	0
Î?Ïà?¶				139	2	2	-1	-1	321	321	0
×··ç¾÷				139	2	2	-1	-1	325	325	0
×·?ÇÖ?ÔÂ				139	2	2	-1	-1	323	323	0
ÆÆ???¶				139	2	2	-1	-1	322	322	0
È?¶ëö«Ñ©				139	2	2	-1	-1	328	328	0
·çËªËéÓ°				139	2	2	-1	-1	380	380	0
±ù×ÙÎ?Ó°				139	2	2	-1	-1	336	336	0
±ù?ÄÏÉ×Ó				139	2	2	-1	-1	337	337	0
??·çÊ´¹Ç				139	2	2	-1	-1	353	353	0
?????¶				139	2	2	-1	-1	355	355	0
Éå»êÔÂÓ°				139	2	2	-1	-1	339	339	0
±©ÓêÀæ»¨				139	2	2	-1	-1	302	302	0
¾Å¹¬·É?Ç				139	2	2	-1	-1	342	342	0
·ÉÁúÔÚ??				139	2	2	-1	-1	357	357	0
??ÏÂÎ?¹·				139	2	2	-1	-1	359	359	0
ÔÆÁú»÷				139	2	2	-1	-1	361	361	0
??ÍâÁ÷?Ç				139	2	2	-1	-1	362	362	0
??µØÎ?¼«1				139	2	2	-1	-1	365	365	0
ÈË½£ºÏ?»				139	2	2	-1	-1	368	368	0
°ÁÑ©?¥·ç				139	2	2	-1	-1	372	372	0
À×¶¯¾Å??				139	2	2	-1	-1	375	375	0
ÄÚÁ¦»Ø¸´?§ÂÊ(1¼¶)				248	1	1	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(2¼¶)				248	2	2	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(3¼¶)				248	3	3	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(4¼¶)				248	4	4	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(5¼¶)				248	5	5	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(6¼¶)				248	6	6	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(7¼¶)				248	7	7	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(8¼¶)				248	8	8	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(9¼¶)				248	9	9	-1	-1	0	0	0
ÄÚÁ¦»Ø¸´?§ÂÊ(10¼¶)				248	10	10	-1	-1	0	0	0
¶Ô¹¥»÷¼¼ÄÜ¼Ó³É20				243	20	20	-1	-1	0	0	0
¶Ô¹¥»÷¼¼ÄÜ¼Ó³É40				243	40	40	-1	-1	0	0	0
?ÂµÖÏûÉËº¦60				237	60	60	-1	-1	0	0	0
?ÂµÖÏûÉËº¦120				237	120	120	-1	-1	0	0	0
´ïÄ¦¶É½­1				139	1	1	-1	-1	318	318	0
´ïÄ¦¶É½­2				139	2	2	-1	-1	318	318	0
´ïÄ¦¶É½­3				139	3	3	-1	-1	318	318	0
?Â¶¾·À£¨1¼¶£©				228	25	25	-1	-1	0	0	0
?Â¶¾·À£¨2¼¶£©				228	30	30	-1	-1	0	0	0
?Â¶¾·À£¨3¼¶£©				228	35	35	-1	-1	0	0	0
?Â¶¾·À£¨4¼¶£©				228	40	40	-1	-1	0	0	0
?Â¶¾·À£¨5¼¶£©				228	45	45	-1	-1	0	0	0
?Â¶¾·À£¨6¼¶£©				228	50	50	-1	-1	0	0	0
?Â¶¾·À£¨7¼¶£©				228	55	55	-1	-1	0	0	0
?Â¶¾·À£¨8¼¶£©				228	60	60	-1	-1	0	0	0
?Â¶¾·À£¨9¼¶£©				228	65	65	-1	-1	0	0	0
?Â¶¾·À£¨10¼¶£©				228	70	70	-1	-1	0	0	0
?Â¶¾·À£¨11¼¶£©				228	75	75	-1	-1	0	0	0
?Â¶¾·À£¨12¼¶£©				228	80	80	-1	-1	0	0	0
?Â¶¾·À£¨13¼¶£©				228	85	85	-1	-1	0	0	0
?Â¶¾·À£¨14¼¶£©				228	90	90	-1	-1	0	0	0
?Â¶¾·À£¨15¼¶£©				228	95	95	-1	-1	0	0	0
?Â¶¾·À£¨16¼¶£©				228	100	100	-1	-1	0	0	0
?Â¶¾·À£¨17¼¶£©				228	105	105	-1	-1	0	0	0
?Â¶¾·À£¨18¼¶£©				228	110	110	-1	-1	0	0	0
?Â¶¾·À£¨19¼¶£©				228	115	115	-1	-1	0	0	0
?Â¶¾·À£¨20¼¶£©				228	120	120	-1	-1	0	0	0
?ÂÀ×·À£¨1¼¶£©				229	25	25	-1	-1	0	0	0
?ÂÀ×·À£¨2¼¶£©				229	30	30	-1	-1	0	0	0
?ÂÀ×·À£¨3¼¶£©				229	35	35	-1	-1	0	0	0
?ÂÀ×·À£¨4¼¶£©				229	40	40	-1	-1	0	0	0
?ÂÀ×·À£¨5¼¶£©				229	45	45	-1	-1	0	0	0
?ÂÀ×·À£¨6¼¶£©				229	50	50	-1	-1	0	0	0
?ÂÀ×·À£¨7¼¶£©				229	55	55	-1	-1	0	0	0
?ÂÀ×·À£¨8¼¶£©				229	60	60	-1	-1	0	0	0
?ÂÀ×·À£¨9¼¶£©				229	65	65	-1	-1	0	0	0
?ÂÀ×·À£¨10¼¶£©				229	70	70	-1	-1	0	0	0
?ÂÀ×·À£¨11¼¶£©				229	75	75	-1	-1	0	0	0
?ÂÀ×·À£¨12¼¶£©				229	80	80	-1	-1	0	0	0
?ÂÀ×·À£¨13¼¶£©				229	85	85	-1	-1	0	0	0
?ÂÀ×·À£¨14¼¶£©				229	90	90	-1	-1	0	0	0
?ÂÀ×·À£¨15¼¶£©				229	95	95	-1	-1	0	0	0
?ÂÀ×·À£¨16¼¶£©				229	100	100	-1	-1	0	0	0
?ÂÀ×·À£¨17¼¶£©				229	105	105	-1	-1	0	0	0
?ÂÀ×·À£¨18¼¶£©				229	110	110	-1	-1	0	0	0
?ÂÀ×·À£¨19¼¶£©				229	115	115	-1	-1	0	0	0
?ÂÀ×·À£¨20¼¶£©				229	120	120	-1	-1	0	0	0
?Â»?·À£¨1¼¶£©				230	25	25	-1	-1	0	0	0
?Â»?·À£¨2¼¶£©				230	30	30	-1	-1	0	0	0
?Â»?·À£¨3¼¶£©				230	35	35	-1	-1	0	0	0
?Â»?·À£¨4¼¶£©				230	40	40	-1	-1	0	0	0
?Â»?·À£¨5¼¶£©				230	45	45	-1	-1	0	0	0
?Â»?·À£¨6¼¶£©				230	50	50	-1	-1	0	0	0
?Â»?·À£¨7¼¶£©				230	55	55	-1	-1	0	0	0
?Â»?·À£¨8¼¶£©				230	60	60	-1	-1	0	0	0
?Â»?·À£¨9¼¶£©				230	65	65	-1	-1	0	0	0
?Â»?·À£¨10¼¶£©				230	70	70	-1	-1	0	0	0
?Â»?·À£¨11¼¶£©				230	75	75	-1	-1	0	0	0
?Â»?·À£¨12¼¶£©				230	80	80	-1	-1	0	0	0
?Â»?·À£¨13¼¶£©				230	85	85	-1	-1	0	0	0
?Â»?·À£¨14¼¶£©				230	90	90	-1	-1	0	0	0
?Â»?·À£¨15¼¶£©				230	95	95	-1	-1	0	0	0
?Â»?·À£¨16¼¶£©				230	100	100	-1	-1	0	0	0
?Â»?·À£¨17¼¶£©				230	105	105	-1	-1	0	0	0
?Â»?·À£¨18¼¶£©				230	110	110	-1	-1	0	0	0
?Â»?·À£¨19¼¶£©				230	115	115	-1	-1	0	0	0
?Â»?·À£¨20¼¶£©				230	120	120	-1	-1	0	0	0
?ÂÆ?·À£¨1¼¶£©				231	25	25	-1	-1	0	0	0
?ÂÆ?·À£¨2¼¶£©				231	30	30	-1	-1	0	0	0
?ÂÆ?·À£¨3¼¶£©				231	35	35	-1	-1	0	0	0
?ÂÆ?·À£¨4¼¶£©				231	40	40	-1	-1	0	0	0
?ÂÆ?·À£¨5¼¶£©				231	45	45	-1	-1	0	0	0
?ÂÆ?·À£¨6¼¶£©				231	50	50	-1	-1	0	0	0
?ÂÆ?·À£¨7¼¶£©				231	55	55	-1	-1	0	0	0
?ÂÆ?·À£¨8¼¶£©				231	60	60	-1	-1	0	0	0
?ÂÆ?·À£¨9¼¶£©				231	65	65	-1	-1	0	0	0
?ÂÆ?·À£¨10¼¶£©				231	70	70	-1	-1	0	0	0
?ÂÆ?·À£¨11¼¶£©				231	75	75	-1	-1	0	0	0
?ÂÆ?·À£¨12¼¶£©				231	80	80	-1	-1	0	0	0
?ÂÆ?·À£¨13¼¶£©				231	85	85	-1	-1	0	0	0
?ÂÆ?·À£¨14¼¶£©				231	90	90	-1	-1	0	0	0
?ÂÆ?·À£¨15¼¶£©				231	95	95	-1	-1	0	0	0
?ÂÆ?·À£¨16¼¶£©				231	100	100	-1	-1	0	0	0
?ÂÆ?·À£¨17¼¶£©				231	105	105	-1	-1	0	0	0
?ÂÆ?·À£¨18¼¶£©				231	110	110	-1	-1	0	0	0
?ÂÆ?·À£¨19¼¶£©				231	115	115	-1	-1	0	0	0
?ÂÆ?·À£¨20¼¶£©				231	120	120	-1	-1	0	0	0
?Â±ù·À£¨1¼¶£©				232	25	25	-1	-1	0	0	0
?Â±ù·À£¨2¼¶£©				232	30	30	-1	-1	0	0	0
?Â±ù·À£¨3¼¶£©				232	35	35	-1	-1	0	0	0
?Â±ù·À£¨4¼¶£©				232	40	40	-1	-1	0	0	0
?Â±ù·À£¨5¼¶£©				232	45	45	-1	-1	0	0	0
?Â±ù·À£¨6¼¶£©				232	50	50	-1	-1	0	0	0
?Â±ù·À£¨7¼¶£©				232	55	55	-1	-1	0	0	0
?Â±ù·À£¨8¼¶£©				232	60	60	-1	-1	0	0	0
?Â±ù·À£¨9¼¶£©				232	65	65	-1	-1	0	0	0
?Â±ù·À£¨10¼¶£©				232	70	70	-1	-1	0	0	0
?Â±ù·À£¨11¼¶£©				232	75	75	-1	-1	0	0	0
?Â±ù·À£¨12¼¶£©				232	80	80	-1	-1	0	0	0
?Â±ù·À£¨13¼¶£©				232	85	85	-1	-1	0	0	0
?Â±ù·À£¨14¼¶£©				232	90	90	-1	-1	0	0	0
?Â±ù·À£¨15¼¶£©				232	95	95	-1	-1	0	0	0
?Â±ù·À£¨16¼¶£©				232	100	100	-1	-1	0	0	0
?Â±ù·À£¨17¼¶£©				232	105	105	-1	-1	0	0	0
?Â±ù·À£¨18¼¶£©				232	110	110	-1	-1	0	0	0
?Â±ù·À£¨19¼¶£©				232	115	115	-1	-1	0	0	0
?Â±ù·À£¨20¼¶£©				232	120	120	-1	-1	0	0	0
?ÂÉú?ü£¨1¼¶£©				233	200	200	-1	-1	0	0	0
?ÂÉú?ü£¨2¼¶£©				233	280	280	-1	-1	0	0	0
?ÂÉú?ü£¨3¼¶£©				233	360	360	-1	-1	0	0	0
?ÂÉú?ü£¨4¼¶£©				233	440	440	-1	-1	0	0	0
?ÂÉú?ü£¨5¼¶£©				233	520	520	-1	-1	0	0	0
?ÂÉú?ü£¨6¼¶£©				233	600	600	-1	-1	0	0	0
?ÂÉú?ü£¨7¼¶£©				233	680	680	-1	-1	0	0	0
?ÂÉú?ü£¨8¼¶£©				233	760	760	-1	-1	0	0	0
?ÂÉú?ü£¨9¼¶£©				233	840	840	-1	-1	0	0	0
?ÂÉú?ü£¨10¼¶£©				233	920	920	-1	-1	0	0	0
?ÂÉú?ü£¨11¼¶£©				233	1000	1000	-1	-1	0	0	0
