NpcList	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
ani037	80,8,136	80,8,136	80,8,136	104,8,92	104,8,92	104,8,92	104,8,92	64,8,96	96,8,112	104,8,88	104,8,88	104,8,88	80,8,136	104,8,92
ani038	104,8,50	104,8,50	104,8,80	104,8,80	104,8,80	104,8,80	104,8,80	64,8,40	96,8,80	104,8,50	104,8,50	104,8,50	104,8,50	104,8,80
ani039	104,8,136	104,8,136	104,8,136	104,8,88	104,8,88	104,8,88	104,8,88	64,8,92	96,8,112	104,8,84	104,8,84	104,8,84	104,8,136	104,8,88
ani040	80,8,1	80,8,1	80,8,1	104,8,1	104,8,1	104,8,1	104,8,1	64,8,1	96,8,1	104,8,1	104,8,1	104,8,1	80,8,1	104,8,1
ani041	96,8,80	96,8,80	96,8,80	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	104,8,100	104,8,80	104,8,80	104,8,80	96,8,80	64,8,100
ani042	96,8,80	96,8,80	96,8,80	96,8,80	96,8,80	96,8,80	96,8,80	64,8,88	104,8,100	64,8,80	64,8,80	64,8,80	96,8,80	96,8,80
ani043	96,8,80	96,8,80	64,8,100	96,8,80	96,8,80	96,8,80	96,8,80	64,8,80	104,8,100	64,8,80	64,8,80	64,8,80	96,8,80	96,8,80
ani045	80,8,70	80,8,70	136,8,80	80,8,70	80,8,70	80,8,70	80,8,70	48,8,100	96,8,100	96,8,80	96,8,80	96,8,80	80,8,70	80,8,70
ani046	80,8,70	80,8,70	136,8,70	80,8,70	80,8,70	80,8,70	80,8,70	48,8,100	96,8,100	96,8,80	96,8,80	96,8,80	80,8,70	80,8,70
ani047	80,8,70	80,8,70	136,8,70	80,8,70	80,8,70	80,8,70	80,8,70	48,8,92	96,8,96	96,8,80	96,8,80	96,8,80	80,8,70	80,8,70
ani048	80,8,70	80,8,70	136,8,70	80,8,70	80,8,70	80,8,70	80,8,70	48,8,92	96,8,96	96,8,80	96,8,80	96,8,80	80,8,70	80,8,70
ani049	64,8,150	64,8,150	88,8,136	88,8,70	88,8,70	88,8,70	88,8,70	48,8,120	96,8,120	80,8,112	80,8,112	80,8,112	64,8,150	88,8,70
ani050	64,8,60	64,8,60	80,8,80	80,8,45	80,8,45	80,8,45	80,8,45	64,8,50	96,8,80	80,8,60	80,8,60	80,8,60	64,8,60	80,8,45
ani051	64,8,70	64,8,70	88,8,80	80,8,40	80,8,40	80,8,40	80,8,40	64,8,60	112,8,100	88,8,80	88,8,80	88,8,80	64,8,70	80,8,40
ani052	64,8,90	64,8,90	88,8,100	80,8,40	80,8,40	80,8,40	80,8,40	64,8,60	112,8,110	80,8,80	80,8,80	80,8,80	64,8,90	80,8,40
ani053	120,8,120	120,8,120	112,8,112	112,8,75	112,8,75	112,8,75	112,8,75	48,8,100	104,8,118	104,8,100	104,8,100	104,8,100	120,8,120	112,8,75
ani054	120,8,120	120,8,120	112,8,112	112,8,70	112,8,70	112,8,70	112,8,70	48,8,110	112,8,100	120,8,78	120,8,78	120,8,78	120,8,120	112,8,70
ani055	120,8,112	120,8,112	112,8,112	112,8,75	112,8,75	112,8,75	112,8,75	48,8,110	88,8,128	168,8,68	168,8,68	168,8,68	120,8,112	112,8,75
ani056	120,8,90	120,8,90	112,8,80	120,8,80	120,8,80	120,8,80	120,8,80	48,8,100	88,8,65	168,8,75	168,8,75	168,8,75	120,8,90	120,8,80
ani058	64,8,1	64,8,1	64,8,1	112,8,1	112,8,1	112,8,1	112,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	112,8,1
ani059	80,8,140	80,8,140	80,8,140	120,8,92	120,8,92	120,8,92	120,8,92	48,8,110	112,8,100	80,8,105	80,8,105	80,8,105	80,8,140	120,8,92
ani060	96,8,150	96,8,150	96,8,150	96,8,100	96,8,100	96,8,100	96,8,100	64,8,75	104,8,100	96,8,75	96,8,75	96,8,75	96,8,150	96,8,100
ani061	112,8,128	112,8,128	112,8,128	96,8,92	96,8,92	96,8,92	96,8,92	48,8,120	112,8,112	104,8,96	104,8,96	104,8,96	112,8,128	96,8,92
ani063	120,8,90	120,8,90	128,8,70	64,8,80	64,8,80	64,8,80	64,8,80	56,8,80	120,8,80	120,8,80	120,8,80	120,8,80	120,8,90	64,8,80
ani065	48,8,180	48,8,180	64,8,128	56,8,150	56,8,150	56,8,150	56,8,150	48,8,120	64,8,150	64,8,128	64,8,128	64,8,128	48,8,180	56,8,150
ani066	80,8,150	80,8,150	80,8,150	64,8,128	64,8,128	64,8,128	64,8,128	32,8,150	80,8,150	80,8,100	80,8,100	80,8,100	80,8,150	64,8,128
ani067	48,8,150	48,8,150	64,8,112	48,8,100	48,8,100	48,8,100	48,8,100	48,8,108	88,8,109	88,8,81	88,8,81	88,8,81	48,8,150	48,8,100
passerby001	152,8,100	152,8,100	128,8,100										152,8,100	
passerby002	152,8,100	152,8,100	128,8,100										152,8,100	
passerby004_1	16,1,100	16,1,100	16,1,100										16,1,100	
passerby004_2	16,1,100	16,1,100	16,1,100										16,1,100	
passerby004_3	16,1,100	16,1,100	16,1,100										16,1,100	
passerby006_1	16,1,100	16,1,100	16,1,100										16,1,100	
passerby006_2	16,1,100	16,1,100	16,1,100										16,1,100	
passerby006_3	16,1,100	16,1,100	16,1,100										16,1,100	
passerby007	56,8,100	56,8,100	56,8,100										56,8,100	
passerby008	152,8,100	152,8,100	152,8,100										152,8,100	
passerby010	152,8,100	152,8,100	136,8,100										152,8,100	
passerby011_1	40,1,100	40,1,100	40,1,100										40,1,100	
passerby011_2	40,1,100	40,1,100	40,1,100										40,1,100	
passerby011_3	40,1,100	40,1,100	40,1,100										40,1,100	
passerby013	152,8,100	152,8,100	152,8,100										152,8,100	
passerby014	152,8,100	152,8,100	160,8,100										152,8,100	
passerby015	152,8,100	152,8,100	160,8,100										152,8,100	
passerby018	152,8,68	152,8,68	160,8,80										152,8,68	
passerby019	152,8,68	152,8,68	120,8,90										152,8,68	
passerby020	152,8,1	152,8,1	200,8,1										152,8,1	
passerby023	152,8,1	152,8,1	160,8,1										152,8,1	
passerby024	152,8,1	152,8,1	160,8,1										152,8,1	
passerby025	152,8,1	152,8,1	160,8,1										152,8,1	
passerby027	152,8,1	152,8,1	256,8,1										152,8,1	
passerby028	144,8,1	144,8,1	144,8,1										144,8,1	
passerby029	152,8,1	152,8,1	168,8,1										152,8,1	
passerby030	288,8,38	288,8,38	144,8,88										288,8,38	
passerby031	152,8,1	152,8,1	240,8,1										152,8,1	
passerby032	160,8,1	160,8,1	160,8,1										160,8,1	
passerby033	144,8,1	144,8,1	160,8,1										144,8,1	
passerby034	152,8,1	152,8,1	152,8,1										152,8,1	
passerby036_1	21,1,1	21,1,1	21,1,1										21,1,1	
passerby036_2	21,1,1	21,1,1	21,1,1										21,1,1	
passerby036_3	21,1,1	21,1,1	21,1,1										21,1,1	
passerby037_1	20,1,1	20,1,1	20,1,1										20,1,1	
passerby037_2	20,1,1	20,1,1	20,1,1										20,1,1	
passerby037_3	20,1,1	20,1,1	20,1,1										20,1,1	
passerby038_1	20,1,1	20,1,1	20,1,1										20,1,1	
passerby038_2	20,1,1	20,1,1	20,1,1										20,1,1	
passerby038_3	20,1,1	20,1,1	20,1,1										20,1,1	
passerby040_1	10,1,1	10,1,1	10,1,1										10,1,1	
passerby040_2	10,1,1	10,1,1	10,1,1										10,1,1	
passerby040_3	10,1,1	10,1,1	10,1,1										10,1,1	
passerby041	152,8,1	152,8,1	160,8,1										152,8,1	
passerby042	152,8,1	152,8,1	160,8,1										152,8,1	
passerby043	152,8,1	152,8,1	152,8,1										152,8,1	
passerby044	80,8,1	80,8,1	80,8,1										80,8,1	
passerby045	56,8,1	56,8,1	56,8,1										56,8,1	
passerby047	152,8,1	152,8,1	152,8,1										152,8,1	
passerby048	152,8,1	152,8,1	160,8,1										152,8,1	
passerby049	160,8,1	160,8,1	240,8,1										160,8,1	
passerby050	80,8,1	80,8,1	160,8,1										80,8,1	
passerby051	152,8,1	152,8,1	152,8,1										152,8,1	
passerby052	72,8,1	72,8,1	240,8,1										72,8,1	
passerby058	152,8,1	152,8,1	152,8,1										152,8,1	
passerby059	152,8,1	152,8,1	152,8,1										152,8,1	
passerby060	152,8,1	152,8,1	152,8,1										152,8,1	
passerby061_1	20,1,1	20,1,1	20,1,1										20,1,1	
passerby061_2	20,1,1	20,1,1	20,1,1										20,1,1	
passerby061_3	20,1,1	20,1,1	20,1,1										20,1,1	
passerby062_1	19,1,1	19,1,1	21,1,1										19,1,1	
passerby062_2	19,1,1	19,1,1	21,1,1										19,1,1	
passerby062_3	19,1,1	19,1,1	21,1,1										19,1,1	
passerby063_1	19,1,1	19,1,1	10,1,1										19,1,1	
passerby063_2	19,1,1	19,1,1	10,1,1										19,1,1	
passerby063_3	19,1,1	19,1,1	10,1,1										19,1,1	
passerby064_1	25,1,1	25,1,1	25,1,1										25,1,1	
passerby064_2	25,1,1	25,1,1	25,1,1										25,1,1	
passerby064_3	25,1,1	25,1,1	25,1,1										25,1,1	
passerby065_1	10,1,1	10,1,1	16,1,1										10,1,1	
passerby065_2	10,1,1	10,1,1	16,1,1										10,1,1	
passerby065_3	10,1,1	10,1,1	16,1,1										10,1,1	
passerby066_1	19,1,1	19,1,1	17,1,1										19,1,1	
passerby066_2	19,1,1	19,1,1	17,1,1										19,1,1	
passerby066_3	19,1,1	19,1,1	17,1,1										19,1,1	
passerby067_1	19,1,1	19,1,1	19,1,1										19,1,1	
passerby067_2	19,1,1	19,1,1	19,1,1										19,1,1	
passerby067_3	19,1,1	19,1,1	19,1,1										19,1,1	
passerby068_1	19,1,1	19,1,1	19,1,1										19,1,1	
passerby068_2	19,1,1	19,1,1	19,1,1										19,1,1	
passerby068_3	19,1,1	19,1,1	19,1,1										19,1,1	
passerby069_1	19,1,1	19,1,1	30,1,1										19,1,1	
passerby069_2	19,1,1	19,1,1	30,1,1										19,1,1	
passerby069_3	19,1,1	19,1,1	30,1,1										19,1,1	
passerby070_1	152,8,1	152,8,1	152,8,1										152,8,1	
passerby070_2	20,1,1	20,1,1	20,1,1										20,1,1	
passerby070_3	20,1,1	20,1,1	20,1,1										20,1,1	
passerby071_1	10,1,1	10,1,1	23,1,1										10,1,1	
passerby071_2	10,1,1	10,1,1	23,1,1										10,1,1	
passerby071_3	10,1,1	10,1,1	23,1,1										10,1,1	
passerby072_1	25,1,1	25,1,1	25,1,1										25,1,1	
passerby072_2	25,1,1	25,1,1	25,1,1										25,1,1	
passerby072_3	25,1,1	25,1,1	25,1,1										25,1,1	
passerby073_1	19,1,1	19,1,1	19,1,1										19,1,1	
passerby073_2	19,1,1	19,1,1	19,1,1										19,1,1	
passerby073_3	19,1,1	19,1,1	19,1,1										19,1,1	
passerby074_1	19,1,1	19,1,1	19,1,1										19,1,1	
passerby074_2	19,1,1	19,1,1	19,1,1										19,1,1	
passerby074_3	19,1,1	19,1,1	19,1,1										19,1,1	
passerby075_1	19,1,1	19,1,1	20,1,1										19,1,1	
passerby075_2	19,1,1	19,1,1	20,1,1										19,1,1	
passerby075_3	19,1,1	19,1,1	20,1,1										19,1,1	
passerby076_1	20,1,1	20,1,1	20,1,1										20,1,1	
passerby076_2	20,1,1	20,1,1	20,1,1										20,1,1	
passerby076_3	20,1,1	20,1,1	20,1,1										20,1,1	
passerby077_1	25,1,100	25,1,100	25,1,100										25,1,100	
passerby077_2	25,1,100	25,1,100	25,1,100										25,1,100	
passerby077_3	25,1,100	25,1,100	25,1,100										25,1,100	
passerby079_1	19,1,1	19,1,1	18,1,1										19,1,1	
passerby079_2	19,1,1	19,1,1	18,1,1										19,1,1	
passerby079_3	19,1,1	19,1,1	18,1,1										19,1,1	
passerby080	80,8,1	80,8,1	160,8,1										80,8,1	
passerby088	30,1,140	30,1,140	30,1,140										30,1,140	
passerby092	80,8,80	80,8,80	128,8,90										80,8,80	
passerby094	120,8,80	120,8,80	240,8,95										120,8,80	
passerby095	160,8,80	160,8,80	160,8,80										160,8,80	
passerby097	120,8,80	120,8,80	248,8,80										120,8,80	
passerby099	152,8,60	152,8,60	152,8,60										152,8,60	
passerby100	120,8,90	120,8,90	240,8,75										120,8,90	
passerby101	80,8,85	80,8,85	288,8,85										80,8,85	
passerby102	80,8,85	80,8,85	256,8,120										80,8,85	
passerby103	120,8,115	120,8,115	192,8,130										120,8,115	
passerby104	152,8,60	152,8,60	160,8,80										152,8,60	
passerby105	120,8,80	120,8,80	128,8,80										120,8,80	
passerby108	152,8,60	152,8,60	160,8,80										152,8,60	
passerby110	160,8,60	160,8,60	160,8,60										160,8,60	
passerby112	128,8,80	128,8,80	128,8,80										128,8,80	
passerby117	152,8,70	152,8,70	160,8,80										152,8,70	
passerby118	152,8,60	152,8,60	160,8,80										152,8,60	
passerby119	120,8,80	120,8,80	184,8,80										120,8,80	
passerby120	152,8,80	152,8,80	176,8,80										152,8,80	
passerby121	152,8,70	152,8,70	160,8,80										152,8,70	
passerby122	152,8,60	152,8,60	160,8,60										152,8,60	
passerby123	152,8,70	152,8,70	160,8,80										152,8,70	
passerby124	152,8,60	152,8,60	160,8,80										152,8,60	
passerby125	152,8,60	152,8,60	160,8,80										152,8,60	
passerby127	152,8,120	152,8,120	168,8,115										152,8,120	
passerby128	160,8,115	160,8,115	160,8,130										160,8,115	
passerby129	152,8,125	152,8,125	168,8,80										152,8,125	
passerby130	8,8,80	8,8,80	400,8,40										8,8,80	
passerby131	152,8,130	152,8,130	168,8,115										152,8,130	
passerby132	152,8,120	152,8,120	168,8,140										152,8,120	
passerby133	86,8,145	86,8,145	90,8,120										86,8,145	
passerby134	88,8,140	88,8,140	152,8,100										88,8,140	
passerby135	152,8,60	152,8,60	160,8,80										152,8,60	
passerby136	152,8,60	152,8,60	152,8,80										152,8,60	
passerby137	152,8,70	152,8,70	160,8,80										152,8,70	
passerby138	152,8,60	152,8,60	160,8,80										152,8,60	
passerby139	152,8,60	152,8,60	152,8,80										152,8,60	
passerby140	152,8,80	152,8,80	152,8,85										152,8,80	
passerby141	152,8,60	152,8,60	160,8,60										152,8,60	
passerby142	152,8,60	152,8,60	160,8,65										152,8,60	
passerby144	152,8,60	152,8,60	160,8,60										152,8,60	
passerby145	152,8,60	152,8,60	160,8,80										152,8,60	
passerby146	152,8,60	152,8,60	160,8,60										152,8,60	
passerby147	152,8,80	152,8,80	176,8,80										152,8,80	
passerby148	136,8,80	136,8,80	168,8,80										136,8,80	
passerby149	144,8,110	144,8,110	168,8,130										144,8,110	
passerby150	152,8,80	152,8,80	176,8,80										152,8,80	
passerby151	152,8,45	152,8,45	176,8,75										152,8,45	
passerby152	8,8,850	8,8,850	288,8,80										8,8,850	
passerby153	8,8,850	8,8,850	296,8,80										8,8,850	
passerby154	152,8,70	152,8,70	168,8,90										152,8,70	
passerby157			160,8,70											
passerby159	152,8,60	152,8,60	160,8,80										152,8,60	
passerby163	160,8,55	160,8,55	248,8,50										160,8,55	
passerby164	152,8,60	152,8,60	160,8,80										152,8,60	
passerby165	88,8,155	88,8,155	144,8,80										88,8,155	
passerby167	152,8,100	152,8,100	168,8,120										152,8,100	
passerby168	152,8,60	152,8,60	160,8,60										152,8,60	
passerby169	112,8,75	112,8,75	128,8,75										112,8,75	
passerby170	160,8,70	160,8,70	176,8,60										160,8,70	
passerby171	152,8,60	152,8,60	160,8,80										152,8,60	
passerby172	152,8,80	152,8,80	152,8,80										152,8,80	
passerby173	152,8,60	152,8,60	160,8,60										152,8,60	
passerby174	152,8,60	152,8,60	160,8,80										152,8,60	
passerby175	152,8,125	152,8,125	168,8,165										152,8,125	
passerby176	152,8,80	152,8,80	168,8,80										152,8,80	
passerby177	152,8,80	152,8,80	168,8,80										152,8,80	
passerby178	152,8,140	152,8,140	168,8,130										152,8,140	
passerby179	152,8,95	152,8,95	168,8,85										152,8,95	
passerby180	80,8,70	80,8,70	208,8,90										80,8,70	
passerby181	152,8,80	152,8,80	168,8,80										152,8,80	
passerby182	152,8,120	152,8,120	168,8,110										152,8,120	
passerby183	152,8,100	152,8,100	168,8,125										152,8,100	
passerby184	88,8,160	88,8,160	120,8,115										88,8,160	
passerby185	112,8,75	112,8,75	120,8,95										112,8,75	
passerby186	152,8,60	152,8,60	160,8,80										152,8,60	
passerby187	152,8,60	152,8,60	152,8,80										152,8,60	
passerby188	152,8,60	152,8,60	160,8,80										152,8,60	
passerby189	152,8,155	152,8,155	168,8,140										152,8,155	
passerby190	152,8,135	152,8,135	168,8,155										152,8,135	
passerby191	50,1,180	50,1,180	50,1,180										50,1,180	
passerby192	88,8,182	88,8,182	128,8,125										88,8,182	
passerby004_4	152,8,100	152,8,100	152,8,100										152,8,100	
passerby006_4	152,8,100	152,8,100	152,8,100										152,8,100	
passerby007_1	200,8,100	200,8,100	200,8,100										200,8,100	
passerby011_4	152,8,100	152,8,100	152,8,100										152,8,100	
passerby036_4	152,8,1	152,8,1	152,8,1										152,8,1	
passerby037_4	152,8,1	152,8,1	152,8,1										152,8,1	
passerby040_4	80,8,1	80,8,1	80,8,1										80,8,1	
passerby043_1	152,8,1	152,8,1	152,8,1										152,8,1	
passerby044_1	80,8,1	80,8,1	80,8,1										80,8,1	
passerby045_1	152,8,1	152,8,1	152,8,1										152,8,1	
passerby059_1	152,8,1	152,8,1	152,8,1										152,8,1	
passerby067_4	9,1,1	9,1,1	9,1,1										9,1,1	
passerby067_5	9,1,1	9,1,1	9,1,1										9,1,1	
passerby067_6	9,1,1	9,1,1	9,1,1										9,1,1	
passerby068_4	18,1,1	18,1,1	18,1,1										18,1,1	
passerby068_5	18,1,1	18,1,1	18,1,1										18,1,1	
passerby068_6	18,1,1	18,1,1	18,1,1										18,1,1	
passerby072_4	152,8,1	152,8,1	152,8,1										152,8,1	
passerby074_4	18,1,1	18,1,1	18,1,1										18,1,1	
passerby074_5	18,1,1	18,1,1	18,1,1										18,1,1	
passerby074_6	18,1,1	18,1,1	18,1,1										18,1,1	
passerby075_4	152,8,1	152,8,1	152,8,1										152,8,1	
passerby076_4	152,8,1	152,8,1	152,8,1										152,8,1	
critter001														
critter002														
critter003														
critter004														
critter005														
critter006														
critter007														
critter008	112,8,90	112,8,90	112,8,80										112,8,90	
critter009														
critter010														
critter011														
critter012														
critter013														
critter014														
critter015														
critter016	96,8,80	96,8,80	112,8,90	64,8,50	64,8,50								96,8,80	64,8,50
critter017	48,8,50	48,8,50	48,8,50	48,8,50	48,8,50								48,8,50	48,8,50
critter018	48,8,10	48,8,10	48,8,10	48,8,10	48,8,10								48,8,10	48,8,10
critter019	48,8,10	48,8,10	48,8,10	48,8,10	48,8,10								48,8,10	48,8,10
critter020	48,8,10	48,8,10	48,8,10	48,8,10	48,8,10								48,8,10	48,8,10
critter021	40,8,20	40,8,20	40,8,20	40,8,20	40,8,20								40,8,20	40,8,20
critter022	40,8,20	40,8,20	40,8,20	40,8,20	40,8,20								40,8,20	40,8,20
critter023	40,8,20	40,8,20	40,8,20	40,8,20	40,8,20								40,8,20	40,8,20
critter024	88,8,54	88,8,54	88,8,54	88,8,54	88,8,54								88,8,54	88,8,54
critter025	96,8,50	96,8,50	96,8,50	96,8,50	96,8,50								96,8,50	96,8,50
critter026	96,8,50	96,8,50	96,8,50	96,8,50	96,8,50								96,8,50	96,8,50
critter027	88,8,56	88,8,56	88,8,56	88,8,56	88,8,56								88,8,56	88,8,56
critter028	72,8,100	72,8,100	72,8,100	72,8,100	72,8,100								72,8,100	72,8,100
critter029	72,8,100	72,8,100	72,8,100	72,8,100	72,8,100								72,8,100	72,8,100
critter030	61,1,122	61,1,122	61,1,122	61,1,122	61,1,122								61,1,122	61,1,122
boss001	80,8,100	80,8,100	80,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,150	128,8,150	128,8,100	160,8,100	160,8,75	80,8,100	64,8,100
boss002	64,8,100	64,8,100	64,8,100	64,8,125	64,8,125	64,8,125	64,8,125	48,8,100	104,8,100	120,8,75	120,8,80	120,8,80	64,8,100	64,8,125
boss005	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	104,8,100	120,8,100	120,8,100	120,8,100	64,8,100	64,8,100
boss011	40,8,100	40,8,100	40,8,100	88,8,113	88,8,113	88,8,113	88,8,113	40,8,100	64,8,187	128,8,78	96,8,104	96,8,104	40,8,100	88,8,113
boss014	80,8,80	80,8,80	80,8,80	96,8,80	96,8,80	96,8,80	96,8,80	64,8,95	112,8,90	104,8,80	114,8,80	114,8,80	80,8,80	96,8,80
boss015	64,8,125	64,8,125	64,8,125	89,8,90	89,8,90	89,8,90	89,8,90	56,8,71	104,8,76	96,8,83	128,8,78	128,8,78	64,8,125	89,8,90
boss018	64,8,100	64,8,100	64,8,100	112,8,100	112,8,100	112,8,100	112,8,100	64,8,60	104,8,100	104,8,100	88,8,100	88,8,100	64,8,100	112,8,100
boss008	88,8,150	88,8,150	88,8,150	128,8,100	128,8,100	128,8,100	128,8,100	64,8,95	120,8,85	144,8,111	144,8,85	144,8,85	88,8,150	128,8,100
boss012	80,8,125	80,8,125	80,8,125	112,8,107	112,8,107	112,8,107	112,8,107	72,8,138	120,8,100	96,8,104	128,8,109	128,8,109	80,8,125	112,8,107
boss006	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	120,8,100	120,8,100	120,8,100	120,8,100	64,8,100	64,8,100
enemy195	128,8,62	128,8,62	128,8,62	128,8,46	128,8,46	128,8,46	128,8,46	48,8,100	72,8,111	128,8,62	128,8,62	128,8,62	128,8,62	128,8,46
enemy196	128,8,78	128,8,78	128,8,78	128,8,46	128,8,46	128,8,46	128,8,46	64,8,75	72,8,83	128,8,56	128,8,56	128,8,56	128,8,78	128,8,46
enemy197	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187	4,1,187
enemy198	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250	4,1,250
passerby193	11,1,113	11,1,113	11,1,113										11,1,113	
passerby194	11,1,113	11,1,113	11,1,113										11,1,113	
passerby195	11,1,113	11,1,113	11,1,113										11,1,113	
passerby196	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4	11,1,4
passerby197	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3	18,1,3
passerby198	22,2,100	22,2,100	22,2,100										22,2,100	
passerby199	5,1,160	5,1,160	5,1,160										5,1,160	
passerby200	112,8,75	112,8,75	112,8,75										112,8,75	
enemy199	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	64,8,93	72,8,111	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62
enemy200	96,8,83	96,8,83	96,8,83	128,8,62	128,8,62	128,8,62	128,8,62	64,8,93	128,8,62	128,8,62	128,8,62	128,8,62	96,8,83	128,8,62
enemy201	96,8,83	96,8,83	96,8,83	128,8,62	128,8,62	128,8,62	128,8,62	64,8,93	72,8,66	136,8,44	136,8,44	136,8,44	96,8,83	128,8,62
enemy202	128,8,46	128,8,46	128,8,46	128,8,46	128,8,46	128,8,46	128,8,46	64,8,112	72,8,111	128,8,78	128,8,78	128,8,78	128,8,46	128,8,46
enemy203	64,8,125	64,8,125	64,8,125	64,8,93	64,8,93	64,8,93	64,8,93	64,8,93	136,8,44	80,8,100	128,8,78	128,8,78	64,8,125	64,8,93
enemy204	80,8,90	80,8,90	80,8,90	120,8,50	120,8,50	120,8,50	120,8,50	56,8,85	144,8,50	128,8,62	120,8,63	120,8,63	80,8,90	120,8,50
enemy205	80,8,100	80,8,100	80,8,100	120,8,100	120,8,100	120,8,100	120,8,100	56,8,71	96,8,83	168,8,47	112,8,64	112,8,64	80,8,100	120,8,100
enemy206	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	64,8,81	72,8,83	128,8,62	168,8,66	168,8,66	128,8,62	128,8,62
enemy207	128,8,62	128,8,62	128,8,62	128,8,46	128,8,46	128,8,46	128,8,46	48,8,83	136,8,73	136,8,58	136,8,58	136,8,58	128,8,62	128,8,46
enemy208	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	128,8,62	64,8,93	72,8,111	152,8,78	152,8,78	152,8,78	128,8,62	128,8,62
npc050111001	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	48,8,166		64,8,125	64,8,125	64,8,125	64,8,125	64,8,125
npc050111002	64,8,93	64,8,93	64,8,93	64,8,125	64,8,125	64,8,125	64,8,125	48,8,125		64,8,125	64,8,125	64,8,125	64,8,93	64,8,125
npc050111003	64,8,93	64,8,93	64,8,93	64,8,125	64,8,125	64,8,125	64,8,125	48,8,125		64,8,125	64,8,125	64,8,125	64,8,93	64,8,125
npc050111004	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	48,8,125		160,8,50	160,8,50	160,8,50	64,8,125	64,8,125
npc050111005	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	48,8,125		160,8,75	160,8,75	160,8,75	64,8,125	64,8,125
npc050111006	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	48,8,125		104,8,76	104,8,76	104,8,76	64,8,125	64,8,125
npc050111007	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	64,8,125	48,8,150		104,8,76	104,8,76	104,8,76	64,8,125	64,8,125
npc050111008	9,1,166	9,1,166	9,1,166										9,1,166	
npc050111009	16,1,312	16,1,312	16,1,312										16,1,312	
npc050111010	14,1,357	14,1,357	14,1,357										14,1,357	
npc050111011	10,1,250	10,1,250	10,1,250										10,1,250	
npc050111012	16,1,212	16,1,212	16,1,212										16,1,212	
boss003	64,8,150	64,8,150	64,8,150	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	120,8,100	120,8,100	120,8,100	120,8,100	64,8,150	64,8,100
boss004	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	64,8,100	112,8,100	120,8,100	144,8,100	144,8,100	64,8,100	64,8,100
boss007	80,8,125	80,8,125	80,8,125	96,8,145	96,8,145	96,8,145	96,8,145	64,8,93	96,8,145	96,8,104	112,8,107	112,8,107	80,8,125	96,8,145
boss009	80,8,100	80,8,100	80,8,100	112,8,100	112,8,100	112,8,100	112,8,100	80,8,50	104,8,100	120,8,100	120,8,80	120,8,80	80,8,100	112,8,100
boss013	80,8,100	80,8,100	80,8,100	112,8,100	112,8,100	112,8,100	112,8,100	64,8,85	128,8,125	160,8,95	144,8,100	144,8,100	80,8,100	112,8,100
boss017	32,8,187	32,8,187	32,8,187	72,8,138	72,8,138	72,8,138	72,8,138	32,8,125	48,8,125	72,8,111	126,8,83	126,8,83	32,8,187	72,8,138
boss019	64,8,125	64,8,125	64,8,125	88,8,90	88,8,90	88,8,90	88,8,90	56,8,71	64,8,125	88,8,113	128,8,62	128,8,62	64,8,125	88,8,90
boss022	64,8,125	64,8,125	64,8,125	64,8,93	64,8,93	64,8,93	64,8,93	80,8,75	128,8,78	64,8,125	192,8,72	192,8,72	64,8,125	64,8,93
boss023	64,8,125	64,8,125	64,8,125	64,8,93	64,8,93	64,8,93	64,8,93	64,8,93	72,8,111	64,8,125	80,8,144	80,8,144	64,8,125	64,8,93
