Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
§ång Trô 	0	7	9	\spr\item\equip\cap\obj-fm-cap07-1.spr	28	2	2	Lo¹i gi¸p trô b»ng ®ång, c¸c sÜ binh th­êng mÆc. 		150	2	0	30	50	50	31	10	10																36	7	32	45	33	25			38	1		
Tinh §ång Trô 	0	7	9	\spr\item\equip\cap\obj-fm-cap07-2.spr	28	2	2	Lo¹i kh«i ®­îc tinh chÕ b»ng ®ång. 		300	3	0	30	75	75	31	13	13																36	13	32	60	33	30			38	1		
XÝch §ån B× M·o	0	7	9	\spr\item\equip\cap\obj-fm-cap07-3.spr	28	2	2	Lo¹i mò b¶o hé ®­îc lµm tõ da s­ tö biÓn, tÝnh phßng ngù tÊt cao. 		500	4	0	30	100	100	31	15	15																36	19	32	75	33	35			38	1		
Thó Cèt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap08-1.spr	30	2	2	Lo¹i Tr©m lµm b»ng x­¬ng thó. 		800	5	0	30	125	125	31	17	17																36	26	32	90	33	40			38	1		
Tö Cèt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap08-2.spr	30	2	2	Lo¹i Tr©m lµm b»ng x­¬ng thó. 		1200	6	0	30	150	150	31	20	20																36	33	32	105	33	45			38	1		
HuyÒn Cèt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap08-3.spr	30	2	2	Lo¹i Tr©m lµm b»ng x­¬ng thó, rÊt quý hiÕm. 		1750	7	0	30	175	175	31	22	22																36	40	32	120	33	50			38	1		
Hæ B×DiÖn Tr¸o	0	7	9	\spr\item\equip\cap\obj-fm-cap09-1.spr	28	2	2	Lo¹i mò phßng hé th­îng ®¼ng b»ng da Hæ. 		2400	8	0	30	200	200	31	25	25																36	46	32	135	33	55			38	1		
§iªu B× DiÖn Tr¸o	0	7	9	\spr\item\equip\cap\obj-fm-cap09-2.spr	28	2	2	Lo¹i mò phßng hé th­îng ®¼ng b»ng da chån. 		3200	9	0	30	225	225	31	27	27																36	53	32	150	33	60			38	1		
HuyÒn Tª DiÖn Tr¸o	0	7	9	\spr\item\equip\cap\obj-fm-cap09-3.spr	28	2	2	Lo¹i mò phßng hé th­îng ®¼ng b»ng da tª gi¸c, cùc kú quý hiÕm. 		4000	10	0	30	250	250	31	30	30																36	60	32	165	33	65			38	1		
Th« ThiÕt §Çu Hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap10-1.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ thÐp, kh¶ n¨ng phßng ngù rÊt cao. 		60	1	0	30	25	25	31	8	8																36	1	32	30	33	20			38	1		
TÕ ThiÕt §Çu Hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap10-1.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ thÐp, kh¶ n¨ng phßng ngù rÊt cao. 		160	2	0	30	50	50	31	10	10																36	7	32	45	33	25			38	1		
Hoµng §ång §Çu Hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap10-2.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ ®ång, kh¶ n¨ng phßng ngù rÊt cao		375	3	0	30	75	75	31	13	13																36	13	32	60	33	30			38	1		
Lôc Ngäc §Çu Hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap10-3.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ thÐp cã kh¶m ngäc. 		600	4	0	30	100	100	31	15	15																36	19	32	75	33	35			38	1		
Kª VÜ Thoa	0	7	10	\spr\item\equip\cap\obj-fm-cap11-1.spr	30	2	2	Lo¹i thoa ®­îc lµm tõ ®u«i chim, rÊt n÷ tÝnh. 		900	5	0	30	125	125	31	17	17																36	26	32	90	33	40			38	1		
Anh vò Thoa	0	7	10	\spr\item\equip\cap\obj-fm-cap11-2.spr	30	2	2	Lo¹i tr©m thoa lµm tõ l«ng chim anh Vò, rÊt ®Ñp. 		1250	6	0	30	150	150	31	20	20																36	33	32	105	33	45			38	1		
Bµn Xµ Thoa	0	7	10	\spr\item\equip\cap\obj-fm-cap11-3.spr	30	2	2	Lo¹i tr©m thoa ®­îc mµi tõ b¶o th¹ch, trén lÉn víi da r¾n, cùc kú cao quý. 		1850	7	0	30	175	175	31	22	22																36	40	32	120	33	50			38	1		
Chu Sa §Çu Hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap12-1.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ thÐp, cã kh¶m rÊt nhiÒu lo¹i ®¸ quý 		2500	8	0	30	200	200	31	25	25																36	46	32	135	33	55			38	1		
Minh Ch©u §Çu Hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap12-2.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ vµng, cã kh¶m rÊt nhiÒu h¹t D¹ Minh Ch©u. 		3000	9	0	30	225	225	31	27	27																36	53	32	150	33	60			38	1		
Long HuyÕt §Çu hoµn	0	7	10	\spr\item\equip\cap\obj-fm-cap12-3.spr	28	2	2	Lo¹i mò b¶o hé tinhchÕ tõ vµng cùc kú quý hiÕm. 		3750	10	0	30	250	250	31	30	30																36	60	32	165	33	65			38	1		
Viªn M·o	0	7	11	\spr\item\equip\cap\obj-fm-cap13-1.spr	28	2	2	Mét lo¹i mò th«ng th­êng. 		185	1	0	30	20	20	31	8	8																36	1	32	0	33	20			38	1		
§­êng M·o	0	7	11	\spr\item\equip\cap\obj-fm-cap13-1.spr	28	2	2	Mét lo¹i mò th«ng th­êng. 		305	2	0	30	40	40	31	10	10																36	7	32	0	33	25			38	1		
C©n Qu¶n M·o	0	7	11	\spr\item\equip\cap\obj-fm-cap13-2.spr	28	2	2	Lo¹i mò th«ng th­êng, ai còng cã thÓ ®éi. 		560	3	0	30	60	60	31	13	13																36	13	32	0	33	30			38	1		
Tû Gi¸c M·o	0	7	11	\spr\item\equip\cap\obj-fm-cap13-3.spr	28	2	2	Mét lo¹i mò t­¬ng ®èi cao cÊp. 		900	4	0	30	80	80	31	15	15																36	19	32	0	33	35			38	1		
Thanh Phông Qu¸n	0	7	11	\spr\item\equip\cap\obj-fm-cap14-1.spr	28	2	2	Mét lo¹i kh¨n mµ c¸c n÷ t­íng rÊt thÝch quÊn. 		1350	5	0	30	100	100	31	17	17																36	26	32	0	33	40			38	1		
Kim Phông Qu¸n	0	7	11	\spr\item\equip\cap\obj-fm-cap14-2.spr	28	2	2	Mét lo¹i kh¨n ®­îc dÖt tõ Kim T¬. 		1850	6	0	30	120	120	31	20	20																36	33	32	0	33	45			38	1		
Song Phông TriÒu Thiªn Qu¸n	0	7	11	\spr\item\equip\cap\obj-fm-cap14-3.spr	28	2	2	Lo¹i mò b¶o hé tinh chÕ tõ vµng, trïm kÝn c¶ ®Çu. 		2550	7	0	30	140	140	31	22	22																36	40	32	0	33	50			38	1		
PhØ Thóy Kh«i	0	7	11	\spr\item\equip\cap\obj-fm-cap15-1.spr	31	2	2	Lo¹i mò b¶o hé tinh chÕ tõ vµng, trïm kÝn c¶ ®Çu. 		3250	8	0	30	160	160	31	25	25																36	46	32	0	33	55			38	1		
Gi¶i Tr¹i Kh«i	0	7	11	\spr\item\equip\cap\obj-fm-cap15-2.spr	31	2	2	Lo¹i mò ®· ®­îc yÕm bïa chó, t­îng tr­ng cho quyÒn lùc. 		4050	9	0	30	180	180	31	27	27																36	53	32	0	33	60			38	1		
Long L©n Kh«i	0	7	11	\spr\item\equip\cap\obj-fm-cap15-3.spr	31	2	2	Kh«i ph¸t ra hµo quang nh­ rång l©n uèn l­în, Võa nh×n ®· biÕt ngay lµ mét phÈm vËt cùc kú quý hiÕm. 		5000	10	0	30	200	200	31	30	30																36	60	32	0	33	65			38	1		
Bè M·o	0	7	12	\spr\item\equip\cap\obj-fm-cap16-1.spr	28	2	2	Lo¹i mò th«ng th­êng. 		30	1	0	30	45	45	31	10	10																36	1	32	35	33	0			38	1		
Viªn §Ønh M·o	0	7	12	\spr\item\equip\cap\obj-fm-cap16-1.spr	28	2	2	Lo¹i mò b»ng v¶i cã ®Ønh trßn. 		80	2	0	30	75	75	31	13	13																36	7	32	60	33	0			38	1		
Ph¹m V¨n M·o	0	7	12	\spr\item\equip\cap\obj-fm-cap16-2.spr	28	2	2	Lo¹i ¸o truyÒn thèng cña PhËt gia, trªn ®Çu cã Ên PhËt. 		185	3	0	30	105	105	31	16	16																36	13	32	85	33	0			38	1		
Thanh V¨n Kh«i	0	7	12	\spr\item\equip\cap\obj-fm-cap16-3.spr	28	2	2	Lo¹i kh«i cã rÊt nhiÒu hoa v¨n. 		300	4	0	30	135	135	31	19	19																36	19	32	110	33	0			38	1		
Hång Anh Thoa	0	7	12	\spr\item\equip\cap\obj-fm-cap17-1.spr	30	2	2	Lo¹i thoa cã c¸c tua nhá b»ng l«ng chim rò xuèng, cao quý mü lÖ. 		450	5	0	30	165	165	31	22	22																36	26	32	135	33	0			38	1		
XÝch HuyÕt Thoa	0	7	12	\spr\item\equip\cap\obj-fm-cap17-2.spr	30	2	2	Mét lo¹i tr©m thoa quý hiÕm, cã mµu ®á nh­ huyÕt. 		600	6	0	30	195	195	31	25	25																36	33	32	160	33	0			38	1		
L­u Ly Thoa	0	7	12	\spr\item\equip\cap\obj-fm-cap17-3.spr	30	2	2	Thoa lµm tõ ngäc L­u Ly, cùc kú quý hiÕm. 		900	7	0	30	225	225	31	28	28																36	40	32	185	33	0			38	1		
Léc nhÜ Thoa	0	7	12	\spr\item\equip\cap\obj-fm-cap18-1.spr	30	2	2	Thoa lµm tõ g¹c h­¬u, võa ®Ñp võa h÷u dông. 		1250	8	0	30	255	255	31	31	31																36	46	32	210	33	0			38	1		
Lam Tinh Thoa	0	7	12	\spr\item\equip\cap\obj-fm-cap18-2.spr	30	2	2	Thoa cã kh¶m thñy tinh, cùc kú quý hiÕm. 		1500	9	0	30	285	285	31	34	34																36	53	32	235	33	0			38	1		
Thanh Tinh Thoa	0	7	12	\spr\item\equip\cap\obj-fm-cap18-3.spr	30	2	2	Thoa cã kh¶m thñy tinh xanh, ¸nh s¸ng huyÒn ¶o, cùc kú quý hiÕm		1850	10	0	30	315	315	31	37	37																36	60	32	260	33	0			38	1		
Hoµng Bè Ph¸t §¸i	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Mét lo¹i ®ai th¾t th«ng th­êng. 		60	1	0	30	25	25	31	8	8																36	1	32	30	33	20			38	1		
Hoµng Bè Ph¸t §¸i	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Mét lo¹i ®ai th¾t th«ng th­êng. 		160	2	0	30	50	50	31	10	10																36	7	32	45	33	25			38	1		
Hoµng Bè Ph¸t §¸i	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Mét lo¹i ®ai th¾t th«ng th­êng. 		375	3	0	30	75	75	31	13	13																36	13	32	60	33	30			38	1		
Hoµng Bè Ph¸t §¸i	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Mét lo¹i ®ai th¾t th«ng th­êng. 		600	4	0	30	100	100	31	15	15																36	19	32	75	33	35			38	1		
Hoµng §ång Ph¸t Xoa	0	7	13	\spr\item\equip\cap\obj-fm-cap20-1.spr	30	2	2	Lo¹i tr©m cµi b»ng ®ång, gi¸ trÞ tÇm th­êng. 		900	5	0	30	125	125	31	17	17																36	26	32	90	33	40			38	1		
Hång M· N·o Ph¸t Xoa	0	7	13	\spr\item\equip\cap\obj-fm-cap20-2.spr	30	2	2	Lo¹i tr©m cµi b»ng M· N·o pha lÉn nhiÒu lo¹i b¶o th¹ch. 		1250	6	0	30	150	150	31	20	20																36	33	32	105	33	45			38	1		
Thanh L­u Ly Ph¸t Xoa	0	7	13	\spr\item\equip\cap\obj-fm-cap20-3.spr	30	2	2	Lo¹i tr©m cµi b»ng L­u Ly pha lÉn nhiÒu lo¹i b¶o th¹ch. 		1850	7	0	30	175	175	31	22	22																36	40	32	120	33	50			38	1		
Huy Thñy Kh«i	0	7	13	\spr\item\equip\cap\obj-fm-cap21-1.spr	29	2	2	Lo¹i kh«i gi¸p chØ dµnh riªng cho c¸c t­íng lÜnh chØ huy. 		2500	8	0	30	200	200	31	25	25																36	46	32	135	33	55			38	1		
Phông Nh·n Kh«i	0	7	13	\spr\item\equip\cap\obj-fm-cap21-2.spr	29	2	2	Lo¹i kh«i gi¸p cã h×nh d¸ng nh­ ®Çu chim phông. 		3000	9	0	30	225	225	31	27	27																36	53	32	150	33	60			38	1		
Kim Phông TriÓn SÝ 	0	7	13	\spr\item\equip\cap\obj-fm-cap21-3.spr	29	2	2	Lo¹i kh«i gi¸p cã h×nh d¸ng nh­ ®Çu chim phông, chØ dµnh cho t­íng lÜnh. 		3750	10	0	30	250	250	31	30	30																36	60	32	165	33	65			38	1		
