sourcename	targetname
ºÎÄºÑ©	Hµ Mé TuyÕt 
²Ý¿Ü	Th¶o KhÊu 
ÎÞÃûÀÏÕß	V« Danh L·o gi¶ 
¡°º£ÌÄÊ¹Õß¡±ÛªÇïË®	H¶i §­êng sø gi¶ LÖ Thu Thuû 
ÈôÀ¼	Nh­îc Lan 
·áÖñ	Phong Tróc
°ÁÃ·	Ng¹o Mai
Ð¦¾Õ	TiÕu Cóc
ºìºü	Hång Hå 
ËÆÓñ	Hå Ngäc
Ðß»¨	Tu Hoa 
Èç»¨	Nh­ Hoa 
±ÕÔÂ	BÕ NguyÖt 
´äÑÌµÜ×Ó	§Ö tö Thóy Yªn 
Ñ©ÀÇ	Sãi tuyÕt
ÂùÈË	Di Nh©n 
ÊÔ¹¦±®	§¸ luyÖn c«ng
Âå¾ÅÌì	L¹c Cöu Thiªn 
¶Ïêª	§o¶n KÝch
Ìú¼¬	ThiÕt t¸o
ÆßÉ±¶´ËÀÇô	ThÊt V­¬ng §éng tö tï 
Ð«×Ó¾«	RÕt tinh
¶¾Éß	§éc Xµ 
ÓÒ»¤·¨Ò®ÂÉ±ÙÀë	H÷u Hé Ph¸p Gia LuËt TÞ Ly
ÌìÈÌ½ÌÖ÷ÍêÑÕºêÁÒ	Thiªn NhÉn gi¸o chñ Hoµn Nhan Hïng LiÖt
»ðÌÃÌÃÖ÷Ø£°½	Háa §­êng §­êng chñ Ngét Ng¹o
¾üÊ¦	Qu©n S­ 
ËþÀïº±	Th¸p Lý H·n
ÓíµÒ	Vò §Þch 
ÆîÓÓ	Khëi H÷u 
×ó»¤·¨¶ËÄ¾î£	T¶ Hé Ph¸p §oan Méc DuÖ 
·çÌÃÌÃÖ÷ÍêÑÕÑ©ÒÂ	Phong §­êng §­êng chñ Hoµn Nhan TuyÕt Y
ÈÕÔÂÌ³Ö÷ÎÚºÏÈø	NhËt NguyÖt §µn chñ « Hîp T¸t 
Ð¡ÄÐº¢	BÐ trai
½ð¹ú¹­±ø	Kim quèc Cung binh 
½ð¹úÇ¹±ø	Kim quèc Th­¬ng binh 
½ð¹úµ¶±ø	Kim quèc §ao binh 
½ð¹ú¹­¼ýÊÖ	Kim quèc CungTiÔn thñ 
½ð±ø¼×	Kim binh Gi¸p
½ð¹ú¸±½«	Kim quèc phã t­íng 
½ð¹ú¾üÒ½	Kim quèc Qu©n y
½ð¹ú´ó½«	Kim quèc §¹i t­íng
ÄÏËÎ¹­±ø	Nam Tèng Cung binh 
ÄÏËÎÇ¹±ø	Nam Tèng Th­¬ng binh 
ÄÏËÎµ¶±ø	Nam Tèng §ao binh 
·ÀÓù¹¤ÊÂ	C«ng sù phßng ngù 
½ð¹úºó·½¾üÒ½	Kim quèc hËu Ph­¬ng Qu©n y
ËÎ¾üºó·½¾üÒ½	Tèng Qu©n hËu Ph­¬ng Qu©n y
ÄÏËÎ½«¾ü	Nam Tèng t­íng Qu©n 
ÄÏËÎ¸±½«	Nam Tèng phã t­íng 
ËÎ¾ü¾üÒ½	Tèng Qu©n Qu©n y
ÄÏËÎ¹­¼ýÊÖ	Nam Tèng Cung TiÔn thñ 
ÄÏËÎÍ³Áì	Nam Tèng Thèng LÜnh 
ËÎ±ø¼×	Tèng binh Gi¸p
ÉÙÁÖÍ­ÈË	ThiÕu L©m §ång Nh©n 
ÉÙÁÖÉ®±ø	ThiÕu L©m T¨ng binh 
É®±øÊ×Áì	T¨ng binh ®Çu LÜnh 
½ð¸ÕÈË	Kim cang Nh©n 
³ÎÐÄ	Trõng T©m
Ðþ¾õ	HuyÒn Gi¸c 
³ÎÎ¢	Trõng Vi 
³Î½Ú	Trõng TiÕt 
Öª¿ÍÉ®	Tri Kh¸ch T¨ng 
³ÎÄ©	Trõng M¹c
ÐþÐé	HuyÒn H­ 
Ä°Ó§	M¹ch Anh 
·½ÕÉÐþÒò	Ph­¬ngTr­îng Tõ Nh©n
»ú¹ØÈË	C¬ quan Nh©n 
ÐþÄÑ	HuyÒn Nan 
Ðþ´È	HuyÒnTõ 
Ðþ±¯	HuyÒn Bi 
ÖìÏÉÕòµ±ÆÌÀÏ°å	Chñ tiÖm cÇm ®å Chu Tiªn TrÊn   
ÖìÏÉÕòÒ©µêÀÏ°å	Chñ d­îc ®iÕm Chu Tiªn TrÊn    
°¢Ã«	A Mao 
ÔÂÔÂ	NguyÖt NguyÖt 
ÖìÏÉÕòÆòØ¤	¡n mµy Chu Tiªn TrÊn  
Ë«Ë«	Song Song 
ÖìÉ©	Chu TÈu
Ó¯Ó¯	Doanh Doanh 
ÖìÏÉÕò¿ÍÕ»ÀÏ°å	Chñ l÷ qu¸n Chu Tiªn TrÊn  
ÕÅ´óÔª	Tr­¬ng §¹i Nguyªn 
Àö¾ê	LÖ Quyªn 
ÔÆ¶ù	V©n Nhi
°¢ºÚ	A H¾c 
Ð¡ÐÜ	TiÓu Hïng 
³ÂÉ©	TrÇn TÈu
ÀÏÂí	L·o M· 
ÀÏÖì	L·o Chu 
ËïÀÏÍ·	T«n L·o ®Çu 
ÃÏÐñ	M¹nh Hóc 
Àî×æµÂ	Lý Tæ §øc
´ó¶ÉìøÊ¦	§¹i §é ThiÒn S­ 
ËïÐã²Å	T«n Tó Tµi  
³ÂÈý±¦	TrÇn Tam B¶o
·½ÀÏÌ«	Ph­¬ng L·o Th¸i 
ÐÁÆú¼²	T©n Khëi TËt 
¿×È«	Khæng Toµn 
ÐÁ´ó¹Ã	T©n §¹i C« 
°×¹«×Ó	B¹ch C«ng Tö 
¼§ÀÏ°å	¤ng chñ C¬ 
ÇúÌú½³	Khóc ThiÕt T­îng 
ÌÆÀÏµù	§­êng L·o gia
¶¬Ã·	§«ng Mai
³Ì´óÒ¯	Tr×nh §¹i Gia
¾ÆÂ¥ÀÏ°å	¤ng chñ töu lÇu
ÍõÌú½³	V­¬ng ThiÕt T­îng 
Ð¡º£	TiÓu H¶i 
Ó¢×Ó	Anh Tö 
ÁõÔ±Íâ	L­u Viªn Ngo¹i
Íõ·òÈË	V­¬ng Phu Nh©n 
´º»¨	Xu©n Hoa 
ÈçÓñ	Nh­ Ngäc
»Æ´óÉÙ	Hoµng §¹i ThiÕu 
¸µÄÏ±ù	Phã Nam B¨ng 
È³×ÓÀî	§Ëu Tö Lý 
ÕÅ¹Ñ¸¾	Tr­¬ng Qu¶ phô 
½ð¹úÎäÊ¿	Kim quèc Vâ sÜ 
Ç¹±ø	Th­¬ng binh 
¹­±ø	Cung binh 
µ¶±ø	§ao binh 
×Ü±ø	Tæng binh 
²ò¹·	Chã hoang
ÃÏÔ¶²Å	M¹nh ViÔn Tµi  
ÀîËÅ	Lý T­ 
ÍõÎà	V­¬ng Ng« 
ÂÞ¿ïÉú	La Khu«ng Sinh 
ÕÅÉ¢	Tr­¬ng T¸n 
ÆîÎÌ	Khëi ¤ng
ºÎÈËÎÒ	Hµ Nh©n Ng· 
ÙÜÈýÕÉ	Tõ Tam Tr­îng 
ÃÏ²ÔÀË	M¹nh Th­¬ng L­¬ng
ÎºÁËÎÌ	Ngôy LiÔu ¤ng 
»¢È­	Hæ QuyÒn
»¨±ª	Hoa B¸o
³àÑæ	XÝch DiÖm
º×ÐÐ	H¹c hµnh
´óÇàÀÇ	§¹i Thanh lang
´óÑ©ÀÇ	§¹i TuyÕt lang
´ó»ðºü	§¹i Háa Hå 
ÌìÈÌ¸ßÊÖÀ×¾ö	Thiªn NhÉn cao thñ L«i QuyÕt 
»ÆÑ×»¢	 Hoµng Viªm Hæ 
ÈóÄï¼Ò±ª	NhuËn N­¬ng Gia b¸o
ÈóÄï¼Ò»¢	NhuËn N­¬ng Gia hæ 
°×Óñ»¢	B¹ch Ngäc Hæ 
ÈóÄï	NhuËn N­¬ng
ÀÎÍ·	Lao ®Çu
ÕÔ¶æÖ÷	TriÖu §µ Chñ 
ÑÝÎä³¡»¤ÎÀ	Hé VÖ diÔn Vâ tr­êng
Ò»Î­·¨Ê¦	NhÊt VÜ ph¸p s­ 
àïàï	BÐ g¸i
æäÕ¾æä¹Ù	DÞch tr¹m dÞch quan
ËÎÆÅÆÅ	Tèng Bµ bµ 
×í°ëÏÉ	Tuý b¸n tiªn
ËïÔ±Íâ	T«n Viªn ngo¹i
ËÎË¼ÎÄ	Tèng T­ V¨n
ÖÝÖÝ	Ch©u Ch©u
½­Ò»Ïô	Giang NhÊt Tiªu
ÙþÏþÕæ	TiÓn HiÓu Ch©n
¹À¼ÛÏÈÉú	C« gi¸ tiªn sinh
³þ³þ	Së Së 
ËÎÔ±Íâ	Tèng Viªn ngo¹i
Éò·òÈË	ThÈm phu nh©n
ÈçÒâ	Nh­ ý 
Éò·ç	ThÈm Phong
ïÚÍ·	Tiªu ®Çu
ÀÖÇåÇï	L¹c Thanh Thu
Âô»¨Å®	C« g¸i b¸n hoa
»¨µÆÀÉ	Hoa §¨ng Lang
ÍñÄï	UyÓn N­¬ng
ÈÎÌìÑÄ	NhiÖm Thiªn Nhai
³Â´óÁ¦	TrÇn §¹i Lùc
¶ÅÀÏ°å	¤ng chñ §ç
Áø´óÒ¯	LiÔu ®¹i gia
²Ýòþ	Tr¨n cá 
´óöùÓã	C¸ sÊu
´ó¸òó¡	Cãc lín
´ó²Ýòþ	Tr¨n lín
Ðìá·ÔÀ	Tõ §¹i Nh¹c
ÐìÖÐÔ­	Tõ Trung Nguyªn
Ò¶¼ÌÃÀ	DiÖp TiÕp MÜ 
ÖÜÔÆÈª	Chu V©n TuyÒn 
ÓñÊ÷	Ngäc Thô 
»ªºâ	Hoa Hµnh
Îäµ±ÊÌÍ¯Ã÷ÔÂ	Vâ §ang thÞ ®ång Minh NguyÖt 
ÀîÌìÄ¿	Lý Thiªn Môc
ÕÆÊé	Ch­ëng th­ 
Îäµ±ÊÌÍ¯Çå·ç	Vâ §ang thÞ ®ång Thanh Phong
²ÔÀÇ	Th­¬ng H©n
Ò°ÀÇ	D· H©n
Ò¦Ê¯ÃÅ	§µo Th¹ch M«n
Îäµ±ÕÆÃÅµÀÒ»ÕæÈË	Vâ §ang ch­ëng m«n §¹o NhÊt Ch©n nh©n
µ¥Ë¼ÄÏ	§¬n T­ Nam
ÕÅÈý	Tr­¬ng Tam
ÀîËÄ	Lý T­ 
ÌÆÊå	§­êng thóc
½¯·á	T­ëng Phong
µ¾Ïã´åµ±ÆÌÀÏ°å	Chñ qu¸n §¹o H­¬ng Th«n
ËÕ´óÂè	T« ®¹i ma
ËÕÖÒ	T« Trung
ÀîÐã²Å	Lý Tó Tµi
´äÓñ	Thuý Ngäc
µ¾Ïã´åÒ©µêÀÏ°å	Chñ d­îc ®iÕm §¹o H­¬ng Th«n
Ð¡Áú	TiÓu Long
µ¾Ïã´å¿ÍÕ»ÀÏ°å	Chñ l÷ qu¸n  §¹o H­¬ng Th«n
ÐÐ½ÅÉÌÈË	Hµnh C­íc th­¬ng nh©n
ÑîÆÅÆÅ	D­¬ng Bµ Bµ 
Íõ¶þÉ©	V­¬ng NhÞ TÈu
Íõ»¢	V­¬ng Hæ 
²èµêÀÏ°å	Chñ tiÖm trµ 
»¨»¨	Hoa Hoa
ÁÔÈË	Thî s¨n
Ð¡À¼	TiÓu Lan
Äª¿ÕÔÂ	M¹c Kh«ng NguyÖt
¾øÉ±	TuyÖt s¸t
¾øÕ¶	TuyÖt tr¶m
´ÈÓê·¨Ê¦	Tõ Vò ph¸p s­ 
·¶µùµù	Ph¹m §a §a
·¶¶þ´º	Ph¹m NhÞ Xu©n
ÎâÀÏÌ«	Ng« L·o Th¸i 
»¢×Óµù	Phô Th©n Hæ Tö 
¹¢ÀÏÍ·	C¶nh L·o ®Çu 
Ò¦Ò¦	§µo §µo
·¶´óÇ¿	Ph¹m §¹i C­êng
¹¨°¢Å£	Cung A Ng­u
¹¨ÀÏÌ«	Cung l·o Th¸i
¶ÎÐã²Å	§oµn Tó Tµi
°×Ü¿	B¹ch V©n
ºÉ¹Ã	Hµ C« 
Áõºã	L­u H»ng
Ïã¶ù	H­¬ng Nhi
Ð¡µË×Ó	TiÓu §Æng tö 
·ëÅÖ×Ó	CËu bÐo Phïng
¼ÖÉñËã	Gi¶ ThÇn To¸n
¹Ï··	Qua Ph¸n
ºÎÀÏ°å	¤ng chñ Hµ 
µË¼ÒÉ©×Ó	§Æng Gia tÈu tö 
Ò¦¼Î	§µo Gia
¹ùÔ±Íâ	Qu¸ch Viªn ngo¹i
ÏåÑôÊØ½«	T­¬ng D­¬ng Thñ t­íng
ÅÓÎïµêÀÏ°åÄï	Bµ chñ tiÖm vËt nu«i
³èÎïÀÏ°åÄï	Bµ chñ tiÖm vËt nu«i
³èÎïµêÀÏ°åÄï	Bµ chñ tiÖm vËt nu«i
µ±ÆÌÀÏ°åÅ®¶ù	Con g¸i Chñ tiÖm cÇm ®å
¶¹¶¹Äï	MÑ cña §Ëu §Ëu
ÉñÃØÉÌÈËÁøÒÒ	ThÇn bÝ Th­¬ng Nh©n
½ð¹úÎÀ±ø	LÝnh canh n­íc Kim
ÃîÒþÏà¹«	DiÖu Èn T­íng C«ng
ÔÓ»õµêÀÏ°åÄï	T¹p Hãa
ÍÁ·Ë¼×	Thæ phØ Gi¸p
ÍÁ·ËÒÒ	Thæ phØ Êt
´¢ÎïÏä	R­¬ng Chøa §å
É½Ôô¼×	S¬n tÆc Gi¸p
É½ÔôÒÒ	S¬n tÆc Êt
É½ÔôÍ·×Ó	S¬n tÆc §Çu tö 
ÁÎÆç	LiÖu Kú 
ÓÎÏ·ÍÆ¹ãÔ±	Qu¶ng c¸o viªn
½ð¾üÄ¼±ø¹Ù	Kim quèc chiªu binh quan
½ð¾ü³µ·ò	Xa phu Kim qu©n
½ð¾ü¾üÐè¹Ù	Kim Quèc Qu©n nhu quan
´¬·ò±û	ThuyÒn phu BÝnh
´¬·ò¼×	ThuyÒn phu Gi¸p
´ºÏãÆÅÆÅ	Xu©n H­¬ng bµ bµ 
µ¶±ø¶Ó³¤	§ao binh ®éi tr­ëng
µ¶±øÍ³Áì	§ao binh Thèng lÜnh
¶¾Éß¾«	§éc Xµ Tinh
¶¾Ð«Íõ	Bß c¹p chóa
¶ñ°Ô±£ïÚ	¸c B¸ b¶o tiªu
¶ñ°Ô»¤Ôº	¸c B¸ hé viÖn
öùÓã¾«	C¸ sÊu tinh
¸òó¡¾«	Cãc tinh
¹­±øÍ³Áì	Cung binh Thèng lÜnh
»¨±ª×Ó	B¸o ®èm
ä½ÐÜ¾«	GÊu ngùa
½ðÃ¨Íõ	Kim Miªu v­¬ng
Ã§ººÍ·Áì	M·ng H¸n ®Çu lÜnh
Ä¾ÈË£¨30000ÉúÃü£©	Méc nh©n (30000 Sinh lùc)
Ä¾×®£¨3000ÉúÃü£©	Cäc gç (30000 Sinh lùc)
ÅÑÔôÍ·Ä¿	Ph¶n tÆc ®Çu môc
Ç¹±ø¶Ó³¤	Th­¬ng binh ®éi tr­ëng
É³´ü£¨10000ÉúÃü£©	Bao c¸t (10000 Sinh lùc)
â¦áû¾«	X¸ LÞ tinh
Ñ©±ªÍõ	TuyÕt B¸o v­¬ng
ÓñÃæÅÐ¹Ù	Ngäc DiÖn Ph¸n quan
Ö©Öë¾«	NhÖn tinh
¹¥³Ç³å³µ	C«ng Thµnh Xung Xa
Í¶Ê¯³µ	§Çu Th¹ch Xa
ÀÞ¹ÄÊ¿±ø	L«i Cæ Binh SÜ 
Ò¡ÆìÊ¿±ø	Diªu Kú Binh SÜ 
¹¥³Ç¹¥·½ÍêÕûÁúÖù	Long trô phe c«ng nguyªn vÑn
¹¥³Ç¹¥·½ÆÆËðÁúÖù	Long trô phe c«ng tæn h¹i
¹¥³ÇÊØ·½ÍêÕûÁúÖù	Long trô phe thñ nguyªn vÑn
¹¥³ÇÊØ·½ÆÆËðÁúÖù	Long trô phe thñ tæn h¹i
¹¥³ÇÕ½ÍêÕû³ÇÃÅ	Thµnh m«n nguyªn vÑn
¹¥³ÇÕ½ÆÆËð³ÇÃÅ	Thµnh m«n tæn h¹i
ÂÓ·ç	L­îc Phong
ÁÑ¿Õ	LiÖt Kh«ng
±±°¶´¬·ò±û	ThuyÒn phu BÝnh
ÄÏ°¶´¬·ò±û	ThuyÒn phu BÝnh
ÄÏ°¶´¬·òÒÒ	ThuyÒn phu Êt
±±°¶´¬·òÒÒ	ThuyÒn phu Êt
±±°¶´¬·ò¼×	ThuyÒn phu Gi¸p
ÄÏ°¶´¬·ò¼×	ThuyÒn phu Gi¸p
¹«Æ½×Ó	C«ng B×nh Tö 
Ò×ÈÝÊõÊ¿	ThuËt sÜ 
·ü²¨	Phôc Ba
ËÎ¾ü³µ·ò	Xa phu
ËÎ¾üÄ¼±ø¹Ù	Mé binh quan
¼ýÍ·	TiÔn §Çu
ÀäÇ¹	L·nh Th­¬ng
ÃÉ¹ÅÎäÊ¿	M«ng Cæ Vâ sÜ 
Ä®Ôô	M¹c TÆc
ÆÆÀË	Ph¸ Lang
É³µÁ	Sa §¹o
Éñ±Û	ThÇn Tý 
Ë®Ôô	Thñy TÆc
ËÎ¾ü¾üÐè¹Ù	Qu©n Nhu quan (Tèng)
×ßÊ¯	TÈu Th¹ch
³ÕÉ®	Si T¨ng
·ÉÉ³	Phi Sa
