Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)	Target	ÎïÆ·×î´óµş·ÅÖµ	ÒªÇóµÈ¼¶ÏàÍ¬	ÒªÇóÎåĞĞÏàÍ¬	ÒªÇóĞÒÔËÏàÍ¬	ÒªÇóMagicLevel1ÏàÍ¬	ÒªÇóMagicLevel2ÏàÍ¬	ÒªÇóMagicLevel3ÏàÍ¬	ÒªÇóMagicLevel4ÏàÍ¬	ÒªÇóMagicLevel5ÏàÍ¬	ÒªÇóMagicLevel6ÏàÍ¬	µÀ¾ß¶îÍâ²ÎÊı1	µÀ¾ß¶îÍâ²ÎÊı2	µÀ¾ß¶îÍâ²ÎÊı3	µÀ¾ß¶îÍâ²ÎÊı4	µÀ¾ß¶îÍâ²ÎÊı5	µÀ¾ß¶îÍâ²ÎÊı6
Viªm §Õ ®éc phßng hoµn	6	0	1616	\spr\item\medecine\obj-potion15.spr	19	1	1	Kh¸ng ®éc t¨ng 50% trong vßng 5 phót. Rêi khái b¶n ®å sÏ mÊt t¸c dông.		0	1	0	0	265	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Viªm §Õ LÖnh	6	1	1617	\spr\item\questkey\taskobj021.spr	41	1	1	Dïng ®Ó tham gia ho¹t ®éng v­ît ¶i Viªm §Õ. <enter>Cã c¬ héi nhËn phÇn th­ëng nh©n ®«i kinh nghiÖm vµ 50% c¬ héi nhËn Viªm §Õ §å §»ng.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
HuyÒn Thiªn DŞ Qu¶	6	1	1618	\spr\item\script\shangshixiguo.spr	41	1	1	Sö dông nhËn ®­îc hiÖu qu¶ nh©n ®«i møc sinh lùc vµ néi lùc (sö dông kĞp v« hiÖu).		0	1	0	\script\item\xuantianyiguo.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
TuyÕt Nh­ìng Linh Chi Töu	6	1	1619	\spr\item\script\xuenianglingzhijiu.spr	41	1	1	Sö dông nhËn ®­îc 500 triÖu ®iÓm kinh nghiÖm. Dµnh cho cÊp 160 trë lªn.		0	1	0	\script\item\xuenianglingzhijiu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tói ®å phæ Hoµng Kim - V« danh giíi chØ	6	1	1620	\spr\item\obj_item_libaolan.spr	41	1	1	NgÉu nhiªn nhËn ®­îc ®å phæ trang bŞ Hoµng Kim m«n ph¸i, ®å phæ V« danh giíi chØ, ®å phæ V« danh chØ hoµn.		0	1	0	\script\item\beiyatupubao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tói HuyÒn Tinh Bæ Thiªn	6	1	1621	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	NgÉu nhiªn nhËn ®­îc 1 HuyÒn Tinh Kho¸ng Th¹ch cao cÊp, c¸c lo¹i m¶nh Bæ Thiªn Th¹ch.		0	1	0	\script\item\xuanjinbutianbao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
KÑo gi¸ng sinh (bĞ xİu)	6	1	1622	\spr\item\vnxmas2007\sdtjx_christmas.spr	41	1	1	Sö dông nhËn ®­îc 15000 ®iÓm kinh nghiÖm.<enter>H¹n sö dông: 24:00 ngµy 24-12-2007		0	1	1	\script\item\vnchristmas2007\shengdantang.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
KÑo gi¸ng sinh (nhá)	6	1	1623	\spr\item\vnxmas2007\sdtx_christmas.spr	41	1	1	Sö dông nhËn ®­îc 25000 ®iÓm kinh nghiÖm.<enter>H¹n sö dông: 24:00 ngµy 24-12-2007		0	1	1	\script\item\vnchristmas2007\shengdantang.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
KÑo gi¸ng sinh (võa)	6	1	1624	\spr\item\vnxmas2007\sdtz_christmas.spr	41	1	2	Sö dông nhËn ®­îc 40000 ®iÓm kinh nghiÖm.<enter>H¹n sö dông: 24:00 ngµy 24-12-2007		0	1	1	\script\item\vnchristmas2007\shengdantang.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
KÑo gi¸ng sinh (lín)	6	1	1625	\spr\item\vnxmas2007\sdtd_christmas.spr	41	1	2	Sö dông nhËn ®­îc 50000 ®iÓm kinh nghiÖm.<enter>H¹n sö dông: 24:00 ngµy 24-12-2007		0	1	1	\script\item\vnchristmas2007\shengdantang.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
KÑo gi¸ng sinh (®Æc biÖt)	6	1	1626	\spr\item\vnxmas2007\sdtjd_christmas.spr	41	2	2	Sö dông nhËn ®­îc 100000 ®iÓm kinh nghiÖm.<enter>H¹n sö dông: 24:00 ngµy 24-12-2007		0	1	1	\script\item\vnchristmas2007\shengdantang.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Hép quµ gi¸ng sinh	6	1	1627	\spr\item\vnxmas2007\shengdanglihe.spr	41	1	1	Sö dông sÏ nhËn ®­îc c¸c lo¹i B¨ng Tinh.<enter><color=green>H¹n sö dông: 24:00 ngµy 13-01-2008<color>		0	1	1	\script\item\vnchristmas2007\xmas2007_giftbox.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Kim B¨ng Tinh	6	1	1628	\spr\item\vnxmas2007\jin_bingjin.spr	41	1	1	Nguyªn liÖu t¹o Ng­êi TuyÕt.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Méc B¨ng Tinh	6	1	1629	\spr\item\vnxmas2007\mu_bingjin.spr	41	1	1	Nguyªn liÖu t¹o Ng­êi TuyÕt.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Thñy B¨ng Tinh	6	1	1630	\spr\item\vnxmas2007\shui_bingjin.spr	41	1	1	Nguyªn liÖu t¹o Ng­êi TuyÕt.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Háa B¨ng Tinh	6	1	1631	\spr\item\vnxmas2007\huo_bingjin.spr	41	1	1	Nguyªn liÖu t¹o Ng­êi TuyÕt.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Thæ B¨ng Tinh	6	1	1632	\spr\item\vnxmas2007\tu_bingjin.spr	41	1	1	Nguyªn liÖu t¹o Ng­êi TuyÕt.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Ngò S¾c B¨ng Tinh	6	1	1633	\spr\item\vnxmas2007\wuse_bingjin.spr	41	1	1	Nguyªn liÖu t¹o Ng­êi TuyÕt.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Hoµng TuyÕt Nh©n	6	1	1634	\spr\item\vnxmas2007\huang_xueren.spr	41	1	1	Sö dông nhËn ®­îc ®iÓm kinh nghiÖm vµ phÇn th­ëng ngÉu nhiªn, ®ång thêi cã kh¶ n¨ng gäi ra Hoµng TuyÕt Nh©n.<enter>Ng­êi ch¬i cÊp trªn 50 ®· n¹p thÎ míi cã thÓ sö dông vËt phÈm nµy.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\vnchristmas2007\xmas2007_itemsnowman.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Tö TuyÕt Nh©n	6	1	1635	\spr\item\vnxmas2007\zi_xueren.spr	41	1	1	Sö dông nhËn ®­îc ®iÓm kinh nghiÖm, ®ång thêi cã kh¶ n¨ng gäi ra Tö TuyÕt Nh©n.<enter>Ng­êi ch¬i cÊp trªn 50 ®· n¹p thÎ míi cã thÓ sö dông vËt phÈm nµy.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\vnchristmas2007\xmas2007_itemsnowman.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Lôc TuyÕt Nh©n	6	1	1636	\spr\item\vnxmas2007\lv_xueren.spr	41	1	1	Sö dông nhËn ®­îc ®iÓm kinh nghiÖm vµ phÇn th­ëng ngÉu nhiªn, ®ång thêi cã kh¶ n¨ng gäi ra Lôc TuyÕt Nh©n.<enter>Ng­êi ch¬i cÊp trªn 50 ®· n¹p thÎ míi cã thÓ sö dông vËt phÈm nµy.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\vnchristmas2007\xmas2007_itemsnowman.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
KÑo b¹c hµ gi¸ng sinh	6	1	1637	\spr\item\script\shengdantang_bohe.spr	468	1	1	Sö dông nhËn ®­îc 500.000 ®iÓm kinh nghiÖm. Dµnh cho nh©n vËt cÊp 100 trë lªn ®· n¹p thÎ. <enter>H¹n sö dông: 24:00 ngµy 30-01-2008		0	1	1	\script\item\christmas2007\shengdantang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
KÑo d©u gi¸ng sinh	6	1	1638	\spr\item\script\shengdantang_caomei.spr	468	1	1	Sö dông nhËn ®­îc 1 triÖu ®iÓm kinh nghiÖm. Dµnh cho nh©n vËt cÊp 100 trë lªn ®· n¹p thÎ. <enter>H¹n sö dông: 24:00 ngµy 30-01-2008		0	1	1	\script\item\christmas2007\shengdantang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
KÑo s÷a gi¸ng sinh	6	1	1639	\spr\item\script\shengdantang_naiyou.spr	468	1	1	Sö dông nhËn ®­îc 2.000.000 ®iÓm kinh nghiÖm. Dµnh cho nh©n vËt cÊp 100 trë lªn ®· n¹p thÎ. <enter>H¹n sö dông: 24:00 ngµy 30-01-2008.		0	1	1	\script\item\christmas2007\shengdantang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
LÖnh bµi chuyÓn thÕ ­u ®·i	6	1	1640	\spr\item\questkey\taskobj021.spr	41	1	1	Cã c¬ héi tham gia ho¹t ®éng chuyÓn thÕ, chuyÓn thÕ trùc tiÕp th¨ng ®Õn cÊp 50 hoÆc cÊp 80. <enter><color=green>H¹n sö dông: 24:00 30-01-2008<color>		0	1	0	\script\item\zhuanshenyouhuiling.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
ThiÖn ¸c qu¶	6	1	1641	\spr\item\script\shangshixiguo.spr	41	1	1	Lo¹i qu¶ ¨n vµo ch¸nh tµ khã ph©n. <enter>NhÊp chuét ph¶i ®Ó ®æi phe. (ChØ dïng ®­îc trªn §é thuyÒn, vµ thµnh viªn trong nhãm kh«ng thÓ sö dông).		0	1	1	\script\item\shaneguo.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
C©y con	6	1	1642	\spr\item\springfestival08\shumiao.spr	41	1	1	Cã thÓ trång bªn ngoµi thÊt ®¹i thµnh thŞ vµ t©n thñ th«n.<enter>NhÊp ph¶i sö dông		0	1	0	\script\item\springfestival08\sapling.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Thiªn Xu LÖnh	6	1	1643	\spr\item\springfestival08\beidou_tianqu.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Thiªn Toµn LÖnh	6	1	1644	\spr\item\springfestival08\beidou_tianquan.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Thiªn C¬ LÖnh	6	1	1645	\spr\item\springfestival08\beidou_tianji.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Thiªn QuyÒn LÖnh	6	1	1646	\spr\item\springfestival08\beidou_tianquanli.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Ngäc Hoµnh LÖnh	6	1	1647	\spr\item\springfestival08\beidou_yuheng.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Khai D­¬ng LÖnh	6	1	1648	\spr\item\springfestival08\beidou_kaiyang.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - Dao Quang LÖnh	6	1	1649	\spr\item\springfestival08\beidou_yaoguang.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu M«n - ThÊt Tinh LÖnh	6	1	1650	\spr\item\springfestival08\beidou_qixing.spr	41	2	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Hép gÊm	6	1	1651	\spr\item\script\cangbaotujinhe.spr	41	1	1	NhÊp chuét ph¶i sö dông nhËn ®­îc 12 m¶nh tµng b¶o ®å		0	1	0	\script\item\cangbaotujinhe.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tói mõng xu©n	6	1	1652	\spr\item\newyear2008\yingchundai.spr	470	1	1	Èn chøa nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\yingchundai.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
L¸ b¸nh	6	1	1653	\spr\item\newyear2008\zongyue.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
G¹o nÕp	6	1	1654	\spr\item\newyear2008\nuomi.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
§Ëu xanh	6	1	1655	\spr\item\newyear2008\lvdou.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
ThŞt heo 	6	1	1656	\spr\item\newyear2008\zhurou.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Phóc	6	1	1657	\spr\item\newyear2008\fu.spr	41	2	1	Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Léc	6	1	1658	\spr\item\newyear2008\lu.spr	41	2	1	Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Thä	6	1	1659	\spr\item\newyear2008\shou.spr	41	2	1	Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bİ quyÕt lµm b¸nh ch­ng th­îng h¹ng	6	1	1660	\spr\item\newyear2008\shangdengzongzimijue.spr	41	1	1	S¸ch d¹y lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Bİ quyÕt lµm b¸nh ch­ng h¶o h¹ng	6	1	1661	\spr\item\newyear2008\zongzimijue.spr	41	1	1	S¸ch d¹y lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
B¸nh ch­ng th­îng h¹ng	6	1	1662	\spr\item\newyear2008\shangdengzongbing.spr	41	1	1	T¨ng <color=red>2.000.000<color> kinh nghiÖm vµ x¸c suÊt nhËn ®­îc vËt phÈm quı gi¸. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\zongzi.lua	0	1	1	0	0		2	0	0	0	0	0	0	0	0	0						
B¸nh ch­ng h¶o h¹ng	6	1	1663	\spr\item\newyear2008\zhongdengzongbing.spr	41	1	1	T¨ng <color=red>1.500.000<color> kinh nghiÖm vµ x¸c suÊt nhËn ®­îc vËt phÈm quı gi¸. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\zongzi.lua	0	1	1	0	0		2	0	0	0	0	0	0	0	0	0						
B¸nh ch­ng th­êng	6	1	1664	\spr\item\newyear2008\putongzongbing.spr	41	1	1	T¨ng <color=red>500.000<color> kinh nghiÖm vµ x¸c suÊt nhËn ®­îc vËt phÈm quı gi¸. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\zongzi.lua	0	1	1	0	0		2	0	0	0	0	0	0	0	0	0						
ThiÕt La H¸n LÔ Bao	6	1	1665	\spr\item\obj_item_jixiang.spr	377	1	1	NhÊp ph¶i nhËn ®­îc 10 cuèn ThiÕt La H¸n		0	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Kh¨n Uyªn ¦¬ng	6	1	1666	\spr\item\questkey\taskobj068.spr	41	1	1	Tr­íc 24:00 ngµy 29-02-2008 giao cho NguyÖt h¹ l·o nh©n nhËn phÇn th­ëng.		0	1	1	\script\item\noscript.lua	0	1	1	0	0		10	0	0	0	0	0	0	0	0	0						
Hå ®iÖp tr©m	6	1	1667	\spr\item\questkey\taskobj001.spr	41	1	1	Tr­íc 24:00 ngµy 29-02-2008 giao cho NguyÖt h¹ l·o nh©n nhËn phÇn th­ëng.		0	1	1	\script\item\noscript.lua	0	1	1	0	0		10	0	0	0	0	0	0	0	0	0						
Kim thö phóc léc bao	6	1	1668	\spr\item\questkey\obj_item_burses.spr	41	1	1	Mang may m¾n ®Õn cho mäi ng­êi.<enter>NhÊp ph¶i sö dông ngÉu nhiªn nhËn ®­îc <color=yellow>1 triÖu, 2 triÖu, 3.5 triÖu, 5 triÖu<color> ®iÓm kinh nghiÖm. (Nh©n vËt ®¼ng cÊp trªn 100 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 31-03-2008<color>		0	1	0	\script\item\newyear_2008\makezongzi\jinshufulubao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Kim thö c¸t t­êng bao	6	1	1669	\spr\item\questkey\obj_item_burses.spr	41	1	1	Cã c¬ héi nhËn ®­îc ®å phæ trang søc Viªm §Õ		0	1	0	\script\item\jishujixiangbao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tİn vËt m«n ph¸i	6	1	1670	\spr\item\script\zhuanzhiling.spr	41	1	1	VËt phÈm cÇn thiÕt ®Ó chuyÓn m«n ph¸i		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tİn vËt D­¬ng Anh	6	1	1671	\spr\item\script\nvtianwangling.spr	41	1	1	VËt phÈm cÇn thiÕt ®Ó nh©n vËt n÷ gia nhËp Thiªn V­¬ng Bang		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¾c §Èu truyÒn c«ng thuËt	6	1	1672	\spr\item\script\beidouchuangongshu.spr	41	1	1	Mét trong Thiªn H¹ ThÊt §¹i Kú ThuËt cña B¾c §Èu M«n ®· bŞ thÊt truyÒn		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
ThÊt tinh th¶o	6	1	1673	\spr\item\script\qixingcao.spr	41	1	1	Lo¹i dŞ d­îc quı hiÕm dïng ®Ó luyÖn B¹ch Ch©n §¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¸ch niªn thÊt tinh th¶o	6	1	1674	\spr\item\script\bainianqixingcao.spr	41	1	1	Lo¹i dŞ d­îc quı hiÕm tr¨m n¨m ®Ó luyÖn HuyÕt Ch©n §¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Thiªn niªn thÊt tinh th¶o	6	1	1675	\spr\item\script\qiannianqixingcao.spr	41	1	1	Lo¹i dŞ d­îc quı hiÕm ngµn n¨m dïng ®Ó luyÖn HuyÒn Ch©n §¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¹ch Ch©n §¬n	6	1	1676	\spr\item\script\baizhendan.spr	41	1	1	Cã mµu tr¾ng nh­ tuyÕt, hÊp thô c«ng lùc cña c¸c Cao Thñ. Khi sö dông sÏ gia t¨ng ba thµnh c«ng lùc		0	1	0	\script\item\chuangongdan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
HuyÕt Ch©n §¬n	6	1	1677	\spr\item\script\xuezhendan.spr	41	1	1	Cã mµu ®á nh­ m¸u, ®· hÊp thô c«ng lùc cña c¸c Vâ L©m Cao Thñ. Khi sö dông sÏ gia t¨ng b¶y thµnh c«ng lùc		0	1	0	\script\item\chuangongdan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
HuyÒn Ch©n §¬n	6	1	1678	\spr\item\script\xuanzhendan.spr	41	1	1	Cã mµu ®en tuyÒn, hÊp thô c«ng lùc cña c¸c TuyÖt ThÕ Cao Thñ. Khi sö dông sÏ gia t¨ng m­êi thµnh c«ng lùc		0	1	0	\script\item\chuangongdan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Cµnh hoa hång	6	1	1679	\spr\item\funvjie_jieri\200803\meiguizhi.spr	330	1	1	Mang ®Õn LÔ Quan ®Ó gãi l¹i thµnh bã hoa hång. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 16-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Cµnh hoa cóc	6	1	1680	\spr\item\funvjie_jieri\200803\jihuazhi.spr	330	1	1	Mang ®Õn LÔ Quan ®Ó gãi l¹i thµnh bã hoa cóc. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ) <enter><color=blue>H¹n sö dông: 24:00 ngµy 16-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Bã hoa hång	6	1	1681	\spr\item\funvjie_jieri\200803\shumeigui.spr	330	1	2	Nh©n ngµy quèc tÕ phô n÷ 8/3, d©ng tÆng bã hoa hång th¬m ng¸t cho c¸c chŞ em. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ) <enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Bã hoa cóc	6	1	1682	\spr\item\funvjie_jieri\200803\shujuhua.spr	330	1	2	Nh©n ngµy quèc tÕ phô n÷ 8/3, d©ng tÆng bã hoa cóc th¬m ng¸t cho c¸c chŞ em. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ) <enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
N÷ Oa V¸ Trêi Bao	6	1	1683	\spr\item\obj_item_jixiang.spr	41	1	1	Dïng chuét ph¶i ®Ó sö dông, cã thÓ thu ®­îc c¸c m¶nh lín cña ®¸ v¸ trêi vµ cïng c¸c lo¹i m¶nh ®¸ vµ trêi vµ c¸c lo¹i ®¹o cô.		0	1	0	\script\item\nvwabutianbao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tiªn Th¶o Bao	6	1	1684	\spr\item\obj_item_jixiang.spr	41	1	1	Dïng chuét ph¶i ®Ó sö dông cã thÓ thu ®­îc ®å phæ, b¹ch cÇu hoµn ®Æc biÖt, tiªn th¶o lé ®Æc biÖt cung víi c¸c lo¹i ®¹o cô kh¸c.		0	1	0	\script\item\bjydxiancaobao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
M¶nh §å §»ng Viªm §Õ	6	1	1685	\spr\item\yanditutengsuipian.spr	41	1	1	Sau khi tËp hîp 9 m¶nh ®å ®»ng viªm ®Õ cã thÓ ®Õn BiÖn Kinh gÆp B×nh B×nh ®Ó hîp l¹i thµnh 1 c¸i §å §»ng Viªm §Õ		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
