Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
Tö M·ng Phong S­¬ng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Tö M·ng(9)	1	99999	10	0																						36	120	39	2									954	874	974	1017	1334	1294	189	130	9	1506	1274					
Tö M·ng Phong S­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Tö M·ng(10)	3	99999	10	0																						36	120	39	2									954	914	974	1217	1334	1294	189	130	10	130						
Tö M·ng MËt V©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(1)	1	99999	10	0																						36	120	39	6									954	854	975	1017	997	1294	190	131	1	1508	1274					
Tö M·ng MËt V©n §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									955	894	974	1197	1334	1294	190	131	2	1427	1274					
Tö M·ng MËt V©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(3)	4	99999	10	0																						36	120	39	6									954	874	975	1017	1334	1294	190	131	3	130						
Tö M·ng MËt V©n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									955	914	974	1217	1334	1294	190	131	4	1427	1274					
Tö M·ng MËt V©n Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									955	934	975	1177	1334	1294	190	131	5	1509	1274					
Tö M·ng MËt V©n C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									955	854	975	1017	1235	1294	190	131	6	1427	1274					
Tö M·ng MËt V©n TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									1358	894	1137	1197	1334	1294	190	131	7	1427	130					
Tö M·ng MËt V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									955	874	975	1017	1257	1294	190	131	8	1510	1274					
Tö M·ng MËt V©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(9)	0	99999	10	0																						36	120	39	6									954	914	974	1217	1334	1294	190	131	9	1427	1722					
Tö M·ng MËt V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Tö M·ng(10)	2	99999	10	0																						36	120	39	6									954	934	974	1177	1334	1294	190	131	10	130						
Tö M·ng Háa V©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(1)	0	99999	10	0																						36	120	39	6									954	854	975	1017	997	1294	191	132	1	1512	1274					
Tö M·ng Háa V©n §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									955	894	974	1197	1334	1294	191	132	2	1427	1274					
Tö M·ng Háa V©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(3)	1	99999	10	0																						36	120	39	6									954	874	975	1017	1334	1294	191	132	3	130						
Tö M·ng Háa V©n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									955	914	974	1217	1334	1294	191	132	4	1513	1274					
Tö M·ng Háa V©n Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									955	934	975	1177	1334	1294	191	132	5	1427	1723					
Tö M·ng Háa V©n C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									955	854	975	1017	1235	1294	191	132	6	1427	1274					
Tö M·ng Háa V©n Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									1352	894	1077	1197	1319	1294	191	132	7	1427	130					
Tö M·ng Háa V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									955	874	975	1017	1257	1294	191	132	8	1427	1274					
Tö M·ng Háa V©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(9)	3	99999	10	0																						36	120	39	6									954	914	974	1217	1334	1294	191	132	9	1514	1274					
Tö M·ng Háa V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Tö M·ng(10)	4	99999	10	0																						36	120	39	6									954	934	974	1177	1334	1294	191	132	10	130						
Tö M·ng Dung Kim H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(1)	0	99999	10	0																						36	120	39	7									954	854	975	1017	997	1294	192	133	1	1516	1274					
Tö M·ng Dung Kim Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									955	894	974	1197	1334	1294	192	133	2	1427	1274					
Tö M·ng Dung Kim Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(3)	1	99999	10	0																						36	120	39	7									954	874	975	1017	1334	1294	192	133	3	130						
Tö M·ng Dung Kim Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									955	914	974	1217	1334	1294	192	133	4	1517	1274					
Tö M·ng Dung Kim Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									955	934	975	1177	1334	1294	192	133	5	1427	1724					
Tö M·ng Dung Kim Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									955	854	975	1017	1235	1294	192	133	6	1427	1274					
Tö M·ng Dung Kim Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									1353	894	1077	1197	1319	1294	192	133	7	1427	130					
Tö M·ng Dung Kim Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									955	874	975	1017	1257	1294	192	133	8	1427	1274					
Tö M·ng Dung Kim Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(9)	3	99999	10	0																						36	120	39	7									954	914	974	1217	1334	1294	192	133	9	1518	1274					
Tö M·ng Dung Kim H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Tö M·ng(10)	4	99999	10	0																						36	120	39	7									954	934	974	1177	1334	1294	192	133	10	130						
Tö M·ng Liªu Nguyªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(1)	1	99999	10	0																						36	120	39	7									954	854	975	1017	997	1294	193	134	1	1520	1274					
Tö M·ng Liªu Nguyªn Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									955	894	974	1197	1334	1294	193	134	2	1427	1725					
Tö M·ng Liªu Nguyªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(3)	4	99999	10	0																						36	120	39	7									954	874	975	1017	1334	1294	193	134	3	130						
Tö M·ng Liªu Nguyªn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									955	914	974	1217	1334	1294	193	134	4	1521	1274					
Tö M·ng Liªu Nguyªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									955	934	975	1177	1334	1294	193	134	5	1427	1274					
Tö M·ng Liªu Nguyªn Gi¸p Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									955	854	975	1017	1235	1294	193	134	6	1427	1274					
Tö M·ng Liªu Nguyªn §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									1357	894	1137	1197	1334	1294	193	134	7	1427	130					
Tö M·ng Liªu Nguyªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									955	874	975	1017	1257	1294	193	134	8	1427	1274					
Tö M·ng Liªu Nguyªn Béi	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(9)	0	99999	10	0																						36	120	39	7									954	914	974	1217	1334	1294	193	134	9	1522	1274					
Tö M·ng Liªu Nguyªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Tö M·ng(10)	2	99999	10	0																						36	120	39	7									954	934	974	1177	1334	1294	193	134	10	130						
Tö M·ng Ch©n Viªn Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(1)	3	99999	10	0																						36	120	39	8									954	854	975	1217	997	1294	194	135	1	1524	1274					
Tö M·ng Ch©n Viªn Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									955	894	974	1177	1334	1294	194	135	2	1427	1274					
Tö M·ng Ch©n Viªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(3)	0	99999	10	0																						36	120	39	8									954	874	975	1017	1334	1294	194	135	3	130						
Tö M·ng Ch©n Viªn Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									955	914	974	1197	1334	1294	194	135	4	1427	1274					
Tö M·ng Ch©n Viªn Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									955	934	975	1017	1334	1294	194	135	5	1525	1274					
Tö M·ng Ch©n Viªn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									955	854	975	1217	1235	1294	194	135	6	1427	1274					
Tö M·ng Ch©n Viªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									1057	894	1157	1177	1334	1294	194	135	7	1427	130					
Tö M·ng Ch©n Viªn Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									955	874	975	1017	1257	1294	194	135	8	1526	1274					
Tö M·ng Ch©n Viªn Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(9)	2	99999	10	0																						36	120	39	8									954	914	974	1197	1334	1294	194	135	9	1427	1726					
Tö M·ng Ch©n Viªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Tö M·ng(10)	1	99999	10	0																						36	120	39	8									954	934	974	1017	1334	1294	194	135	10	130						
Tö M·ng Ch©n Vò Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(1)	0	99999	10	0																						36	120	39	8									954	854	975	1217	997	1294	195	136	1	1528	1274					
Tö M·ng Ch©n Vò Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									955	894	974	1177	1334	1294	195	136	2	1427	1274					
Tö M·ng Ch©n Vò Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(3)	1	99999	10	0																						36	120	39	8									954	874	975	1017	1334	1294	195	136	3	130						
Tö M·ng Ch©n Vò Tô	0	8	1	\spr\item\equip\bangle\obj-bangle14.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	8									955	914	974	1197	1334	1294	195	136	4	1427	1727					
Tö M·ng Ch©n Vò Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	8									955	934	975	1017	1334	1294	195	136	5	1529	1274					
Tö M·ng Ch©n Vò §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	8									955	854	975	1217	1235	1294	195	136	6	1427	1274					
Tö M·ng Ch©n Vò KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									1352	894	1077	1177	1319	1294	195	136	7	1427	130					
Tö M·ng Ch©n Vò Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									955	874	975	1017	1257	1294	195	136	8	1427	1274					
Tö M·ng Ch©n Vò Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(9)	3	99999	10	0																						36	120	39	8									954	914	974	1197	1334	1294	195	136	9	1530	1274					
Tö M·ng Ch©n Vò H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Tö M·ng(10)	4	99999	10	0																						36	120	39	8									954	934	974	1017	1334	1294	195	136	10	130						
Tö M·ng §o¹n Thñy H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(1)	0	99999	10	0																						36	120	39	9									954	854	975	1017	997	1294	196	137	1	1532	1274					
Tö M·ng §o¹n Thñy §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	9									955	894	974	1197	1334	1294	196	137	2	1427	1274					
Tö M·ng §o¹n Thñy Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(3)	1	99999	10	0																						36	120	39	9									954	874	975	1017	1334	1294	196	137	3	130						
Tö M·ng §o¹n Thñy Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	9									955	914	974	1217	1334	1294	196	137	4	1427	1728					
Tö M·ng §o¹n Thñy Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	9									955	934	975	1177	1334	1294	196	137	5	1533	1274					
Tö M·ng §o¹n Thñy §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	9									955	854	975	1017	1235	1294	196	137	6	1427	1274					
Tö M·ng §o¹n Thñy §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	9									1353	894	1077	1197	1319	1294	196	137	7	1427	130					
Tö M·ng §o¹n Thñy Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									955	874	975	1017	1257	1294	196	137	8	1427	1274					
Tö M·ng §o¹n Thñy Béi	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(9)	3	99999	10	0																						36	120	39	9									954	914	974	1217	1334	1294	196	137	9	1534	1274					
Tö M·ng §o¹n Thñy H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Tö M·ng(10)	4	99999	10	0																						36	120	39	9									954	934	974	1177	1334	1294	196	137	10	130						
Tö M·ng TrÝch Tinh Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(1)	3	99999	10	0																						36	120	39	9									954	854	975	1017	997	1294	197	138	1	1536	1274					
Tö M·ng TrÝch Tinh §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	9									955	894	974	1197	1334	1294	197	138	2	1427	1274					
Tö M·ng TrÝch Tinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(3)	0	99999	10	0																						36	120	39	9									954	874	975	1017	1334	1294	197	138	3	130						
Tö M·ng TrÝch Tinh Thñ	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	9									955	914	974	1217	1334	1294	197	138	4	1427	1729					
Tö M·ng TrÝch Tinh Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									955	934	975	1177	1334	1294	197	138	5	1537	1274					
Tö M·ng TrÝch Tinh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	9									955	854	975	1017	1235	1294	197	138	6	1427	1274					
Tö M·ng TrÝch Tinh KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	9									1358	894	1157	1197	1334	1294	197	138	7	1427	130					
Tö M·ng TrÝch Tinh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	9									955	874	975	1017	1257	1294	197	138	8	1427	1274					
Tö M·ng TrÝch Tinh Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(9)	2	99999	10	0																						36	120	39	9									954	914	974	1217	1334	1294	197	138	9	1538	1274					
Tö M·ng TrÝch Tinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Tö M·ng(10)	1	99999	10	0																						36	120	39	9									954	934	974	1177	1334	1294	197	138	10	130						
