Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	4	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	5	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	6	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	7	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	8	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	9	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	10	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
TuyÖt §Þa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt.	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	1	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	2	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	3	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	4	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	5	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	6	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	7	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	8	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	9	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc sì.	5	250000	10	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8															
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y vÒ giã	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	Hæ v­¬ng toµn th©n vµng ãng, ®æi m¾t nh­ hai ®èm löa	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	5	5																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	1	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	2	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	3	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	4	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	5	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	6	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	7	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	8	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	9	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng cã ®«i m¾t ¸nh vµng	5	500000	10	0	111	100%	100%	93	1200	1200	85	500	500	150	500	500	114	15	15																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	1	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	2	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	3	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	4	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	5	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	6	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	7	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	8	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	9	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	10	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	1	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	2	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	3	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	4	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	5	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	6	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	7	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	8	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	9	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	Uy phong lÉm liÖt, chØ cã bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­ìi.	5	500000	10	0	111	100%	100%	93	1500	1500	85	500	500	150	700	700	114	20	20																		
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	1	0	111	100%	100%	93	1000	1000	85	500	500	150	700	700	114	10	10																		
