NpcAction	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
building5	"1,1,1"	"1,1,1"	"1,1,1"											
building6	"1,1,1"	"1,1,1"	"1,1,1"											
building7	"1,1,1"	"1,1,1"	"1,1,1"											
passerby214	"1,1,1"	"1,1,1"	"1,1,1"											
passerby215	"1,1,1"	"1,1,1"	"1,1,1"											
building8	"1,1,1"	"1,1,1"	"1,1,1"											
building9	"1,1,1"	"1,1,1"	"1,1,1"											
building10	"1,1,1"	"1,1,1"	"1,1,1"											
building11	"1,1,1"	"1,1,1"	"1,1,1"											
building12	"1,1,1"	"1,1,1"	"1,1,1"											
building13	"1,1,1"	"1,1,1"	"1,1,1"											
building14	"1,1,1"	"1,1,1"	"1,1,1"											
building15	"1,1,1"	"1,1,1"	"1,1,1"											
building16	"1,1,1"	"1,1,1"	"1,1,1"											
building17	"1,1,1"	"1,1,1"	"1,1,1"											
building18	"1,1,1"	"1,1,1"	"1,1,1"											
building19	"1,1,1"	"1,1,1"	"1,1,1"											
building20	"1,1,1"	"1,1,1"	"1,1,1"											
building21	"1,1,1"	"1,1,1"	"1,1,1"											
building22	"1,1,1"	"1,1,1"	"1,1,1"											
building23	"1,1,1"	"1,1,1"	"1,1,1"											
building24	"1,1,1"	"1,1,1"	"1,1,1"											
building25	"1,1,1"	"1,1,1"	"1,1,1"											
building26	"1,1,1"	"1,1,1"	"1,1,1"											
building27	"1,1,1"	"1,1,1"	"1,1,1"											
building28	"1,1,1"	"1,1,1"	"1,1,1"											
building29	"1,1,1"	"1,1,1"	"1,1,1"											
building30	"1,1,1"	"1,1,1"	"1,1,1"											
building31	"1,1,1"	"1,1,1"	"1,1,1"											
building32	"1,1,1"	"1,1,1"	"1,1,1"											
building33	"1,1,1"	"1,1,1"	"1,1,1"											
building34	"1,1,1"	"1,1,1"	"1,1,1"											
building35	"1,1,1"	"1,1,1"	"1,1,1"											
boss046	"88,8,113"	"88,8,113"	"88,8,113"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,50"	"56,8,57"	"144,8,55"	"96,8,50"	"96,8,50"	"96,8,50"	"88,8,113"	"120,8,50"
boss047	"112,8,80"	"112,8,80"	"112,8,80"	"104,8,60"	"104,8,60"	"104,8,60"	"104,8,60"	"48,8,66"	"120,8,80"	"96,8,83"	"96,8,83"	"96,8,83"	"112,8,80"	"104,8,60"
boss048	"112,8,120"	"112,8,120"	"112,8,120"	"96,8,60"	"96,8,60"	"96,8,60"	"96,8,60"	"48,8,90"	"112,8,90"	"96,8,60"	"96,8,60"	"96,8,60"	"112,8,120"	"96,8,60"
boss049	"112,8,107"	"112,8,107"	"112,8,107"	"104,8,57"	"104,8,57"	"104,8,57"	"104,8,57"	"48,8,85"	"120,8,70"	"96,8,65"	"96,8,65"	"96,8,65"	"112,8,107"	"104,8,57"
boss050	"96,8,83"	"96,8,83"	"96,8,83"	"96,8,62"	"96,8,62"	"96,8,62"	"96,8,62"	"64,8,50"	"128,8,78"	"80,8,90"	"80,8,90"	"80,8,90"	"96,8,83"	"96,8,62"
boss051	"96,8,120"	"96,8,120"	"96,8,120"	"88,8,60"	"88,8,60"	"88,8,60"	"88,8,60"	"64,8,90"	"120,8,90"	"104,8,76"	"104,8,76"	"104,8,76"	"96,8,120"	"88,8,60"
boss052	"88,8,90"	"88,8,90"	"88,8,90"	"120,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"56,8,90"	"128,8,90"	"104,8,60"	"104,8,60"	"104,8,60"	"88,8,90"	"120,8,60"
boss053	"112,8,120"	"112,8,120"	"112,8,120"	"96,8,60"	"96,8,60"	"96,8,60"	"96,8,60"	"48,8,90"	"112,8,90"	"112,8,90"	"112,8,90"	"112,8,90"	"112,8,120"	"96,8,60"
boss054	"96,8,120"	"96,8,120"	"96,8,120"	"120,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"64,8,90"	"88,8,90"	"128,8,62"	"128,8,62"	"128,8,62"	"96,8,120"	"120,8,60"
boss055	"96,8,104"	"96,8,104"	"96,8,104"	"88,8,68"	"88,8,68"	"88,8,68"	"88,8,68"	"64,8,75"	"120,8,66"	"80,8,110"	"80,8,110"	"80,8,110"	"96,8,104"	"88,8,68"
building36	"1,1,1"	"1,1,1"	"1,1,1"											
building37	"1,1,1"	"1,1,1"	"1,1,1"											
item001	"8,1,1"	"8,1,1"	"8,1,1"											
boss056	"64,8,120"	"64,8,120"	"64,8,120"	"88,8,68"	"88,8,68"	"88,8,68"	"88,8,68"	"64,8,62"	"104,8,100"	"80,8,100"	"80,8,100"	"80,8,100"	"64,8,120"	"88,8,68"
boss057	"64,8,100"	"64,8,100"	"64,8,100"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,50"	"64,8,62"	"136,8,73"	"80,8,75"	"56,8,107"	"56,8,107"	"64,8,100"	"120,8,50"
item002	"7,1,214"	"7,1,214"	"7,1,214"											
item003	"7,1,214"	"7,1,214"	"7,1,214"											
item004	"7,1,214"	"7,1,214"	"7,1,214"											
item005	"7,1,214"	"7,1,214"	"7,1,214"											
item006	"8,1,187"	"8,1,187"	"8,1,187"											
item007	"7,1,214"	"7,1,214"	"7,1,214"											
boss058	"64,8,137"	"64,8,137"	"64,8,137"	"96,8,62"	"96,8,62"	"96,8,62"	"96,8,62"	"48,8,66"	"88,8,90"	"96,8,75"	"96,8,75"	"96,8,75"	"64,8,137"	"96,8,62"
boss059	"96,8,65"	"64,8,125"	"64,8,125"	"96,8,62"	"96,8,62"	"96,8,62"	"96,8,62"	"64,8,62"	"128,8,90"	"80,8,75"	"80,8,75"	"80,8,75"	"96,8,65"	"96,8,62"
boss060	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,75"	"96,8,75"	"96,8,75"	"96,8,75"	"48,8,80"	"88,8,90"	"96,8,75"	"96,8,75"	"96,8,75"	"96,8,80"	"96,8,75"
boss061	"88,8,80"	"96,8,104"	"96,8,104"	"248,8,24"	"248,8,24"	"248,8,24"	"248,8,24"	"64,8,62"	"96,8,120"	"96,8,65"	"96,8,65"	"96,8,65"	"88,8,80"	"248,8,24"
boss062	"88,8,80"	"120,8,90"	"120,8,90"	"120,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"96,8,90"	"96,8,90"	"144,8,70"	"144,8,70"	"144,8,70"	"88,8,80"	"120,8,60"
boss063	"88,8,120"	"120,8,90"	"120,8,90"	"120,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"72,8,90"	"104,8,90"	"128,8,60"	"128,8,60"	"128,8,60"	"88,8,120"	"120,8,60"
boss064	"96,8,65"	"64,8,135"	"64,8,135"	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,70"	"80,8,80"	"128,8,80"	"80,8,80"	"80,8,80"	"80,8,80"	"96,8,65"	"96,8,70"
boss065	"112,8,120"	"112,8,120"	"112,8,120"	"104,8,60"	"104,8,60"	"104,8,60"	"104,8,60"	"48,8,120"	"120,8,90"	"96,8,80"	"96,8,80"	"96,8,80"	"112,8,120"	"104,8,60"
boss066	"112,8,120"	"112,8,120"	"112,8,120"	"96,8,60"	"96,8,60"	"96,8,60"	"96,8,60"	"48,8,120"	"112,8,120"	"112,8,90"	"112,8,90"	"112,8,90"	"112,8,120"	"96,8,60"
boss067	"96,8,70"	"96,8,62"	"96,8,62"	"128,8,62"	"128,8,62"	"128,8,62"	"128,8,62"	"64,8,100"	"104,8,120"	"160,8,50"	"160,8,50"	"160,8,50"	"96,8,70"	"128,8,62"
passerby216	"1,1,1"	"1,1,1"	"1,1,1"											
passerby217	"8,1,125"	"8,1,125"	"8,1,125"											
boss068	"80,8,95"	"80,8,95"	"80,8,95"	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,62"	"104,8,130"	"112,8,60"	"112,8,62"	"112,8,60"	"80,8,95"	"96,8,70"
passerby218	"10,1,180"	"10,1,180"	"10,1,180"											
passerby219	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,70"	"96,8,70"	"72,8,70"	"104,8,70"	"72,8,70"	"88,8,70"	"72,8,70"	"96,8,70"	"96,8,70"
passerby220	"88,8,100"	"88,8,100"	"88,8,140"	"96,8,80"	"96,8,70"	"96,8,70"	"96,8,70"	"64,8,60"	"64,8,130"	"112,8,80"	"80,8,100"	"112,8,80"	"80,8,140"	"96,8,80"
passerby221	"128,8,59"	"128,8,59"	"136,8,41"	"128,8,43"	"128,8,43"	"128,8,43"	"128,8,43"	"128,8,28"	"208,8,36"	"112,8,60"	"176,8,68"	"112,8,60"	"128,8,59"	"128,8,43"
passerby222	"9,1,60"	"9,1,60"	"9,1,60"											
passerby223	"9,1,50"	"9,1,50"	"9,1,50"											
passerby224	"10,1,50"	"10,1,50"	"10,1,50"											
passerby225	"10,1,80"	"10,1,80"	"10,1,80"											
passerby226	"1,1,1"	"1,1,1"	"1,1,1"											
passerby227	"1,1,1"	"1,1,1"	"1,1,1"											
passerby228	"10,1,100"	"10,1,100"	"10,1,100"											
passerby229	"10,1,95"	"10,1,95"	"10,1,95"											
passerby230	"10,1,85"	"10,1,85"	"10,1,85"											
passerby231	"8,1,180"	"8,1,180"	"8,1,180"											
passerby232	"8,1,180"	"8,1,180"	"8,1,180"											
passerby233	"8,1,180"	"8,1,180"	"8,1,180"											
passerby234	"112,8,107"	"112,8,107"	"112,8,125"											
passerby235	"96,8,125"	"96,8,125"	"96,8,125"											
passerby236	"128,8,93"	"128,8,93"	"128,8,93"											
passerby237	"9,1,112"	"9,1,112"	"9,1,112"											
boss069	"64,8,156"	"64,8,93"	"64,8,93"	"128,8,78"	"128,8,78"	"128,8,78"	"128,8,78"	"72,8,66"	"152,8,81"	"216,8,55"	"216,8,55"	"216,8,55"	"64,8,156"	"128,8,78"
boss070	"64,8,156"	"64,8,125"	"64,8,125"	"128,8,62"	"128,8,62"	"128,8,62"	"128,8,62"	"64,8,93"	"80,8,90"	"112,8,57"	"112,8,57"	"112,8,57"	"64,8,156"	"128,8,62"
boss071	"88,8,90"	"88,8,90"	"88,8,90"	"120,8,120"	"120,8,120"	"120,8,120"	"120,8,120"	"64,8,50"	"128,8,68"	"104,8,57"	"104,8,57"	"104,8,57"	"88,8,90"	"120,8,120"
boss072	"96,8,108"	"96,8,120"	"96,8,120"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,50"	"64,8,75"	"88,8,86"	"128,8,53"	"128,8,53"	"128,8,53"	"96,8,108"	"120,8,50"
boss073	"64,8,80"	"64,8,120"	"64,8,120"	"96,8,60"	"96,8,60"	"96,8,60"	"96,8,60"	"64,8,75"	"112,8,80"	"96,8,60"	"96,8,60"	"96,8,60"	"64,8,80"	"96,8,60"
boss074	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"48,8,140"	"104,8,120"	"72,8,100"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"
boss075	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"48,8,140"	"104,8,120"	"72,8,100"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"
boss076	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"48,8,140"	"104,8,120"	"72,8,100"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"
enemy225	"128,8,62"	"136,8,44"	"136,8,44"	"128,8,46"	"128,8,46"	"128,8,46"	"128,8,46"	"128,8,31"	"208,8,44"	"112,8,64"	"176,8,68"	"176,8,68"	"136,8,44"	"128,8,46"
passerby238	"15,1,100"	"15,1,100"	"15,1,100"											
passerby239	"15,1,100"	"15,1,100"	"15,1,100"											
enemy226	"104,8,120"	"104,8,120"	"104,8,120"	"128,8,160"	"128,8,160"	"128,8,160"	"128,8,160"	"40,8,120"	"56,8,100"	"104,8,120"	"104,8,120"	"104,8,120"	"8,8,120"	"128,8,160"
passerby240	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"48,8,111"	"96,8,111"	"136,8,111"	"136,8,111"	"136,8,111"	"80,8,111"	"80,8,111"
passerby241	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"56,8,80"	"80,8,100"	"80,8,100"	"80,8,100"	"80,8,100"	"96,8,100"	"96,8,100"
enemy227	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"15,1,50"	"15,1,50"	"15,1,50"	"1,1,1"	"1,1,1"
enemy228	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"15,1,50"	"15,1,50"	"15,1,50"	"1,1,1"	"1,1,1"
enemy229	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"15,1,50"	"15,1,50"	"15,1,50"	"1,1,1"	"1,1,1"
enemy230	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"15,1,50"	"15,1,50"	"15,1,50"	"1,1,1"	"1,1,1"
enemy231	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"15,1,50"	"15,1,50"	"15,1,50"	"1,1,1"	"1,1,1"
passerby242	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"
passerby243	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"
passerby244	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"
passerby245	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"
passerby246	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"
passerby247	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"
passerby248	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"
passerby249	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"
passerby250	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"	"10,1,150"
passerby251	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"	"1,1,1"
passerby252	"48,8,160"	"30,8,100"	"48,8,160"											
boss077	"64,8,100"	"64,8,120"	"64,8,120"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"64,8,70"	"80,8,150"	"80,8,80"	"80,8,100"	"80,8,100"	"64,8,120"	"96,8,80"
boss078	"80,8,100"	"80,8,100"	"80,8,100"	"64,8,100"	"64,8,100"	"64,8,100"	"64,8,100"	"72,8,80"	"96,8,100"	"88,8,100"	"88,8,100"	"88,8,100"	"80,8,100"	"64,8,100"
enemy232	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,60"	"96,8,60"	"96,8,60"	"96,8,60"	"56,8,111"	"104,8,111"	"72,8,111"	"72,8,111"	"72,8,111"	"96,8,111"	"96,8,60"
passerby253	"88,8,100"	"88,8,100"	"128,8,120"											
passerby254	"28,8,100"	"28,8,100"	"28,8,100"											
passerby255	"1,1,1"	"1,1,1"	"1,1,1"											
boss079	"192,8,111"	"96,8,111"	"192,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"56,8,111"	"104,8,111"	"72,8,111"	"72,8,111"	"72,8,111"	"192,8,111"	"96,8,111"
boss080	"192,8,111"	"96,8,111"	"64,8,160"	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"56,8,111"	"104,8,111"	"72,8,111"	"72,8,111"	"72,8,111"	"64,8,160"	"96,8,111"
boss081	"80,8,111"	"80,8,160"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"56,8,111"	"88,8,111"	"72,8,111"	"72,8,111"	"72,8,111"	"80,8,160"	"80,8,111"
passerby256	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"
passerby257	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"	"1,1,0"
npc090216001	"1,1,0"	"1,1,0"	"1,1,0"											
npc090216002	"10,1,80"	"10,1,80"	"10,1,80"											
passerby258	"15,1,111"	"15,1,111"	"15,1,111"											
passerby259	"15,1,111"	"15,1,111"	"15,1,111"											
passerby260	"15,1,111"	"15,1,111"	"15,1,111"											
passerby261	"15,1,111"	"15,1,111"	"15,1,111"											
passerby262	"15,1,111"	"15,1,111"	"15,1,111"											
passerby263	"15,1,111"	"15,1,111"	"15,1,111"											
passerby264	"1,1,0"	"1,1,0"	"1,1,0"											
passerby265	"1,1,0"	"1,1,0"	"1,1,0"											
passerby266	"1,1,0"	"1,1,0"	"1,1,0"											
passerby267	"1,1,0"	"1,1,0"	"1,1,0"											
passerby268	"1,1,0"	"1,1,0"	"1,1,0"											
passerby269	"1,1,0"	"1,1,0"	"1,1,0"											
passerby270	"1,1,0"	"1,1,0"	"1,1,0"											
passerby271	"1,1,0"	"1,1,0"	"1,1,0"											
passerby272	"1,1,0"	"1,1,0"	"1,1,0"											
passerby273	"1,1,0"	"1,1,0"	"1,1,0"											
passerby274	"1,1,0"	"1,1,0"	"1,1,0"											
passerby275	"1,1,0"	"1,1,0"	"1,1,0"											
passerby276	"1,1,0"	"1,1,0"	"1,1,0"											
passerby277	"1,1,0"	"1,1,0"	"1,1,0"											
passerby278	"1,1,0"	"1,1,0"	"1,1,0"											
passerby279	"1,1,0"	"1,1,0"	"1,1,0"											
passerby280	"1,1,0"	"1,1,0"	"1,1,0"											
passerby281	"1,1,0"	"1,1,0"	"1,1,0"											
passerby282	"1,1,0"	"1,1,0"	"1,1,0"											
passerby283	"1,1,0"	"1,1,0"	"1,1,0"											
passerby284	"64,8,200"	"64,8,200"	"64,8,200"	"96,8,90"	"96,8,90"	"96,8,90"	"96,8,90"	"48,8,80"	"104,8,100"	"96,8,70"	"96,8,70"	"96,8,70"	"64,8,200"	"96,8,90"
passerby285	"64,8,100"	"64,8,100"	"64,8,100"	"192,8,30"	"192,8,30"	"192,8,30"	"192,8,30"	"80,8,30"	"136,8,50"	"128,8,60"	"128,8,60"	"128,8,90"	"64,8,100"	"192,8,30"
passerby286	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"
passerby287	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"
passerby288	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"
passerby289	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"
passerby290	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"
passerby291	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"	"9,1,150"
passerby292	"15,1,99"	"15,1,99"	"15,1,99"											
passerby293	"15,1,111"	"15,1,111"	"15,1,111"											
passerby294	"15,1,100"	"15,1,100"	"15,1,100"											
passerby295	"15,1,100"	"15,1,100"	"15,1,100"											
passerby296	"64,8,100"	"64,8,100"	"64,8,100"											
passerby297	"1,1,0"	"1,1,0"	"1,1,0"											
passerby298	"1,1,0"	"1,1,0"	"1,1,0"											
passerby299	"1,1,0"	"1,1,0"	"1,1,0"											
passerby300	"1,1,0"	"1,1,0"	"1,1,0"											
passerby301	"1,1,0"	"1,1,0"	"1,1,0"											
passerby302	"1,1,0"	"1,1,0"	"1,1,0"											
passerby303	"1,1,0"	"1,1,0"	"1,1,0"											
passerby304	"8,1,278"	"8,1,278"	"8,1,278"											
passerby305	"8,1,278"	"8,1,278"	"8,1,278"											
passerby306	"128,8,70"	"128,8,60"	"128,8,70"	"128,8,40"	"128,8,40"	"128,8,40"	"128,8,40"	"40,8,50"	"144,8,50"	"144,8,50"	"128,8,40"	"128,8,40"	"128,8,60"	"128,8,40"
passerby307	"80,8,60"	"80,8,50"	"80,8,50"	"80,8,50"	"80,8,50"	"80,8,50"	"80,8,50"	"40,8,50"	"104,8,60"	"104,8,60"	"104,8,50"	"104,8,50"	"80,8,50"	"80,8,50"
passerby308	"96,8,60"	"96,8,80"	"96,8,80"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,50"	"40,8,40"	"120,8,80"	"120,8,80"	"120,8,50"	"120,8,50"	"96,8,80"	"120,8,50"
passerby309	"96,8,90"	"96,8,90"	"112,8,100"											
passerby310	"128,8,90"	"128,8,90"	"128,8,80"											
passerby311	"88,8,80"	"88,8,80"	"128,8,100"											
passerby312	"88,8,80"	"88,8,80"	"128,8,100"											
passerby313	"1,1,1"	"1,1,1"	"1,1,1"											
passerby314	"1,1,1"	"1,1,1"	"1,1,1"											
passerby315	"1,1,1"	"1,1,1"	"1,1,1"											
passerby316	"1,1,1"	"1,1,1"	"1,1,1"											
passerby317	"1,1,1"	"1,1,1"	"1,1,1"											
passerby318	"10,1,250"	"10,1,250"	"10,1,250"											
passerby319	"96,8,80"	"96,8,90"	"96,8,90"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"48,8,80"	"128,8,80"	"96,8,80"	"120,8,80"	"120,8,80"	"96,8,90"	"96,8,80"
passerby320	"64,8,90"	"80,8,95"	"80,8,95"	"128,8,83"	"128,8,83"	"128,8,83"	"128,8,83"	"48,8,100"	"112,8,90"	"128,8,60"	"128,8,60"	"128,8,60"	"80,8,95"	"128,8,83"
passerby321	"15,1,56"	"15,1,56"	"15,1,56"											
passerby322	"15,1,56"	"15,1,56"	"15,1,56"											
passerby323	"96,8,80"	"96,8,80"	"96,8,90"	"128,8,65"	"128,8,65"	"128,8,65"	"128,8,65"	"64,8,75"	"136,8,88"	"128,8,90"	"128,8,90"	"128,8,90"	"96,8,90"	"128,8,65"
passerby324	"96,8,60"	"96,8,60"	"128,8,120"	"128,8,63"	"128,8,63"	"128,8,63"	"128,8,63"	"80,8,60"	"280,8,90"	"160,8,63"	"136,8,63"	"136,8,63"	"128,8,120"	"128,8,63"
passerby325	"19,1,100"	"19,1,100"	"19,1,100"											
passerby326	"1,1,0"	"1,1,0"	"1,1,0"											
passerby327	"1,1,0"	"1,1,0"	"1,1,0"											
passerby328	"1,1,0"	"1,1,0"	"1,1,0"											
passerby329	"1,1,0"	"1,1,0"	"1,1,0"											
passerby330	"1,1,0"	"1,1,0"	"1,1,0"											
passerby331	"1,1,0"	"1,1,0"	"1,1,0"											
passerby332	"1,1,0"	"1,1,0"	"1,1,0"											
passerby333	"1,1,0"	"1,1,0"	"1,1,0"											
passerby334	"96,8,80"	"80,8,90"	"80,8,90"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"64,8,50"	"104,8,70"	"128,8,66"	"128,8,70"	"128,8,70"	"80,8,90"	"128,8,50"
passerby335	"96,8,100"	"96,8,100"	"96,8,120"	"80,8,80"	"80,8,80"	"80,8,80"	"80,8,80"	"56,8,60"	"96,8,70"	"128,8,50"	"192,8,50"	"192,8,50"	"96,8,120"	"80,8,80"
passerby336	"144,8,70"	"144,8,70"	"144,8,70"											
passerby337	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,110"	"64,8,110"	"64,8,110"	"64,8,110"	"48,8,100"	"120,8,100"	"96,8,110"	"120,8,100"	"120,8,100"	"64,8,120"	"64,8,110"
passerby338	"128,8,60"	"128,8,80"	"128,8,80"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,40"	"96,8,60"	"88,8,60"	"88,8,60"	"88,8,60"	"128,8,80"	"128,8,60"
passerby339	"1,1,0"	"1,1,0"	"1,1,0"											
yanhua	"23,1,200"	"23,1,200"	"23,1,200"											
passerby_wulin	"10,1,100"	"10,1,100"	"10,1,100"											
passerby_menzhu	"112,8,130"	"112,8,130"	"112,8,130"											
passerby_jianfeng	"64,8,120"	"64,8,140"	"64,8,140"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"48,8,100"	"136,8,120"	"80,8,120"	"128,8,120"	"128,8,120"	"64,8,140"	"64,8,120"
passerby_yunxia	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"48,8,111"	"80,8,80"	"128,8,70"	"128,8,70"	"128,8,70"	"128,8,56"	"128,8,56"
passerby_qixiyanhuo	"40,1,60"	"40,1,60"	"40,1,60"											
boss082	"64,8,85"	"64,8,96"	"64,8,96"	"64,8,111"	"64,8,111"	"64,8,111"	"64,8,111"	"48,8,75"	"120,8,80"	"96,8,95"	"120,8,90"	"96,8,95"	"64,8,96"	"64,8,111"
passerby_light_a	"1,1,1"	"1,1,1"	"1,1,1"											
passerby_light_b	"1,1,1"	"1,1,1"	"1,1,1"											
passerby_henge_a	"96,8,100"	"96,8,100"	"96,8,100"											
passerby_henge_b	"96,8,100"	"96,8,100"	"96,8,100"											
passerby_henge_c	"96,8,100"	"96,8,100"	"96,8,100"											
obj_herb_001	"1,1,1"	"1,1,1"	"1,1,1"											
