MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	MissRate	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
81	B¹ch Ba 	1	0	0	2	1	0	1	0	20	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_°×.spr	320,32,1																				140	142	165	90
82	ThÊt Th­¬ng ThÇn QuyÒn 	1	0	1	10	0	0	0	0	24	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_bz_huo4_±¬Õ¨Ğ§¹û.spr	16,1,2					\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	6,1,2														239	146	82	90
83	KiÕm Phi Kinh Thiªn 	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0																									255	255	255	90
84	§iÖn ba	1	0	0	2	1	0	1	0	20	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_µç.spr	160,16,1																				255	255	255	90
85	Thiªn La §Şa VângPhi §ao	2	2	0	20	1	0	1	0	15	16	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_04_¶á»ê¼ı.spr	8,1,1																				255	255	255	90
86	Hoµnh T¶o Lôc Hîp	0	0	0	2	4	1	4	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0										\spr\skill\²¹³ä\¹÷°ô±¬Õ¨.spr	4,1,1														255	255	255	0
87	§¸ 	7	0	1	10	2	0	2	0	100	24	5120	10240	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_Ê¯Í·.spr	9,1,1																				148	113	66	90
88	L«ng  	1	0	1	10	1	0	1	0	40	24	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_¶ÌÃ«.spr	64,16,20																				148	113	66	90
89	1 dóm l«ng 	1	0	1	10	1	0	1	0	20	24	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_¼âÃ«.spr	64,16,20																				214	231	132	90
90	N­íc miÕng 	1	0	1	10	1	0	1	0	15	24	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_¿ÚË®.spr	64,16,1																				214	231	132	90
91	N­íc ®éc 	1	0	0	10	1	0	1	0	15	20	0	0	0	0	0	0		1	1	0	0	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_¶¾Ë®.spr	64,16,1		\spr\skill\NPC\mag_npc_¶¾Ë®ÏûÊ§.spr	30,1,2																	107	32	115	90
92	Vßng trßn hç trî ®ång ®éi	0	0	0	2	10	1	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0																									255	255	255	0
93	B¾n tªn 	1	0	0	10	1	0	1	0	15	20	0	0	0	0	0	0		1	1	0	0	0	0	0	0	0	0				\spr\skill\NPC\mag_npc_¼ı.spr	16,16,1																				255	247	214	90
94	Vßng trßn g©y s¸t th­¬ng 	0	0	0	2	8	0	12	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0										\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	6,1,1														255	255	255	0
95	Nh©n KiÕm Hîp NhÊt 11	0	0	1	20	1	0	1	0	10	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_09_ÈË½£ºÏÒ»½£.spr	11,1,1					\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1														255	255	255	90
96	B¹o Vò Lª Hoa	0	0	1	15	1	0	1	17	90	0	0	0	1	1	1	16	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_07_Ğ¡Àî·Éµ¶.spr	90,1,1	\sound\skill\°ş¼«¶ø¸´.wav																			255	255	231	90
97	C«ng kİch C«n bæng 	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\¹÷°ô±¬Õ¨.spr	4,1,2	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
98	C«ng kİch Song chïy 	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\BZ_é¢1.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
99	C«ng kİch tay kh«ng	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
100	Song ®aoc«ng kİch 	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
101	Tø T­îng §ång Quy (trung t©m) 	0	0	1	18	2	1	2	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0										\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2														156	211	255	90
102	Ma Ha V« L­îng npc	1	0	0	10	3	1	3	0	15	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_01_Ä¦Ú­ÎŞÁ¿.spr	80,16,1																				231	227	107	90
103	BÊt DiÖt BÊt TuyÖt npc	1	0	1	10	3	1	3	0	30	30	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0				\spr\skill\¶ëáÒ\mag_em_04_²»Ãğ²»¾ø.spr	64,16,1	\sound\skill\²»Ãğ²»¾ø.wav				\spr\skill\¶ëáÒ\mag_em_bin4_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													156	211	255	90
104	§¬n ChØ LiÖt DiÖm npc	1	0	1	10	3	1	3	0	20	30	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_04_µ¯Ö¸ÁÒÑæ.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
105	Thiªn la §Şa vâng  npc	1	0	1	10	3	0	3	0	40	30	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_07_Ğ¡Àî·Éµ¶.spr	16,1,1	\sound\skill\sound_k031.wav																			227	247	198	90
106	TiÓu Lı Phi §ao	0	0	1	10	2	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\²¹³ä\·É±ê±¬Õ¨.spr	4,1,1														227	247	198	90
107	TiÓu Lı Phi §ao 	1	1	1	10	1	0	1	0	40	32	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0						\sound\skill\sound_k031.wav																			227	247	198	90
108	Ph¸o Hoa	0	0	0	10	0	0	0	0	24	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0				\spr\skill\²¹³ä\ÑÌ»¨.spr	24,1,3																				255	255	255	100
109	S­ Tö Hèng 	0	0	1	10	8	1	8	7	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0																									255	255	255	0
110	Tam Hoµn Thao NguyÖt 	1	0	1	10	1	0	1	0	4	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1					\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1		181	203	255	0
111	B¨ng T©m Tr¸i ¶nh	0	0	1	10	1	0	1	10	16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_11_²¹ÑªÊõ.spr	20,1,1	\sound\skill\ÖÎÁÆÊõ.wav																			189	134	82	90
112	§¹p TuyÕt V« Ng©n 	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0							\spr\skill\´äÑÌ\mag_cy_09.spr	16,1,1		\spr\skill\´äÑÌ\mag_cy_09.spr	16,1,1														255	219	99	90
113	Long Tr¶o Hæ Tr¶o 	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0							\spr\skill\²¹³ä\BZ_é¢.spr	6,1,1		\spr\skill\²¹³ä\BZ_é¢.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1		181	203	255	0
114	Ho¹t BÊt L­u Thñ  	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0							\spr\skill\Ø¤°ï\mag_gb_07_½ğÎÚÓ³Ñ©.spr	20,1,1																	255	219	99	90
115	Thanh ¢m Ph¹n X­íng 	0	0	0	10	6	1	6	44	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\¶ëáÒ\em_±ùĞÄèóÒô.spr	40,1,1					\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k041.wav													156	166	247	90
116	§o¹t Hån Tiªu	1	0	1	10	1	0	1	0	25	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_07_Ğ¡Àî·Éµ¶.spr	16,1,1	\sound\skill\¶á»êïÚ.wav																			255	251	214	90
117	Kh¸ng Long H÷u Hèi 	0	0	0	20	2	0	2	16	16	0	0	0	1	1	20	30	0	0	0	0	0	0	0	0	0	0	1				\spr\skill\Ø¤°ï\mag_gb_03_¼ûÈËÉìÊÖ.spr	64,16,1	\sound\skill\ÍÆÉ½Ìîº£.wav	\spr\skill\Ø¤°ï\mag_gb_03_¼ûÈËÉìÊÖ.spr	64,16,1				\sound\skill\sound_k038.wav				\spr\skill\Ø¤°ï\mag_gb_03_¼ûÈËÉìÊÖ.spr	64,16,1	\sound\skill\sound_k036.wav	\spr\skill\Ø¤°ï\mag_gb_03_¼ûÈËÉìÊÖ.spr	64,16,1					239	146	82	90
118	Hoa hång 1	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1				\spr\skill\²¹³ä\Ãµ¹å01.spr	50,1,1											\spr\skill\²¹³ä\Ãµ¹å01.spr	50,1,1								156	211	255	90
119	Hoa hång 2	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1			\sound\skill\·ç»¨Ñ©ÔÂ.wav	\spr\skill\²¹³ä\Ãµ¹å03.spr	50,1,1											\spr\skill\²¹³ä\Ãµ¹å02.spr	50,1,1								156	211	255	90
120	Hoa hång 3	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1				\spr\skill\²¹³ä\Ãµ¹å02.spr	50,1,1											\spr\skill\²¹³ä\Ãµ¹å04.spr	50,1,1								156	211	255	90
121	Hoa hång 4	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1				\spr\skill\²¹³ä\Ãµ¹å05.spr	50,1,1											\spr\skill\²¹³ä\Ãµ¹å03.spr	50,1,1								156	211	255	90
122	Hoa hång 5	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1				\spr\skill\²¹³ä\Ãµ¹å04.spr	50,1,1											\spr\skill\²¹³ä\Ãµ¹å01.spr	50,1,1								156	211	255	90
123	Hoa hång 6	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1				\spr\skill\²¹³ä\Ãµ¹å06.spr	50,1,1											\spr\skill\²¹³ä\Ãµ¹å05.spr	50,1,1								156	211	255	90
124	Hoa Hång trªn mÆt ®Êt 	0	0	1	15	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				\spr\skill\²¹³ä\Ãµ¹åµØÃæ03.spr	16,1,1											\spr\skill\²¹³ä\Ãµ¹åµØÃæ01.spr	1,1,1								255	255	231	90
125	Vßng trßn hç trî ®ång ®éi 	0	0	0	2	8	1	8	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0																									255	255	255	0
126	B¹o Vò Lª Hoa 	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²¹³ä\Ô¶³Ì¹¥»÷.spr	16,16,1	\sound\skill\sound_k031.wav				\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	13,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													239	231	189	90
127	§éc Thİch Cèt 	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_08_Ïİ¾®.spr	1080,1,1																				255	255	231	90
128	§éc Thİch Cèt  	0	0	0	20	2	1	2	6	16	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0	1				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1				\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90
129	§Çu Th¹ch ®an (VËt lı) 	7	0	1	10	8	1	8	0	40	20	20480	1024	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0				\spr\skill\npc\Í¶Ê¯ÆÕ.spr	20,1,1		\spr\skill\npc\Í¶Ê¯ÆÕ±¬Õ¨.spr	27,1,1	\sound\skill\²¹³ä\Í¶Ê¯±¬Õ¨.wav	\spr\skill\npc\Í¶Ê¯ÆÕ±¬Õ¨.spr	27,1,1	\sound\skill\²¹³ä\Í¶Ê¯±¬Õ¨.wav													123	113	107	90
130	§¹n c«ng thµnh	1	0	1	10	2	1	2	12	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\BZ_é¢.spr	6,1,1	\sound\skill\Ç¹´ÌÖĞÉù.wav													181	203	255	0
131	§Çu Th¹ch ®an (Háa) 	7	0	1	10	8	1	8	0	40	20	20480	1024	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0				\spr\skill\npc\Í¶Ê¯»ğ.spr	20,1,1		\spr\skill\npc\Í¶Ê¯»ğ±¬Õ¨.spr	27,1,1	\sound\skill\²¹³ä\Í¶Ê¯±¬Õ¨.wav	\spr\skill\npc\Í¶Ê¯»ğ±¬Õ¨.spr	27,1,1														156	211	255	90
132	§Çu Th¹ch ®an (B¨ng) 	7	0	1	10	8	1	8	0	40	20	20480	1024	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0				\spr\skill\npc\Í¶Ê¯±ù.spr	20,1,1		\spr\skill\npc\Í¶Ê¯±ù±¬Õ¨.spr	27,1,1	\sound\skill\²¹³ä\Í¶Ê¯±¬Õ¨.wav	\spr\skill\npc\Í¶Ê¯±ù±¬Õ¨.spr	27,1,1														115	219	255	90
133	§Çu Th¹ch ®an (§éc ) 	7	0	1	10	8	1	8	0	40	20	20480	1024	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0				\spr\skill\npc\Í¶Ê¯¶¾.spr	20,1,1		\spr\skill\npc\Í¶Ê¯¶¾±¬Õ¨.spr	27,1,1	\sound\skill\²¹³ä\Í¶Ê¯±¬Õ¨.wav	\spr\skill\npc\Í¶Ê¯¶¾±¬Õ¨.spr	27,1,1														90	255	90	90
134	Kim PhËt XuÊt Kİch	1	0	1	10	1	0	1	0	4	24	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_01_´ïÄ¦¶É½­.spr	160,16,1					\spr\skill\sl\½ğÁúÌ½×¦.spr	6,1,1	\sound\skill\sound_k040.wav													239	231	189	90
135	Hoµnh T¶o Thiªn Qu©n	0	0	1	10	6	1	6	5	5	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0				\spr\skill\sl\bz_ºáÉ¨Ç§¾ü.spr	8,1,1					\spr\skill\sl\½ğÁúÌ½×¦.spr	6,1,1	\sound\skill\sound_k017.wav				\spr\skill\sl\bz_ºáÉ¨Ç§¾ü.spr	8,1,1	\sound\skill\sound_k017.wav						\sound\skill\sound_k014.wav	239	231	189	90
136	V« T­íng Tr¶m 	1	0	1	10	1	0	1	1	16	40	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\sl\ÎŞÏòÕ¶.spr	128,16,1					\spr\skill\ÉÙÁÖ\sl_04_»ÛÑÛÖä.spr	20,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													239	231	189	90
137	Vßng trßn hç trî ®ång ®éi 	0	0	0	2	14	1	14	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0																									255	255	255	0
138	Ph¸ Thiªn Tr¶m 	1	0	1	10	1	0	1	0	3	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\tw\×··ç¾ö.spr	8,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
139	Truy Tinh Trôc NguyÖt 	1	0	1	10	1	0	1	0	4	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_npc_¶ÌÃ«.spr	64,16,1					\spr\skill\sl\½ğÁúÌ½×¦.spr	4,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav				\spr\skill\²¹³ä\mag_npc_¶ÌÃ«.spr	64,16,1					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
140	Thõa Long QuyÕt 	1	0	1	10	1	0	1	0	3	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1					\spr\skill\²¹³ä\BZ_é¢1.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
141	Truy Phong QuyÕt 	1	0	1	10	1	0	1	0	3	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1					\spr\skill\²¹³ä\BZ_é¢1.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
142	Tam Nga TÒ TuyÕt Phi KiÕm 	1	0	1	10	1	0	1	0	16	32	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0				\spr\skill\¶ëáÒ\mag_em_04_²»Ãğ²»¾ø.spr	64,16,1	\sound\skill\²»Ãğ²»¾ø.wav				\spr\skill\¶ëáÒ\mag_em_bin4_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													156	211	255	90
143	Tam Nga TÒ TuyÕt #Th©n 	0	0	1	10	3	1	3	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_05_·ğ¹âÆÕÕÕ.spr	8,1,2					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90
144	Kim §Ønh PhËt Quang 	5	0	1	10	1	0	1	0	35	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_01_Æ®Ñ©´©ÔÆ.spr	64,16,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90
145	Thiªn PhËt Thiªn DiÖp 	1	0	1	10	1	0	1	0	16	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_À¶.spr	320,32,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90
146	B¨ng Tung V« ¶nh 	1	0	1	10	1	0	1	0	24	32	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_01_·çÔÆÍ»Æğ.spr	48,16,1	\sound\skill\·ç»¨Ñ©ÔÂ.wav				\spr\skill\¶ëáÒ\mag_bz_bin2_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\±ù±¬.wav													156	211	255	90
147	B¨ng T©m Tiªn Tö  	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\cy\·çÑ©±ùÌì.spr	128,16,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90
148	Phong TuyÕt B¨ng Thiªn 	0	0	1	15	3	1	3	15	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\cy\xx_·çÑ©±ùÌì.spr	40,1,1	\sound\skill\¸¡ÔÆÉ¢Ñ©.wav																			156	166	247	90
149	NhiÕp Hån NguyÖt ¶nh	1	0	1	10	1	0	1	0	16	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\tm\Òøµ¶ÉäÔÂ_02.spr	18,1,1	\sound\skill\×·ĞÄ¼ı.wav																			148	219	255	90
150	Ng©n §ao X¹ NguyÖt 	0	0	1	20	3	1	3	8	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\tm\bz_Òøµ¶ÉäÔÂ.spr	16,1,1																				255	219	214	90
151	T¸n Hoa Tiªu 	100	0	1	10	1	0	1	0	32	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\tm\ÈÌÕßïÚ.spr	15,1,1	\sound\skill\sound_k040.wav				\spr\skill\tm\ÈÌÕßïÚ.spr	15,1,1	\sound\skill\sound_k040.wav													239	231	189	90
152	Cöu Cung Phi Tinh	100	0	1	10	1	0	1	0	32	32	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\tm\¾Å¹¬·ÉĞÇ.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\tm\¾Å¹¬·ÉĞÇ.spr	8,1,1	\sound\skill\sound_k040.wav													239	231	189	90
153	Xuyªn T©m Thİch 	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\tm\xj_´©ĞÄ´Ì.spr	1080,1,1																				255	255	231	90
154	Xuyªn T©m Thİch 	0	0	0	20	2	1	2	6	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\´©ĞÄ´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\´©ĞÄ´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90
155	Hµn B¨ng Thİch 	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\tm\xj_º®±ù´Ì.spr	1080,1,1																				255	255	231	90
156	Hµn B¨ng Thİch 	0	0	0	20	2	1	2	6	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\bz_º®±ù´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\bz_º®±ù´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90
157	§Şa DiÖm Háa 	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\tm\xj_µØÑæ»ğ.01.spr	1080,1,1																				255	255	231	90
158	§Şa DiÖm Háa 	0	0	0	20	2	1	2	6	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\µØÑæ»ğ.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\µØÑæ»ğ.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90
159	L«i Kİch ThuËt 	0	0	1	15	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\tm\xj_À×»÷Êõ.spr	1080,1,1																				255	255	231	90
