QId	Tip	Content	ChooseCount	Price	Choose1	Choose2	Choose3	Choose4	Choose5	Choose6	Choose7	Choose8	Choose9	Choose10	BeginSaleTime	EndSaleTime	BeginPayForTime	EndPayForTime	Answer	BonusRate	MaxBonus
2182		遥知兄弟登高处，_____________。	4	0	遍插茱萸少一人	不是宸游玩物华	晨摇玉佩趋金殿	山中习静观朝槿											1	50	10000000
2183		漠漠水田飞白鹭，_____________。	4	0	阴阴夏木啭黄鹂	山中习静观朝槿	松下清斋折露葵	野老与人争席罢											1	50	10000000
2184		城阙辅三秦，_____________。	4	0	风烟望五津	晨征犯烟磴	夕憩在云关	风景驻离欢											1	50	10000000
2185		海内存知己，_____________。	4	0	天涯若比邻	君王无处所	台榭若平生	西陵松檟冷											1	50	10000000
2186		东边日头西边雨，_____________。	4	0	道是无晴却有晴	闻郎江上唱歌声	杨柳青青江水平	山上层层桃李花											1	50	10000000
2187		花红易衰似郎意，_____________。	4	0	水流无限似侬愁	山桃红花满上头	蜀江春水拍山流	云间烟火是人家											1	50	10000000
2188		野旷天低树，_____________。	4	0	江清月近人	移舟泊烟渚	日暮客愁新	端居耻圣明											1	50	10000000
2189		春眠不觉晓，_____________。	4	0	处处闻啼鸟	山光忽西落	池月渐东上	夜来风雨声											1	50	10000000
2190		夜来风雨声，_____________。	4	0	花落知多少	感此怀故人	八月湖水平	气蒸云梦泽											1	50	10000000
2191		绿树村边合，_____________。	4	0	青山郭外斜	黄金燃桂尽	故人具鸡黍	邀我至田家											1	50	10000000
2192		待到重阳日，_____________。	4	0	还来就菊花	开轩面场圃	把酒话桑麻	待到重阳日											1	50	10000000
2193		风鸣两岸叶，_____________。	4	0	月照一孤舟	山暝听猿愁	沧江急夜流	闻说梅花早											1	50	10000000
2194		三十功名尘与土，_____________。	4	0	八千里路云和月	一场愁梦酒醒时	酒筵歌席莫辞频	劝君莫作独醒人											1	50	10000000
2195		壮士饥餐胡虏肉，_____________。	4	0	笑谈渴饮匈奴血	满目山河空念远	一向年光有限身	细算浮生千万绪											1	50	10000000
2196		无可奈何花落去，_____________。	4	0	似曾相识燕归来	几回疏雨滴圆荷	晚花红片落庭莎	曲阑干影入凉波											1	50	10000000
2197		宴罢又成空，_____________。	4	0	魂迷春梦中	来便谐衷素	秋波横欲流	眼色暗相钩											1	50	10000000
2198		撩乱春愁如柳絮，_____________。	4	0	依依梦里无寻处	百草千花寒食路	泪眼倚楼频独语	香车系在谁家树											1	50	10000000
2199		盈盈一水间，_____________。 	4	0	脉脉不得语	河汉清且浅 	纤纤擢素手 	泣涕零如雨 											1	50	10000000
2200		迢迢牵牛星，_____________。	4	0	皎皎河汉女	一去复几许	札札弄机杼 	泣涕零如雨 											1	50	10000000
2201		春风又绿江南岸，_____________。	4	0	明月何时照我还	风光不与四时同 	钟山只隔数重山 	京口瓜洲一水间											1	50	10000000
2202		春色满园关不住，_____________。	4	0	一枝红杏出墙来	应怜屐齿印苍苔	小扣柴扉久不开 	总把新桃换旧符 											1	50	10000000
2203		百川东到海，_____________。 	4	0	何时复西归	阳春布德泽 	焜黄华叶衰 	阳春布德泽 											1	50	10000000
2204		少壮不努力，_____________。 	4	0	老大徒伤悲	朝露待日晞 	万物生光辉 	焜黄华叶衰 											1	50	10000000
2205		山外青山楼外楼，_____________。	4	0	西湖歌舞几时休	直把杭州当汴州 	风光不与四时同 	花有清香月有阴											1	50	10000000
2206		臣心一片磁针石，_____________。 	4	0	不指南方不肯休	回从扬子大江头 	几日随风北海游	歌管楼亭声细细 											1	50	10000000
2207		王师北定中原日，_____________。 	4	0	家祭无忘告乃翁	家祭无忘告汝翁	但悲不见九州同 	死后原知万事空											1	50	10000000
2208		爆竹声中一岁除，_____________。	4	0	春风送暖入屠苏	总把新桃换旧符 	千门万户瞳瞳日 	丰年留客足鸡豚 											1	50	10000000
2209		生当作人杰，_____________。	4	0	死亦为鬼雄	至今思项羽 	苍茫云海间	不肯过江东 											1	50	10000000
2210		接天莲叶无穷碧，_____________。 	4	0	映日荷花别样红	毕竟西湖六月中	风光不与四时同 	误入藕花深处 											1	50	10000000
2211		春宵一刻值千金，_____________。	4	0	花有清香月有阴	歌管楼亭声细细 	秋千院落夜沉沉 	柳暗花明又一村											1	50	10000000
2212		山重水复疑无路，_____________。 	4	0	柳暗花明又一村	丰年留客足鸡豚 	衣冠简朴古风存 	柱杖无时夜叩门 											1	50	10000000
2213		争渡，争渡，_____________。	4	0	惊起一滩鸥鹭 	沉醉不知归路 	常记溪亭日暮	误入藕花深处 											1	50	10000000
2214		往事已成空，_____________。 	4	0	还如一梦中	高楼谁与上 	故国梦重归 	长记秋晴望 											1	50	10000000
2215		欲穷千里目，_____________。 	4	0	更上一层楼	黄河入海流 	白日依山尽	举头望明月											1	50	10000000
2216		老骥伏枥，_____________。 	4	0	志在千里	终为土灰 	猷有竟时 	壮心不已 											1	50	10000000
2217		日月之行，_____________。	4	0	若出其中 	洪波涌起 	若出其里 	歌以咏志 											1	50	10000000
2218		本是同根生，_____________。	4	0	相煎何太急	漉菽以为汁 	豆在釜中泣 	煮豆持作羹											1	50	10000000
2219		对酒当歌，_____________。	4	0	人生几何	乌鹊南飞	悠悠我心	鼓瑟吹笙											1	50	10000000
2220		_____________，必有我师焉。	4	0	三人行	二人行	一人行	四人行											1	50	10000000
2221		长风几万里，_____________。	4	0	吹度玉门关	叹息未应闲	苍茫云海间	思归多苦颜											1	50	10000000
