名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
精准之靴	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<color=Yellow>2010世界杯黄金套装。<enter>精准之靴，驰骋绿茵之地。<color>	0	99999	10	0	30	160	160	31	100	100																36	60											436		400		412								42						
[仿制的]安邦之冰晶石项链	0	4	0	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	白金装备	4	99999	10	0																						36	85											440												34						
[仿制的]安邦之菊花石指环	0	3	0	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	2	99999	8	0																						36	80											441		540										34						
[仿制的]安邦之田黄石玉佩	0	9	1	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备	1	99999	8	0																						36	75											441		541										34						
[仿制的]安邦之鸡血石戒指	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	3	99999	8	0																						36	80											441		542										34						
[限时]梦龙之正黄僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	白金装备	1	2000	10	0	30	360	360	31	85	85																36	90	32	160	39	0							2		171		323		173		6		155		1						
[限时]梦龙之金丝正红袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	白金装备	2	2000	10	0	30	720	720	31	90	90																36	99	32	260	39	0							409		490		491		492		493		494		1						
[限时]梦龙之玄丝法带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	白金装备	0	2000	10	0	30	160	160	31	80	80																36	95	32	135	39	0							418		309		172		311		416		417		1						
[限时]梦龙之佛法玄佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备	4	2000	10	0																						36	80	39	0									129		130										1						
[限时]梦龙之紫金般若戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	0	99999	10	0	31	80	80																			36	120	39	0									719		311		718		423		173		174		1						
[限时]伏魔之紫金棍	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	白金装备	0	2000	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	0							445		446		447		448		449		450		2						
[限时]伏魔之无量金刚腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	白金装备	2	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2		311		718		423		175		323		2						
[限时]伏魔之乌金软绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	白金装备	3	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	0							418		309		177		311		416		417		2						
[限时]伏魔之佛心软扣	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	白金装备	1	2000	10	0																						36	80	39	0									129		130										2						
[限时]伏魔之普渡僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	2	2000	10	0	30	160	160	31	80	80																36	95	32	135	39	0							2		104		323		311		6		325		2						
[限时]四空之降魔戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	白金装备	0	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	0							451		446		452		448		449		450		3						
[限时]四空之达摩僧鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	白金装备	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2		320		718		88		178		731		3						
[限时]四空之护法腰带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	白金装备	3	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2		309		177		311		416		425		3						
[限时]四空之软皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备	1	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	0							2		326		323		311		6		179		3						
[限时]四空之戒律法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	2	2000	10	0																						36	80	39	0									129		130										3						
[限时]撼天之金环大眼神锤	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	白金装备	2	2000	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	99	32	235	39	1							453		454		455		456		457		458		4						
[限时]撼天之武神镶金甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	白金装备	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2		40		318		732		311		180		4						
[限时]撼天之威武束腰环	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	白金装备	4	2000	10	0	30	160	160	31	80	80																36	95	32	135	39	1							2		309		191		311		416		156		4						
[限时]撼天之虎头紧束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备	3	2000	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129		130										4						
[限时]撼天之乘龙战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	白金装备	1	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2		104		192		311		319		190		4						
[限时]继业之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	白金装备	2	2000	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					459		460		455		456		457		458		5						
[限时]继业之玄武黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	白金装备	0	2000	10	0	30	720	720	31	90	90																36	95	32	260	39	1							2		40		185		79						5						
[限时]继业之白虎无双扣	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	白金装备	4	2000	10	0	30	160	160	31	80	80																36	90	32	135	39	1							2		309		188		311		416		156		5						
[限时]继业之火云麒麟手	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	白金装备	3	2000	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129		130										5						
[限时]继业之朱雀凌云靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2		320		318		733		88		186		5						
[限时]御龙之亮银宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	白金装备	2	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	1							459		447		455		456		457		458		6						
[限时]御龙之战神挂坠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	白金装备	0	2000	10	0																						36	90	39	1									2		317		79		107						6						
[限时]御龙之天门束腰环	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	白金装备	4	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2		309		182		311		416		156		6						
[限时]御龙之迅风发箍	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	白金装备	2	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	1							2		311		319		327		420		181		6						
[限时]御龙之绝命指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	1									129		130										6						
[限时]无间之倚天剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	白金装备	0	2000	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							451		446		445		448		449		461		7						
[限时]无间之清风软屐	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	白金装备	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							719		320		718		313		194		193		7						
[限时]无间之拂云丝带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	白金装备	3	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	4							418		309		196		307		6		425		7						
[限时]无间之琴韵护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	白金装备	1	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	4							2		329		328		88		6		194		7						
[限时]无间之白玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	白金装备	2	2000	10	0																						36	80	39	4									129		130										7						
[限时]无魇之摩尼冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	白金装备	2	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	4							2		307		420		309		6		427		8						
[限时]无魇之秋水流光带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	白金装备	4	99999	10	0	30	140	140	31	80	80																36	120	32	135	39	4							2		88		718		339		195		427		8						
[限时]无魇之冰晶指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	4	2000	10	0	31	80	80																			36	80	39	4									129		130										8						
[限时]无魇之洗象玉扣	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	白金装备	1	2000	10	0	31	60	60																			36	95	39	4									495		464		496		497		498		499		8						
[限时]无魇之红缁软禢鞋	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	白金装备	1	2000	10	0	30	140	140	31	80	80																36	99	32	110	39	4							2		320		199		88		8		330		8						
[限时]无尘之玉女素心冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	白金装备	3	2000	10	0	30	315	315	31	85	85																36	90	32	110	39	4							418		309		197		312		421		420		9						
[限时]无尘之清心向善珠	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	白金装备	1	2000	10	0																						36	99	39	4									409		500		501		502		467		503		9						
[限时]无尘之慈悲玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	白金装备	2	2000	10	0																						36	80	39	4									129		130										9						
[限时]无尘之静影流苏	0	9	0	\spr\item\equip\waist\obj-waist05.spr 	36	1	2	白金装备	1	99999	10	0	31	60	60																			36	120	39	4									2		313		718		420		158		201		9						
[限时]无尘之佛光指环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备	1	99999	10	0	31	80	80																			36	85	39	4									2		419		6		203		417		115		9						
[限时]栖凰之凤仪刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	白金装备	0	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							451		446		445		448		449		462		10						
[限时]栖凰之慧心长生扣	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	白金装备	1	99999	10	0	31	60	60																			36	120	39	5									719		88		718		423		205		207		10						
[限时]栖凰之风雪白云束带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	白金装备	3	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	5							2		309		206		307		6		426		10						
[限时]栖凰之冰踪锦腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	白金装备	1	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	5							2		333		204		88		6		205		10						
[限时]栖凰之翠玉指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	白金装备	2	2000	10	0																						36	80	39	5									129		130										10						
[限时]碧海之鸳鸯连环刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	白金装备	2	2000	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							463		464		465		466		467		462		11						
[限时]碧海之环珠宣清巾	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	白金装备	2	99999	10	0	30	315	315	31	85	85																36	120	39	5									719		312		718		420		291		211		11						
[限时]碧海之红铃金丝带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	白金装备	4	2000	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2		309		210		419		421		422		11						
[限时]碧海之红铃波	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	白金装备	0	2000	10	0	31	60	60																			36	85	39	5									1		296		8		39		78		282		11						
[限时]碧海之纤细指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	5									129		130										11						
[限时]幽胧之金蛇发带	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	白金装备	1	2000	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2		302		283		143		6		160		12						
[限时]幽胧之赤蝎秘装	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	白金装备	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							616		771		306		423		311		334		12						
[限时]幽胧之青蜈缠腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	白金装备	0	2000	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2		309		227		307		6		423		12						
[限时]幽胧之银蟾护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	白金装备	4	2000	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129		130										12						
[限时]幽胧之墨蛛软履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	白金装备	1	2000	10	0	30	140	140	31	60	60																36	85	32	50	39	3							495		504		505		506		507		508		12						
[限时]冥幻之邪刹毒刃	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	白金装备	2	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							455		456		449		458		468		469		13						
[限时]冥幻之幽蛊暗衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	白金装备	0	2000	10	0	30	720	720	31	90	90																36	90	32	260	39	3							2		306		230		317		6		160		13						
[限时]冥幻之毒蝎指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	白金装备	4	2000	10	0																						36	80	39	3									129		130										13						
[限时]冥幻之腐骨护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	白金装备	3	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2		309		232		307		335		425		13						
[限时]冥幻之双环蛇扣	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	白金装备	4	99999	10	0	30	140	140	31	80	80																36	120	39	3									616		313		718		416		231		230		13						
[限时]咒缚之破甲头环	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	白金装备	4	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	3							4		337		6		233						14						
[限时]咒缚之灭雷颈符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	白金装备	3	2000	10	0																						36	99	39	3									409		509		510		502		467		503		14						
[限时]咒缚之幽幻指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	3									129		130										14						
[限时]咒缚之穿心毒腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备	2	2000	10	0	30	111	111	31	80	80																36	90	32	90	39	3							418		309		161		312		421		423		14						
[限时]咒缚之蚀骨玉佩	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	白金装备	3	99999	10	0	31	60	60																			36	120	39	3									2		312		718		420		236		233		14						
[限时]冰寒之弹指飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	白金装备	0	2000	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					451		470		455		456		449		471		15						
[限时]冰寒之玄衣束甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	白金装备	4	2000	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4		306		212		317						15						
[限时]冰寒之心箭腰扣	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	白金装备	3	2000	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418		309		212		307		6		423		15						
[限时]冰寒之玄天冰火佩	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	白金装备	1	2000	10	0																						36	80	39	2									129		130										15						
[限时]冰寒之月影靴	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	白金装备	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616		320		718		313		213		214		15						
[限时]天光之花雨漫天	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	白金装备	0	2000	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					467		446		445		448		449		471		16						
[限时]天光之定心凝神符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	白金装备	4	2000	10	0																						36	95			39	2							2		317		212		107		8				16						
[限时]天光之森罗束腰	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	白金装备	3	2000	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2		309		217		307		6		425		16						
[限时]天光之地行千里靴	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	白金装备	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616		320		718		311		339		216		16						
[限时]天光之束天缚地环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备	2	2000	10	0																						36	80			39	2							129		130										16						
[限时]森荒之飞星夺魂	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	白金装备	0	2000	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					467		446		445		448		449		471		17						
[限时]森荒之金钱连环甲	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-1.spr	22	2	3	白金装备	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					616		306		718		313		218		212		17						
[限时]森荒之魂咬腰束	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	白金装备	3	2000	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418		309		219		307		6		423		17						
[限时]森荒之玄铁镶玉佩	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	白金装备	1	2000	10	0																						36	80	39	2									129		130										17						
[限时]森荒之星陨飞履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	白金装备	2	2000	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					4		104		6		340						17						
[限时]地魄之五行连环冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	白金装备	4	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	2							4		341		8		307						18						
[限时]地魄之黑焰冲天链	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	白金装备	3	2000	10	0																						36	95	39	2									495		511		512		502		467		503		18						
[限时]地魄之霹雳雷火戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	2									129		130										18						
[限时]地魄之扣心镯	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	白金装备	2	2000	10	0	30	111	111	31	80	80																36	99	32	90	39	2							418		309		223		307		6		423		18						
[限时]地魄之风寒束腰	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	白金装备	0	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	2							616		312		718		420		163		16		18						
[限时]同仇之御龙玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备	0	99999	10	0	31	60	60																			36	120	39	6									2		307		718		420		342		237		19						
[限时]同仇之降龙丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	白金装备	4	2000	10	0	30	500	500	31	80	80																36	90	32	110	39	6							495		492		513		514		505		515		19						
[限时]同仇之潜龙腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	白金装备	2	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2		312		239		309		6		420		19						
[限时]同仇之亢龙护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	白金装备	0	2000	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2		304		240		151		8		164		19						
[限时]同仇之见龙扳指	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	4	2000	10	0																						36	80	39	6									129		130										19						
[限时]敌忾之绿玉杖	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	白金装备	2	2000	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							455		456		449		458		446		472		20						
[限时]敌忾之九袋丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	白金装备	0	99999	10	0	30	500	500	31	80	80																36	120	32	110	39	6							616		306		718		313		242		289		20						
[限时]敌忾之缠莽腰带	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	白金装备	4	2000	10	0	30	160	160	31	80	80																36	95	32	135	39	6							2		309		243		312		6		343		20						
[限时]敌忾之狗脊皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	白金装备	3	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	6							4		343		244		312						20						
[限时]敌忾之草间石戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	6									129		130										20						
[限时]魔煞之鬼谷幽冥枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	白金装备	2	2000	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					455		456		460		458		446		473		21						
[限时]魔煞之残阳映血甲	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	白金装备	0	2000	10	0	30	720	720	31	90	90																36	90	32	210	39	7							4		306		245		317						21						
[限时]魔煞之赤骥锁腰扣	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	白金装备	4	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	7							418		309		417		312		6		344		21						
[限时]魔煞之举火燎天环	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	白金装备	2	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	7							719		311		718		420		246		248		21						
[限时]魔煞之云龙吐珠戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	7									129		130										21						
[限时]魔煌之金甲盔	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	白金装备	0	2000	10	0	30	315	315	31	85	85																36	90	32	110	39	7							409		516		517		518		493		519		22						
[限时]魔煌之按出虎项圈	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	白金装备	4	2000	10	0	31	60	60																			36	95	39	7									1		60		62		95		87		107		22						
[限时]魔煌之溪谷束腰带	0	6	1	\spr\item\equip\sash\obj-sash18.spr	32	2	1	白金装备	3	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	7							2		309		254		312		6		420		22						
[限时]魔煌之血衣兽镯	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备	1	2000	10	0	30	111	111	31	80	80																36	80	32	90	39	7							129		130										22						
[限时]魔煌之熔金断日戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备	4	99999	10	0	31	80	80																			36	120	39	7									2		312		718		420		255		256		22						
[限时]魔嗜之烈焰冠冕	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	白金装备	3	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	7							2		345		250		150		6		165		23						
[限时]魔嗜之厉魔噬心带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	白金装备	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	7							2		313		718		420		150		115		23						
[限时]魔嗜之业火幽冥戒	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	白金装备	2	2000	10	0																						36	80	39	7									129		130										23						
[限时]魔嗜之血玉七杀佩	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	白金装备	0	2000	10	0																						36	90	39	7									2		309		252		311		6		420		23						
[限时]魔嗜之山海飞鸿履	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	4	2000	10	0	30	140	140	31	80	80																36	99	32	110	39	7							409		520		521		518		493		522		23						
[限时]凌岳之太极剑	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	白金装备	4	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	90	32	80	39	8							2		152		6		311		423		167		24						
[限时]凌岳之无我束带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	白金装备	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	8							2		88		718		420		263		722		24						
[限时]凌岳之怒雷法戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备	1	2000	10	0																						36	85	39	8									2		309		265		313		6		417		24						
[限时]凌岳之无极玄玉佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	白金装备	2	2000	10	0																						36	99	39	8									409		523		524		525		467		526		24						
[限时]凌岳之天地玄黄戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备	0	2000	10	0																						36	80	39	8									129		130										24						
[限时]及丰之真武剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	白金装备	2	2000	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	135	39	8							455		456		460		458		446		474		25						
[限时]及丰之三清符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	白金装备	0	2000	10	0	31	60	60																			36	95	39	8									2		84		62		95		89		107		25						
[限时]及丰之玄丝三段锦	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	白金装备	4	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	8							2		309		259		307		421		425		25						
[限时]及丰之翠玉玄黄腕	0	8	1	\spr\item\equip\bangle\obj-bangle14.spr	34	1	2	白金装备	3	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	8							2		313		718		420		348		287		25						
[限时]及丰之青松法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	1	2000	10	0																						36	80	39	8									129		130										25						
[限时]霜晶之千年寒铁	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	白金装备	2	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	9							449		456		475		458		446		476		26						
[限时]霜晶之流星赶月扣	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	白金装备	3	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	9							719		320		718		420		267		279		26						
[限时]霜晶之清风缕带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	白金装备	4	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	9							418		309		269		307		6		417		26						
