名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
[限时]雷穹之天地护符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	黄金装备，套装第二件。可在铁匠处升级为临时白金	3	999	10	0																						36	99	39	9									4	95	26	107	322	278	27	23	2		
[限时]雷穹之风雷青锦带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	黄金装备，套装第三件。可在铁匠处升级为临时白金	1	999	10	0	30	140	140	31	80	80																36	90	32	110	39	9							418	309	274	424	6	417	27	23	3		
[限时]雷穹之灵玉蕴雷腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备，套装第四件。可在铁匠处升级为临时白金	2	999	10	0	30	140	140	31	80	80																36	120	32	110	39	9							759	88	718	309	350	275	27	23	4		
[限时]雷穹之九天引雷戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备，套装第五件。可在铁匠处升级为临时白金	0	999	10	0																						36	80	39	9									129	130					27	23	5		
[限时]雾幻之北冥道冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备，套装第一件。可在铁匠处升级为临时白金	0	999	10	0	30	315	315	31	85	85																36	95	32	110	39	9							4	271	351	313	6	352	28				
[限时]雾幻之太渊真武链	0	4	1	\spr\item\equip\nick\obj-neck20.spr	26	2	1	黄金装备，套装第二件。可在铁匠处升级为临时白金	0	999	10	0	31	60	60																			36	120	39	9									2	313	718	107	276	169	28				
[限时]雾幻之束心指环	0	3	0	\spr\item\equip\ring\obj-ring05.spr	37	1	1	黄金装备，套装第三件。可在铁匠处升级为临时白金	3	999	10	0																						36	80	39	9									129	130					28				
[限时]雾幻之清影玄玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第四件。可在铁匠处升级为临时白金	1	999	10	0																						36	90	39	9									418	309	353	307	6	417	28				
[限时]雾幻之松风雪影靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第五件。可在铁匠处升级为临时白金	2	999	10	0	30	140	140	31	80	80																36	85	32	110	39	9							418	354	320	88	6	423	28				
青驹之罗汉佛珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级少林拳法套装第一件	2	99999	10	0																						39	0	36	50									950	930	971	1173	993	1290	83	24	1	1456	
青驹之罗汉僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	黄金装备，青驹级少林拳法套装第二件	1	99999	10	0	30	360	360	31	85	85																39	0	36	50									951	850	970	1013	1330	1290	83	24	2		
青驹之罗汉上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级少林拳法套装第三件	3	99999	10	0																						39	0	36	50									950	890	971	1193	1330	1290	83	24	3		
青驹之罗汉护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备，青驹级少林拳法套装第四件	4	99999	10	0	30	135	135	31	80	80																39	0	36	50									951	870	970	1013	1330	1290	83	24	4		
青驹之罗汉束腰	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备，青驹级少林拳法套装第五件	0	99999	10	0	30	160	160	31	80	80																39	0	36	50									951	910	971	1213	1330	1290	83	24	5	1457	
青驹之罗汉袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-3.spr	22	2	3	黄金装备，青驹级少林拳法套装第六件	2	99999	10	0	30	720	720	31	90	90																39	0	36	50									951	930	971	1173	1233	1290	83	24	6		
青驹之罗汉缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，青驹级少林拳法套装第七件	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										39	0	36	50									1273	850	1073	1013	1330	1290	83	24	7		
青驹之罗汉僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，青驹级少林拳法套装第八件	3	99999	10	0	30	160	160	31	80	80																39	0	36	50									951	890	971	1193	1253	1290	83	24	8		
青驹之罗汉腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，青驹级少林拳法套装第九件	4	99999	10	0																						39	0	36	50									950	870	970	1013	1330	1290	83	24	9	1458	
青驹之罗汉下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，青驹级少林拳法套装第十件	0	99999	10	0																						39	0	36	50									950	910	970	1213	1330	1290	83	24	10		
青驹之佛陀珠链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级少林棍法套装第一件	4	99999	10	0																						39	0	36	50									950	930	971	1173	993	1290	84	25	1	1459	
青驹之佛陀僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	黄金装备，青驹级少林棍法套装第二件	0	99999	10	0	30	360	360	31	85	85																39	0	36	50									951	850	970	1013	1330	1290	84	25	2		
青驹之佛陀上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级少林棍法套装第三件	2	99999	10	0																						39	0	36	50									950	890	971	1193	1330	1290	84	25	3		
青驹之佛陀护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备，青驹级少林棍法套装第四件	1	99999	10	0	30	135	135	31	80	80																39	0	36	50									951	870	970	1013	1330	1290	84	25	4		
青驹之佛陀束腰	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	黄金装备，青驹级少林棍法套装第五件	3	99999	10	0	30	160	160	31	80	80																39	0	36	50									951	910	971	1213	1330	1290	84	25	5	1460	
青驹之佛陀袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-3.spr	22	2	3	黄金装备，青驹级少林棍法套装第六件	4	99999	10	0	30	720	720	31	90	90																39	0	36	50									951	930	971	1173	1233	1290	84	25	6		
青驹之佛陀僧棍	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	黄金装备，青驹级少林棍法套装第七件	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										39	0	36	50									1036	850	1073	1013	1330	1290	84	25	7		
青驹之佛陀僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，青驹级少林棍法套装第八件	2	99999	10	0	30	160	160	31	80	80																39	0	36	50									951	890	971	1193	1253	1290	84	25	8		
青驹之佛陀腰坠	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	黄金装备，青驹级少林棍法套装第九件	1	99999	10	0																						39	0	36	50									950	870	970	1013	1330	1290	84	25	9	1461	
青驹之佛陀下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，青驹级少林棍法套装第十件	3	99999	10	0																						39	0	36	50									950	910	970	1213	1330	1290	84	25	10		
青驹之金刚项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级少林刀法套装第一件	4	99999	10	0																						39	0	36	50									950	930	971	1173	993	1290	85	26	1	1459	
青驹之金刚僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	黄金装备，青驹级少林刀法套装第二件	0	99999	10	0	30	360	360	31	85	85																39	0	36	50									951	850	970	1013	1330	1290	85	26	2		
青驹之金刚上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级少林刀法套装第三件	2	99999	10	0																						39	0	36	50									950	890	971	1193	1330	1290	85	26	3		
青驹之金刚护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，青驹级少林刀法套装第四件	1	99999	10	0	30	135	135	31	80	80																39	0	36	50									951	870	970	1013	1330	1290	85	26	4		
青驹之金刚束腰	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备，青驹级少林刀法套装第五件	3	99999	10	0	30	160	160	31	80	80																39	0	36	50									951	910	971	1213	1330	1290	85	26	5	1462	
青驹之金刚袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-3.spr	22	2	3	黄金装备，青驹级少林刀法套装第六件	4	99999	10	0	30	720	720	31	90	90																39	0	36	50									951	930	971	1173	1233	1290	85	26	6		
青驹之金刚戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，青驹级少林刀法套装第七件	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										39	0	36	50									1036	850	1073	1013	1330	1290	85	26	7		
青驹之金刚僧鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备，青驹级少林刀法套装第八件	2	99999	10	0	30	160	160	31	80	80																39	0	36	50									951	890	971	1193	1253	1290	85	26	8		
青驹之金刚腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，青驹级少林刀法套装第九件	1	99999	10	0																						39	0	36	50									950	870	970	1013	1330	1290	85	26	9	1463	
青驹之金刚下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，青驹级少林刀法套装第十件	3	99999	10	0																						39	0	36	50									950	910	970	1213	1330	1290	85	26	10		
青驹之紫金链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级天王锤法套装第一件	0	99999	10	0																						39	1	36	50									950	850	971	1013	993	1290	86	27	1	1464	
青驹之紫金盔	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	黄金装备，青驹级天王锤法套装第二件	2	99999	10	0	30	360	360	31	85	85																39	1	36	50									951	890	970	1193	1330	1290	86	27	2		
青驹之紫金上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级天王锤法套装第三件	1	99999	10	0																						39	1	36	50									950	870	971	1013	1330	1290	86	27	3		
青驹之紫金束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，青驹级天王锤法套装第四件	3	99999	10	0	30	135	135	31	80	80																39	1	36	50									951	910	970	1213	1330	1290	86	27	4		
青驹之紫金束腰	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	黄金装备，青驹级天王锤法套装第五件	4	99999	10	0	30	160	160	31	80	80																39	1	36	50									951	930	971	1173	1330	1290	86	27	5	1465	
青驹之紫金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-3.spr	23	2	3	黄金装备，青驹级天王锤法套装第六件	0	99999	10	0	30	720	720	31	90	90																39	1	36	50									951	850	971	1013	1233	1290	86	27	6		
青驹之紫金锤	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	黄金装备，青驹级天王锤法套装第七件	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										39	1	36	50									1273	890	1073	1193	1315	1290	86	27	7		
青驹之紫金靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备，青驹级天王锤法套装第八件	1	99999	10	0	30	160	160	31	80	80																39	1	36	50									951	870	971	1013	1253	1290	86	27	8		
青驹之紫金佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，青驹级天王锤法套装第九件	3	99999	10	0																						39	1	36	50									950	910	970	1213	1330	1290	86	27	9	1466	
青驹之紫金下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，青驹级天王锤法套装第十件	4	99999	10	0																						39	1	36	50									950	930	970	1173	1330	1290	86	27	10		
青驹之虎头链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级天王枪法套装第一件	0	99999	10	0																						39	1	36	50									950	850	971	1013	993	1290	87	28	1	1468	
青驹之虎头盔	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	黄金装备，青驹级天王枪法套装第二件	2	99999	10	0	30	360	360	31	85	85																39	1	36	50									951	890	970	1193	1330	1290	87	28	2		
青驹之虎头上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级天王枪法套装第三件	1	99999	10	0																						39	1	36	50									950	870	971	1013	1330	1290	87	28	3		
青驹之虎头护腕	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备，青驹级天王枪法套装第四件	3	99999	10	0	30	135	135	31	80	80																39	1	36	50									951	910	970	1213	1330	1290	87	28	4		
青驹之虎头束腰	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备，青驹级天王枪法套装第五件	4	99999	10	0	30	160	160	31	80	80																39	1	36	50									951	930	971	1173	1330	1290	87	28	5	1469	
青驹之虎头铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-3.spr	23	2	3	黄金装备，青驹级天王枪法套装第六件	0	99999	10	0	30	720	720	31	90	90																39	1	36	50									951	850	971	1013	1233	1290	87	28	6		
青驹之虎头枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备，青驹级天王枪法套装第七件	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										39	1	36	50									1273	890	1073	1193	1315	1290	87	28	7		
青驹之虎头靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，青驹级天王枪法套装第八件	1	99999	10	0	30	160	160	31	80	80																39	1	36	50									951	870	971	1013	1253	1290	87	28	8		
青驹之虎头佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，青驹级天王枪法套装第九件	3	99999	10	0																						39	1	36	50									950	910	970	1213	1330	1290	87	28	9	1470	
青驹之虎头下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，青驹级天王枪法套装第十件	4	99999	10	0																						39	1	36	50									950	930	970	1173	1330	1290	87	28	10		
青驹之大力项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级天王刀法套装第一件	0	99999	10	0																						39	1	36	50									950	850	971	1013	993	1290	88	29	1	1472	
青驹之大力盔	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	黄金装备，青驹级天王刀法套装第二件	2	99999	10	0	30	360	360	31	85	85																39	1	36	50									951	890	970	1193	1330	1290	88	29	2		
青驹之大力上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级天王刀法套装第三件	1	99999	10	0																						39	1	36	50									950	870	971	1013	1330	1290	88	29	3		
青驹之大力护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，青驹级天王刀法套装第四件	3	99999	10	0	30	135	135	31	80	80																39	1	36	50									951	910	970	1213	1330	1290	88	29	4		
青驹之大力束腰	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	黄金装备，青驹级天王刀法套装第五件	4	99999	10	0	30	160	160	31	80	80																39	1	36	50									951	930	971	1173	1330	1290	88	29	5	1473	
青驹之大力铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth13-3.spr	23	2	3	黄金装备，青驹级天王刀法套装第六件	0	99999	10	0	30	720	720	31	90	90																39	1	36	50									951	850	971	1013	1233	1290	88	29	6		
青驹之大力宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，青驹级天王刀法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										39	1	36	50									1273	890	1073	1193	1315	1290	88	29	7		
青驹之大力靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，青驹级天王刀法套装第八件	1	99999	10	0	30	160	160	31	80	80																39	1	36	50									951	870	971	1013	1253	1290	88	29	8		
青驹之大力腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，青驹级天王刀法套装第九件	3	99999	10	0																						39	1	36	50									950	910	970	1213	1330	1290	88	29	9	1474	
青驹之大力指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，青驹级天王刀法套装第十件	4	99999	10	0																						39	1	36	50									950	930	970	1173	1330	1290	88	29	10		
青驹之无色珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，青驹级峨嵋剑法套装第一件	4	99999	10	0																						39	4	36	50									950	930	971	1173	993	1290	89	30	1	1476	
青驹之无色发带	0	7	10	\spr\item\equip\cap\obj-fm-cap10-3.spr	28	2	2	黄金装备，青驹级峨嵋剑法套装第二件	0	99999	10	0	30	360	360	31	85	85																39	4	36	50									951	850	970	1013	1330	1290	89	30	2		
青驹之无色上戒	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	黄金装备，青驹级峨嵋剑法套装第三件	2	99999	10	0																						39	4	36	50									950	890	971	1193	1330	1290	89	30	3		
青驹之无色护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	黄金装备，青驹级峨嵋剑法套装第四件	1	99999	10	0	30	135	135	31	80	80																39	4	36	50									951	870	970	1013	1330	1290	89	30	4		
青驹之无色束腰	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备，青驹级峨嵋剑法套装第五件	3	99999	10	0	30	160	160	31	80	80																39	4	36	50									951	910	971	1213	1330	1290	89	30	5	1477	
青驹之无色纱衣	0	2	10	\spr\item\equip\armor\obj-fm-cloth10-3.spr	24	2	3	黄金装备，青驹级峨嵋剑法套装第六件	4	99999	10	0	30	720	720	31	90	90																39	4	36	50									951	930	971	1173	1233	1290	89	30	6		
青驹之无色长剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备，青驹级峨嵋剑法套装第七件	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										39	4	36	50									1036	850	1073	1013	1330	1290	89	30	7		
青驹之无色鞋	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，青驹级峨嵋剑法套装第八件	2	99999	10	0	30	160	160	31	80	80																39	4	36	50									951	890	971	1193	1253	1290	89	30	8		
青驹之无色香囊	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备，青驹级峨嵋剑法套装第九件	1	99999	10	0																						39	4	36	50									950	870	970	1013	1330	1290	89	30	9	1478	
青驹之无色下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，青驹级峨嵋剑法套装第十件	3	99999	10	0																						39	4	36	50									950	910	970	1213	1330	1290	89	30	10		
青驹之雪色珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，青驹级峨嵋掌法套装第一件	4	99999	10	0																						39	4	36	50									950	930	971	1173	993	1290	90	31	1	1480	
青驹之雪色发带	0	7	10	\spr\item\equip\cap\obj-fm-cap10-3.spr	28	2	2	黄金装备，青驹级峨嵋掌法套装第二件	0	99999	10	0	30	360	360	31	85	85																39	4	36	50									951	850	970	1013	1330	1290	90	31	2		
青驹之雪色上戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，青驹级峨嵋掌法套装第三件	2	99999	10	0																						39	4	36	50									950	890	971	1193	1330	1290	90	31	3		
青驹之雪色护腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，青驹级峨嵋掌法套装第四件	1	99999	10	0	30	135	135	31	80	80																39	4	36	50									951	870	970	1013	1330	1290	90	31	4		
青驹之雪色束腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备，青驹级峨嵋掌法套装第五件	3	99999	10	0	30	160	160	31	80	80																39	4	36	50									951	910	971	1213	1330	1290	90	31	5	1481	
青驹之雪色长衫	0	2	10	\spr\item\equip\armor\obj-fm-cloth10-3.spr	22	2	3	黄金装备，青驹级峨嵋掌法套装第六件	4	99999	10	0	30	720	720	31	90	90																39	4	36	50									951	930	971	1173	1233	1290	90	31	6		
青驹之雪色缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，青驹级峨嵋掌法套装第七件	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										39	4	36	50									1056	850	1113	1013	1330	1290	90	31	7		
青驹之雪色靴	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	黄金装备，青驹级峨嵋掌法套装第八件	2	99999	10	0	30	160	160	31	80	80																39	4	36	50									951	890	971	1193	1253	1290	90	31	8		
青驹之雪色香囊	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备，青驹级峨嵋掌法套装第九件	1	99999	10	0																						39	4	36	50									950	870	970	1013	1330	1290	90	31	9	1482	
青驹之雪色下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，青驹级峨嵋掌法套装第十件	3	99999	10	0																						39	4	36	50									950	910	970	1213	1330	1290	90	31	10		
青驹之素罗珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，青驹级翠烟刀法套装第一件	4	99999	10	0																						39	5	36	50									950	850	971	1013	993	1290	91	32	1	1484	
青驹之素罗簪	0	7	9	\spr\item\equip\cap\obj-fm-cap07-3.spr	28	2	2	黄金装备，青驹级翠烟刀法套装第二件	0	99999	10	0	30	360	360	31	85	85																39	5	36	50									951	890	970	1193	1330	1290	91	32	2		
青驹之素罗上戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备，青驹级翠烟刀法套装第三件	2	99999	10	0																						39	5	36	50									950	870	971	1013	1330	1290	91	32	3		
青驹之素罗袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，青驹级翠烟刀法套装第四件	1	99999	10	0	30	135	135	31	80	80																39	5	36	50									951	910	970	1213	1330	1290	91	32	4		
青驹之素罗束腰	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	黄金装备，青驹级翠烟刀法套装第五件	3	99999	10	0	30	160	160	31	80	80																39	5	36	50									951	930	971	1173	1330	1290	91	32	5	1485	
青驹之素罗衫	0	2	9	\spr\item\equip\armor\obj-fm-cloth07-3.spr	24	2	3	黄金装备，青驹级翠烟刀法套装第六件	4	99999	10	0	30	720	720	31	90	90																39	5	36	50									951	850	971	1013	1233	1290	91	32	6		
青驹之素罗刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，青驹级翠烟刀法套装第七件	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										39	5	36	50									1036	890	1073	1193	1330	1290	91	32	7		
青驹之素罗鞋	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，青驹级翠烟刀法套装第八件	2	99999	10	0	30	160	160	31	80	80																39	5	36	50									951	870	971	1013	1253	1290	91	32	8		
青驹之素罗香囊	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	黄金装备，青驹级翠烟刀法套装第九件	1	99999	10	0																						39	5	36	50									950	910	970	1213	1330	1290	91	32	9	1486	
青驹之素罗下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，青驹级翠烟刀法套装第十件	3	99999	10	0																						39	5	36	50									950	930	970	1173	1330	1290	91	32	10		
青驹之碧萝珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，青驹级翠烟双刀套装第一件	0	99999	10	0																						39	5	36	50									950	850	971	1013	993	1290	92	33	1	1488	
青驹之碧萝簪	0	7	9	\spr\item\equip\cap\obj-fm-cap07-3.spr	28	2	2	黄金装备，青驹级翠烟双刀套装第二件	2	99999	10	0	30	360	360	31	85	85																39	5	36	50									951	890	970	1193	1330	1290	92	33	2		
青驹之碧萝上戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，青驹级翠烟双刀套装第三件	1	99999	10	0																						39	5	36	50									950	870	971	1013	1330	1290	92	33	3		
青驹之碧萝袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，青驹级翠烟双刀套装第四件	3	99999	10	0	30	135	135	31	80	80																39	5	36	50									951	910	970	1213	1330	1290	92	33	4	1489	
青驹之碧萝腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备，青驹级翠烟双刀套装第五件	4	99999	10	0	30	160	160	31	80	80																39	5	36	50									951	930	971	1173	1330	1290	92	33	5		
青驹之碧萝衫	0	2	9	\spr\item\equip\armor\obj-fm-cloth07-3.spr	24	2	3	黄金装备，青驹级翠烟双刀套装第六件	0	99999	10	0	30	720	720	31	90	90																39	5	36	50									951	850	971	1013	1233	1290	92	33	6		
青驹之碧萝鸳鸯刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	黄金装备，青驹级翠烟双刀套装第七件	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										39	5	36	50									1056	890	1113	1193	1330	1290	92	33	7		
青驹之碧萝靴	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，青驹级翠烟双刀套装第八件	1	99999	10	0	30	160	160	31	80	80																39	5	36	50									951	870	971	1013	1253	1290	92	33	8		
青驹之碧萝香囊	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	黄金装备，青驹级翠烟双刀套装第九件	3	99999	10	0																						39	5	36	50									950	910	970	1213	1330	1290	92	33	9	1490	
青驹之碧萝下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，青驹级翠烟双刀套装第十件	4	99999	10	0																						39	5	36	50									950	930	970	1173	1330	1290	92	33	10		
青驹之斑斓珠链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，青驹级五毒掌法套装第一件	0	99999	10	0																						39	3	36	50									950	850	971	1013	993	1290	93	34	1	1492	
青驹之斑斓发带	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	黄金装备，青驹级五毒掌法套装第二件	2	99999	10	0	30	360	360	31	85	85																39	3	36	50									951	890	970	1193	1330	1290	93	34	2		
青驹之斑斓上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，青驹级五毒掌法套装第三件	1	99999	10	0																						39	3	36	50									950	870	971	1013	1330	1290	93	34	3		
青驹之斑斓护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备，青驹级五毒掌法套装第四件	3	99999	10	0	30	135	135	31	80	80																39	3	36	50									951	910	970	1213	1330	1290	93	34	4		
青驹之斑斓腰带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	黄金装备，青驹级五毒掌法套装第五件	4	99999	10	0	30	160	160	31	80	80																39	3	36	50									951	930	971	1173	1330	1290	93	34	5	1493	
青驹之斑斓秘装	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	黄金装备，青驹级五毒掌法套装第六件	0	99999	10	0	30	720	720	31	90	90																39	3	36	50									951	850	971	1013	1233	1290	93	34	6		
