名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)
黄金图谱-地魄之五行连环冠	6	1	324	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之黑焰冲天链	6	1	325	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之霹雳雷火戒	6	1	326	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之扣心镯	6	1	327	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-地魄之风寒束腰	6	1	328	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之御龙玉佩	6	1	329	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之降龙丐衣	6	1	330	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之潜龙腰带	6	1	331	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之亢龙护手	6	1	332	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-同仇之见龙扳指	6	1	333	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之绿玉杖	6	1	334	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之九袋丐衣	6	1	335	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之缠莽腰带	6	1	336	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之狗脊皮护腕	6	1	337	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-敌忾之草间石戒	6	1	338	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之鬼谷幽冥枪	6	1	339	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之残阳映血甲	6	1	340	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之赤骥锁腰扣	6	1	341	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之举火燎天环	6	1	342	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煞之云龙吐珠戒	6	1	343	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之烈焰冠冕	6	1	344	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之厉魔噬心带	6	1	345	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之业火幽冥戒	6	1	346	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之血玉七杀佩	6	1	347	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔嗜之山海飞鸿履	6	1	348	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之金甲盔	6	1	349	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之按出虎项圈	6	1	350	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之溪谷束腰带	6	1	351	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之血衣兽镯	6	1	352	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-魔煌之熔金断日戒	6	1	353	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-凌岳之太极剑	6	1	354	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-凌岳之无我束带	6	1	355	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-凌岳之怒雷法戒	6	1	356	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-凌岳之无极玄玉佩	6	1	357	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-凌岳之天地玄黄戒	6	1	358	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-及丰之真武剑	6	1	359	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-及丰之三清符	6	1	360	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-及丰之玄丝三段锦	6	1	361	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-及丰之翠玉玄黄腕	6	1	362	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-及丰之青松法戒	6	1	363	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-霜晶之千年寒铁	6	1	364	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-霜晶之流星赶月扣	6	1	365	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-霜晶之清风缕带	6	1	366	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-霜晶之天清冰晶手	6	1	367	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-霜晶之风暴指环	6	1	368	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雷穹之寒松冰柏冠	6	1	369	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雷穹之天地护符	6	1	370	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雷穹之风雷青锦带	6	1	371	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雷穹之灵玉蕴雷	6	1	372	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雷穹之九天引雷戒	6	1	373	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雾幻之北冥道冠	6	1	374	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雾幻之太渊真武链	6	1	375	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雾幻之束心指环	6	1	376	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雾幻之清影玄玉佩	6	1	377	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-雾幻之松风雪影靴	6	1	378	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-洞察之白金雕龙戒	6	1	379	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-洞察之白玉乾坤佩	6	1	380	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-洞察之白金锈凤戒	6	1	381	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-洞察之翡翠玉项圈	6	1	382	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-定国之青纱长衫	6	1	383	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-定国之钨砂发冠	6	1	384	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-定国之赤绢软靴	6	1	385	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-定国之紫藤护腕	6	1	386	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-定国之银蚕腰带	6	1	387	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-安邦之冰晶石项链	6	1	388	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-安邦之菊花石指环	6	1	389	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-安邦之田黄石玉佩	6	1	390	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-安邦之鸡血石戒指	6	1	391	\spr\item\script\item_huangjintupu.spr	38	1	1	黄金图谱		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
鲜肉	6	1	392	\spr\item\questkey\taskobj106.spr	364	1	1	新鲜的肉，可以拿去武师那里换取银子。		20	1	0	\script\item\collectmeat.lua	0	1	1	0	0
穿心令	6	1	393	\spr\item\songjin\token.spr	385	1	1	宋金战场专用，埋下一个普攻陷阱。		100	1	0	\script\item\battles\trap_token.lua	0	1	1	0	1
毒刺令	6	1	394	\spr\item\songjin\token.spr	385	1	1	宋金战场专用，埋下一个毒攻陷阱。		100	1	0	\script\item\battles\trap_token.lua	0	1	1	0	1
寒冰令	6	1	395	\spr\item\songjin\token.spr	385	1	1	宋金战场专用，埋下一个冰攻陷阱。		100	1	0	\script\item\battles\trap_token.lua	0	1	1	0	1
地火令	6	1	396	\spr\item\songjin\token.spr	385	1	1	宋金战场专用，埋下一个火攻陷阱。		100	1	0	\script\item\battles\trap_token.lua	0	1	1	0	1
雷击令	6	1	397	\spr\item\songjin\token.spr	385	1	1	宋金战场专用，埋下一个雷攻陷阱。		100	1	0	\script\item\battles\trap_token.lua	0	1	1	0	1
神秘矿石	6	1	398	\spr\item\christmas\perfect.spr	425	1	1	<color=yellow>神秘的矿石，能极大提高提取蓝色属性、镶嵌紫色装备、融合黄金装备的效果。		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
杀手令	6	1	399	\spr\item\questkey\006.spr	336	1	1	完成Boss杀手任务获得的杀手令牌<enter>5个相同等级的杀手令可以合成1柄杀手锏		100	1	0	\script\item\killer_token.lua	0	1	1	1	0
杀手锏	6	1	400	\spr\item\questkey\taskobj033.spr	9	1	2	可以凭杀手锏到七大城市聂弑尘处参加杀手的试炼任务。		100	1	0	\script\item\killer_sword.lua	0	1	1	1	0
师徒卡	6	1	401	\spr\item\questkey\taskobj091.spr	38	1	1	80级以下角色用来拜师，80级以上角色用来收徒的卡片。		100	1	0	\script\item\card\card_shitu.lua	0	1	1	0	0
神秘大红包	6	1	402	\spr\item\obj_item_jixiang.spr	347	1	1	一个神秘的礼包，打开后随机得到一个宝物。		100	1	0	\script\item\shenmi_hongbao.lua	0	1	1	0	0
玄晶升级卷轴	6	1	403	\spr\item\questkey\taskobj076.spr	368	2	1	右键点击使用，可同时将最多50个相同等级的玄晶以一定比例提升为高一等级的玄晶。		200000	1	1	\script\item\hecheng\ore.lua	0	1	1	0	0
鸡年神秘礼物升级卷轴	6	1	404	\spr\item\questkey\taskobj076.spr	368	2	1	右键点击使用，可以将最多20个任意等级的鸡年神秘礼物合成为1个新的鸡年神秘礼物。		500	1	1	\script\item\hecheng\gift.lua	0	1	1	0	0
神秘矿石兑换卷轴	6	1	405	\spr\item\questkey\taskobj076.spr	368	2	1	右键点击使用，可以用10个10级鸡年神秘礼物（神秘潜质壹千）兑换一个神秘矿石。		500	1	1	\script\item\hecheng\shenmi_ore.lua	0	1	1	0	0
首饰合成卷轴	6	1	406	\spr\item\questkey\taskobj076.spr	368	2	1	右键点击使用，可以用一件特定蓝色装备合成一件相对应的首饰。		500	1	1	\script\item\hecheng\shoushihecheng.lua	0	1	1	0	0
武林大会门派单项赛入场券-少林	6	1	407	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加少林单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-天王	6	1	408	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加天王单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-唐门	6	1	409	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加唐门单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-五毒	6	1	410	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加五毒单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-峨嵋	6	1	411	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加峨嵋单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-翠烟	6	1	412	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加翠烟单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-丐帮	6	1	413	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加丐帮单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-天忍	6	1	414	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加天忍单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-武当	6	1	415	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加武当单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会门派单项赛入场券-昆仑	6	1	416	\spr\item\questkey\obj_item_lection02.spr	374	1	1	凭此可以在各个城市的武林大会官员处报名参加昆仑单项赛		100	1	0	\script\item\biwu_single.lua	0	1	1	0	0
武林大会双人赛入场券	6	1	417	\spr\item\songjin\rescript.spr	383	1	1	凭此可以在各个城市的武林大会官员处报名参加双人赛		100	1	0	\script\item\biwu_double.lua	0	1	1	0	0
武林大会五行团队赛入场券	6	1	418	\spr\item\questkey\taskobj021.spr	41	1	1	凭此可以在各个城市的武林大会官员处报名参加五行团队赛		100	1	0	\script\item\biwu_five.lua	0	1	1	0	0
武林大会十全团队赛入场券	6	1	419	\spr\item\questkey\taskobj023.spr	41	1	1	凭此可以在各个城市的武林大会官员处报名参加十全团队赛		100	1	0	\script\item\biwu_ten.lua	0	1	1	0	0
武林大会16人团队赛入场券	6	1	420	\spr\item\questkey\taskobj126.spr	41	1	1	凭此可以在各个城市的武林大会官员处报名参加16人团队赛		100	1	0	\script\item\biwu_sixteen.lua	0	1	1	0	0
武林大会观众卡	6	1	421	\spr\item\questkey\card_all.spr	41	1	1	使用观众入场券，可以观看武林大会比赛		100	1	0	\script\item\biwu_audience.lua	0	1	1	0	0
小龙舟	6	1	422	\spr\item\questkey\dragonboat.spr	41	2	1	一条小龙舟，凭此可以报名参加初级赛龙舟或者找礼官换取豆沙粽子		100	1	0	\script\item\dragonboat.lua	0	1	1	0	0
传统龙舟	6	1	423	\spr\item\questkey\dragonboat.spr	41	2	1	一条传统龙舟，凭此可以报名参加高级赛龙舟或者找礼官换取香菇粽子		100	1	0	\script\item\dragonboat.lua	0	1	1	0	0
马头龙舟	6	1	424	\spr\item\questkey\dragonboat.spr	41	2	1	一条马头龙舟，凭此找礼官换取蛋黄粽子		100	1	0	\script\item\dragonboat.lua	0	1	1	0	0
鸟头龙舟	6	1	425	\spr\item\questkey\dragonboat.spr	41	2	1	一条鸟头龙舟，凭此找礼官随机换取仙草露、水晶、宝石、天山玉露一个		100	1	0	\script\item\dragonboat.lua	0	1	1	0	0
兽形龙舟	6	1	426	\spr\item\questkey\dragonboat.spr	41	2	1	一条兽形龙舟，凭此找礼官随机换取神秘矿石、5～8级玄晶矿石一颗		100	1	0	\script\item\dragonboat.lua	0	1	1	0	0
巨型龙舟	6	1	427	\spr\item\questkey\dragonboat.spr	41	2	1	一条巨型龙舟，凭此找礼官随机换取定国安邦、侠骨柔情黄金装备一件		100	1	0	\script\item\dragonboat.lua	0	1	1	0	0
龙头	6	1	428	\spr\item\questkey\dragonhead.spr	428	1	1	龙舟的头部，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
龙身	6	1	429	\spr\item\questkey\dragonbody.spr	428	1	1	龙舟的主躯干，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
龙骨	6	1	430	\spr\item\questkey\keel.spr	428	1	1	龙舟的脊梁、骨架，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
龙尾	6	1	431	\spr\item\questkey\dragontail.spr	428	1	1	龙舟的尾部，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
橹桨	6	1	432	\spr\item\questkey\oar.spr	428	1	1	龙舟的桨，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
舵	6	1	433	\spr\item\questkey\helm.spr	428	1	1	龙舟的舵，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
鼓	6	1	434	\spr\item\songjin\wardrum.spr	428	1	1	龙舟的鼓，龙舟的制造材料之一<enter>右键使用可以查看龙舟制作公式		100	1	0	\script\item\dragonboatstuff.lua	0	1	1	0	0
豆沙粽子	6	1	435	\spr\item\questkey\taskobj404.spr	366	1	1	吃后可以随机增加1w、2w或5w经验<enter>每在线1小时只能吃1个，吃满2000w点经验的粽子就不能再吃了<enter>吃粽子升级后，经验归零不累加		100	1	0	\script\item\dousha.lua	0	1	1	0	0
香菇粽子	6	1	436	\spr\item\questkey\taskobj404.spr	366	1	1	吃后可以随机增加5w、10w或25w经验<enter>每在线1小时只能吃1个，吃满2000w点经验的粽子就不能再吃了<enter>吃粽子升级后，经验归零不累加		100	1	0	\script\item\xianggu.lua	0	1	1	0	0
蛋黄粽子	6	1	437	\spr\item\questkey\taskobj404.spr	366	1	1	吃后可以随机增加15w、30w或75w经验<enter>每在线1小时只能吃1个，吃满2000w点经验的粽子就不能再吃了<enter>吃粽子升级后，经验归零不累加		100	1	0	\script\item\yolk.lua	0	1	1	0	0
回城符（无限使用）	6	1	438	\spr\item\special\Obj_TownPortal.spr	38	1	1	缩地大法，让你瞬间回到城镇。（可无限次使用）		100	1	0	\script\item\townportal_ever.lua	0	1	1	0	1
心心相映符（无限使用）	6	1	439	\spr\item\obj_item_heart.spr	346	1	1	已婚人士使用此符可以立刻传送到自己的另一半身旁。（可无限次使用）		100	1	0	\script\item\heartforever.lua	0	1	1	0	1
山河社稷图残片（100张）	6	1	440	\spr\item\questkey\obj_item_shanhe.spr	351	1	1	右键点击使用，使用者增加山河社稷土残片100张。		100	1	0	\script\item\shanhe-canpian.lua	0	1	1	0	0
黄金师徒卡	6	1	441	\spr\item\questkey\taskobj091.spr	38	1	1	80级以下角色用来拜师，80级以上角色用来收徒的卡片<enter><color=yellow>黄金师徒卡<color>除具普通师徒卡功能外<enter>徒弟使用还可令师徒都获得额外的奖励		100	1	0	\script\item\card\card_shitu.lua	0	1	1	0	0
武林大会比赛查询卡	6	1	442	\spr\item\questkey\obj_item_lection.spr	341	1	1	凭此卡可以查询武林大会总决赛中，选手自身的比赛信息，以及选手所在区服和其他区服的各种比赛信息。		100	1	0	\script\missions\finalmatch\npc\card_help.lua	0	1	1	0	0
武林大会观众券	6	1	443	\spr\item\questkey\card_all.spr	41	1	1	右键点击使用武林大会观众券，自动获得武林大会总决赛观众名额，可以成功登陆武林大会决赛服务器。		100	1	0	\script\item\biwu_watchcard.lua	0	1	1	0	0
爱恋玫瑰花	6	1	444	\spr\item\questkey\flower.spr	330	1	1	情人节的甜蜜礼物，佩戴后可获得1小时幸运增加30点。		100	1	0	\script\item\loverose.lua	0	1	1	0	0
浓情巧克力	6	1	445	\spr\item\obj_item_gifts.spr	345	1	1	情人节的甜蜜礼物，品尝后可随机获得经验奖励，同时随机获得1～6级玄晶矿石一颗。		100	1	0	\script\item\chocolate.lua	0	1	1	0	0
月下老人	6	1	446	\spr\item\obj_item_gifts.spr	429	1	1	怪物死后随机出现的obj，点击后获得浓清巧克力。		100	1	0	\script\item\matchmaker.lua	0	1	1	0	0
同伴修练任务卷轴1	6	1	447	\spr\item\script\item_huangjintupu.spr	38	1	1	去凤翔城外杀刺猬50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴2	6	1	448	\spr\item\script\item_huangjintupu.spr	38	1	1	去凤翔城外杀刺猬100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴3	6	1	449	\spr\item\script\item_huangjintupu.spr	38	1	1	去凤翔城外杀刺猬150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴4	6	1	450	\spr\item\script\item_huangjintupu.spr	38	1	1	去华山杀刺猬50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴5	6	1	451	\spr\item\script\item_huangjintupu.spr	38	1	1	去华山杀刺猬100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴6	6	1	452	\spr\item\script\item_huangjintupu.spr	38	1	1	去华山杀刺猬150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴7	6	1	453	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西北杀火狼50只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴8	6	1	454	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西北杀火狼100只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴9	6	1	455	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西北杀火狼150只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴10	6	1	456	\spr\item\script\item_huangjintupu.spr	38	1	1	去金光洞迷宫杀草寇甲50个，同伴等级要求不低于25级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴11	6	1	457	\spr\item\script\item_huangjintupu.spr	38	1	1	去金光洞迷宫杀草寇甲100个，同伴等级要求不低于25级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴12	6	1	458	\spr\item\script\item_huangjintupu.spr	38	1	1	去金光洞迷宫杀草寇甲150个，同伴等级要求不低于25级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴13	6	1	459	\spr\item\script\item_huangjintupu.spr	38	1	1	去经皇洞迷宫杀土匪甲50个，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴14	6	1	460	\spr\item\script\item_huangjintupu.spr	38	1	1	去经皇洞迷宫杀土匪甲100个，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
同伴修练任务卷轴15	6	1	461	\spr\item\script\item_huangjintupu.spr	38	1	1	去经皇洞迷宫杀土匪甲150个，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
