×°±¸Ãû³Æ	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	¿ÕÊÖ×ßÂ·	ÆÕÍ¨×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	¿ÕÊÖÅÜ²½	ÆÕÍ¨ÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
µ¥ÊÖµ¶-À×	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖ½£-Ë®	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖ½£-À×	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖÀ×½£-À×	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«´¸-½ð	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«µ¶-Ë®	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖµ¶-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖ½£-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖ»ðµ¶-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖÀ×½£-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
³¤¹÷-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
³¤Ç¹-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«´¸-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«µ¶-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«²øÊÖ-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«×¦-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
¿ÕÊÖ-·¢¹â1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖµ¶-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖ½£-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖ»ðµ¶-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
µ¥ÊÖÀ×½£-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
³¤¹÷-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
³¤Ç¹-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«´¸-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«µ¶-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«²øÊÖ-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ë«×¦-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
¿ÕÊÖ-·¢¹â2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Minh Ph­îng Quy Y TriÒn Thñ																																																
Minh Ph­îng Cùc L¹c T¨ng C«n																																																
Minh Ph­îng H­ Kh«ng Giíi §ao																																																
Minh Ph­îng ChiÕn ThÇn Chïy																																																
Minh Ph­îng Anh Hïng Th­¬ng																																																
Minh Ph­îng B¸ V­¬ng B¶o §ao																																																
Minh Ph­îng T¶n Hoa Tr­êng KiÕm																																																
Minh Ph­îng L¨ng Tiªu TriÒn Thñ																																																
Minh Ph­îng V¹n Hoa B¶o §ao																																																
Minh Ph­îng Ph­¬ng Hoa Song §ao																																																
Minh Ph­îng Diªm La TriÒn Thñ																																																
Minh Ph­îng Minh V­¬ng B¶o §ao																																																
Minh Ph­îng LiÔm DiÖm Phi §ao																																																
Minh Ph­îng Thiªn Hoang Tô TiÔn																																																
Minh Ph­îng Thiªn Kiªu Phi Tiªu																																																
Minh Ph­îng ThiÕt HuyÕt TriÒn Thñ																																																
Minh Ph­îng Quang Phôc Tr­îng																																																
Minh Ph­îng Dôc NhËt Th­¬ng																																																
Minh Ph­îng SÝ §Þa §ao																																																
Minh Ph­îng Kh«ng Minh KiÕm																																																
Minh Ph­îng Bång Lai KiÕm																																																
Minh Ph­îng Cöu Thiªn Hµn ThiÕt																																																
Minh Ph­îng Tham Th­¬ng KiÕm																																																
Tö M·ng KÕt L« KiÕm																																																
B¹ch Hæ Tö CÇm KiÕm																																																
Minh Ph­îng Tr¹m Vò KiÕm																																																
§»ng Long Bå §Ò TriÒn Thñ																																																
§»ng Long Nh­ Lai Ph¸p C«n 																																																
§»ng Long V« L­îng Giíi §ao																																																
§»ng Long Khai Thiªn ThÇn Chïy																																																
§»ng Long TÞch §Þa Th­¬ng																																																
§»ng Long Hçn Nguyªn B¶o §ao																																																
ÌÚÁúÖ®·ÉÌì³¤½£																																																
§»ng Long B¨ng Ph¸ch TriÒn Thñ																																																
§»ng Long Khuynh Thµnh B¶o §ao																																																
§»ng Long B¸ch H­¬ng Uyªn ¦¬ng §ao																																																
§»ng Long V¹n §éc TriÒn Thñ																																																
§»ng Long V¹n Linh HuyÕt NhÉn																																																
§»ng Long Hçn §én Phi §ao																																																
§»ng Long ThÝ ThÇn Tô TiÔn																																																
§»ng Long Phong B¹o Phi Tiªu																																																
§»ng Long Hµo T×nh TriÒn Thñ																																																
§»ng Long Tô NghÜa Tr­îng																																																
§»ng Long Viªm Hoµng Th­¬ng																																																
§»ng Long PhÇn Thiªn B¶o §ao																																																
§»ng Long Ngäc H­ ThÇn KiÕm																																																
§»ng Long HuyÒn Thiªn ThÇn KiÕm																																																
§»ng Long Ph­¬ng Nguyªn B¶o §ao																																																
§»ng Long Th­¬ng Khung ThÇn KiÕm																																																
§»ng Long Tè Du KiÕm																																																
§»ng Long Y Thñy KiÕm																																																
Tinh S­¬ng-Khæ §Õ TriÒn Thñ																																																
Tinh S­¬ng-DiÖt §Õ Ph¸p C«n																																																
Tinh S­¬ng-§¹o §Õ Giíi §ao																																																
Tinh S­¬ng-Th«n Tµ ThÇn Chïy																																																
Tinh S­¬ng-L­u Kim Th­¬ng																																																
Tinh S­¬ng-L÷ S­¬ng B¶o §ao																																																
Tinh S­¬ng-L¹c Anh B¶o KiÕm																																																
Tinh S­¬ng-PhÊt HuyÖt TriÒn Thñ																																																
Tinh S­¬ng-Thiªn H­¬ng B¶o §ao																																																
Tinh S­¬ng-Th¸i VËn Uyªn ¦¬ng §ao																																																
Tinh S­¬ng-ThiÒm Phi TriÒn Thñ																																																
Tinh S­¬ng-Phô Cèt HuyÕt NhËn																																																
Tinh S­¬ng-L·nh HuyÕt Phi §ao																																																
Tinh S­¬ng-Né Liªn Tô TiÔn																																																
Tinh S­¬ng-Truy MÖnh Phi Tiªu																																																
Tinh S­¬ng-M·nh Long TriÒn Thñ																																																
Tinh S­¬ng-Ph¸ Lç Tr­îng																																																
Tinh S­¬ng-LuyÖn NhËt Th­¬ng																																																
Tinh S­¬ng-Khèc Viªm B¶o §ao																																																
Tinh S­¬ng-ChÊn S¬n ThÇn KiÕm																																																
Tinh S­¬ng-Qu©n Uy ThÇn KiÕm																																																
Tinh S­¬ng-Minh L«i B¶o §ao																																																
Tinh S­¬ng-Oanh Minh ThÇn KiÕm																																																
Tinh S­¬ng-H¹o Thiªn KiÕm																																																
Tinh S­¬ng-Thanh H­ KiÕm																																																
NguyÖt KhuyÕt Träng KiÕp TriÒn Thñ																																																
NguyÖt KhuyÕt S¸t KiÕp Ph¸p C«n																																																
NguyÖt KhuyÕt Ph¸ KiÕp Giíi §ao																																																
NguyÖt KhuyÕt PhÊn Vò ThÇn Chïy																																																
NguyÖt KhuyÕt Phong Yªn  Th­¬ng																																																
NguyÖt KhuyÕt Tr­êng Kh«ng B¶o §ao																																																
NguyÖt KhuyÕt Kinh Hång B¶o KiÕm																																																
NguyÖt KhuyÕt HiÓu NguyÖt TriÒn Thñ																																																
NguyÖt KhuyÕt T­¬ng T­ B¶o §ao																																																
NguyÖt KhuyÕt Phong NguyÖt Uyªn ¦¬ng §ao																																																
NguyÖt KhuyÕt B¸ch §éc TriÒn Thñ																																																
NguyÖt KhuyÕt U Minh HuyÕt NhÉn																																																
NguyÖt KhuyÕt Th«i MÖnh Phi §ao																																																
NguyÖt KhuyÕt BÝ §éc Tô TiÔn																																																
NguyÖt KhuyÕt M¹n §å Phi Tiªu																																																
NguyÖt KhuyÕt XÝch Long TriÒn Thñ																																																
NguyÖt KhuyÕt Hµo KiÖt Tr­îng																																																
NguyÖt KhuyÕt Tham Lang Th­¬ng																																																
NguyÖt KhuyÕt LiÖt D­¬ng B¶o §ao																																																
NguyÖt KhuyÕt Linh §éng ThÇn KiÕm																																																
NguyÖt KhuyÕt ¶o ¶nh ThÇn KiÕm																																																
NguyÖt KhuyÕt L¨ng Phong B¶o §ao																																																
NguyÖt KhuyÕt Méc Vò ThÇn KiÕm																																																
NguyÖt KhuyÕt DËt ¶nh KiÕm																																																
NguyÖt KhuyÕt Thanh Phong KiÕm																																																
DiÖu D­¬ng Träng KiÕp TriÒn Thñ																																																
DiÖu D­¬ng S¸t KiÕp Ph¸p C«n																																																
DiÖu D­¬ng Ph¸ KiÕp Giíi §ao	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng PhÊn Vò ThÇn Chïy																																																
DiÖu D­¬ng Phong Yªn Th­¬ng																																																
DiÖu D­¬ng Tr­êng Kh«ng B¶o §ao																																																
DiÖu D­¬ng Kinh Hång B¶o KiÕm																																																
DiÖu D­¬ng HiÓu NguyÖt TriÒn Thñ																																																
DiÖu D­¬ng T­¬ng T­ B¶o §ao																																																
DiÖu D­¬ng Phong NguyÖt Uyªn ¦¬ng §ao																																																
DiÖu D­¬ng B¸ch §éc TriÒn Thñ																																																
DiÖu D­¬ng U Minh HuyÕt NhÉn																																																
DiÖu D­¬ng Th«i MÖnh Phi §ao																																																
DiÖu D­¬ng BÝ §éc Tô TiÔn																																																
DiÖu D­¬ng M¹n §å Phi Tiªu																																																
DiÖu D­¬ng XÝch Long TriÒn Thñ																																																
DiÖu D­¬ng Hµo KiÖt Tr­îng																																																
DiÖu D­¬ng Tham Lang Th­¬ng																																																
DiÖu D­¬ng LiÖt D­¬ng B¶o §ao																																																
DiÖu D­¬ng Linh §éng ThÇn KiÕm																																																
DiÖu D­¬ng ¶o ¶nh ThÇn KiÕm																																																
DiÖu D­¬ng L¨ng Phong B¶o §ao																																																
DiÖu D­¬ng Méc Vò ThÇn KiÕm																																																
DiÖu D­¬ng DËt ¶nh KiÕm																																																
DiÖu D­¬ng Thanh Phong KiÕm																																																
null																																																
