前后缀名称	是否前缀	五行属性要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明	近程武器	暗器	盔甲	戒指	项链	靴子	腰带	头盔	护腕	腰坠	马
温暖	0	3	3	106	20	20	-1	-1	0	0	降低冰冻时间	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
热心	0	3	6	106	30	30	-1	-1	0	0	降低冰冻时间	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
火热	0	3	10	106	40	40	-1	-1	0	0	不可冻结	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
敏捷	0	3	1	98	1	2	-1	-1	0	0	加敏捷	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
灵巧	0	3	2	98	3	4	-1	-1	0	0	加敏捷	0	0	90000	90000	90000	90000	90000	90000	90000	90000	0
机敏	0	3	3	98	5	6	-1	-1	0	0	加敏捷	0	0	80000	80000	80000	80000	80000	80000	80000	80000	0
熟练	0	3	4	98	7	8	-1	-1	0	0	加敏捷	0	0	70000	70000	70000	70000	70000	70000	70000	70000	0
巧妙	0	3	5	98	9	10	-1	-1	0	0	加敏捷	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
精确	0	3	6	98	11	12	-1	-1	0	0	加敏捷	0	0	50000	50000	50000	50000	50000	50000	50000	50000	0
正确	0	3	7	98	13	14	-1	-1	0	0	加敏捷	0	0	40000	40000	40000	40000	40000	40000	40000	40000	0
清风	0	3	8	98	15	16	-1	-1	0	0	加敏捷	0	0	30000	30000	30000	30000	30000	30000	30000	30000	0
暴风	0	3	9	98	17	18	-1	-1	0	0	加敏捷	0	0	20000	20000	20000	20000	20000	20000	20000	20000	0
疾电	0	3	10	98	19	20	-1	-1	0	0	加敏捷	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0
土精	0	4	3	134	2	6	-1	-1	0	0	电吸收	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
土魄	0	4	6	134	6	10	-1	-1	0	0	电吸收	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
土神	0	4	10	134	10	15	-1	-1	0	0	电吸收	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
羚麝	0	4	4	108	20	20	-1	-1	0	0	降低中毒时间	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
犀角	0	4	6	108	30	30	-1	-1	0	0	降低中毒时间	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
朱蛤	0	4	10	108	40	40	-1	-1	0	0	降低中毒时间	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
金意	0	0	2	140	1	1	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金性	0	0	4	140	2	2	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金韵	0	0	6	140	3	3	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金气	0	0	8	140	4	4	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
金心	0	0	10	140	5	5	-1	-1	0	0	加金系技能	0	0	0	0	0	0	0	0	0	0	0
水意	0	2	2	142	1	1	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水性	0	2	4	142	2	2	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水韵	0	2	6	142	3	3	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水气	0	2	8	142	4	4	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
水心	0	2	10	142	5	5	-1	-1	0	0	加水系技能	0	0	0	0	0	0	0	0	0	0	0
木意	0	1	2	141	1	1	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木性	0	1	4	141	2	2	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木韵	0	1	6	141	3	3	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木气	0	1	8	141	4	4	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
木心	0	1	10	141	5	5	-1	-1	0	0	加木系技能	0	0	0	0	0	0	0	0	0	0	0
火意	0	3	2	143	1	1	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火性	0	3	4	143	2	2	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火韵	0	3	6	143	3	3	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火气	0	3	8	143	4	4	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
火心	0	3	10	143	5	5	-1	-1	0	0	加火系技能	0	0	0	0	0	0	0	0	0	0	0
土意	0	4	2	144	1	1	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土性	0	4	4	144	2	2	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土韵	0	4	6	144	3	3	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土气	0	4	8	144	4	4	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
土心	0	4	10	144	5	5	-1	-1	0	0	加土系技能	0	0	0	0	0	0	0	0	0	0	0
金魔	0	0	1	168	1	20	-1	-1	0	0	加金系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
金魔	0	0	2	168	20	40	-1	-1	0	0	加金系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
金魔	0	0	3	168	40	60	-1	-1	0	0	加金系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
金魔	0	0	4	168	60	80	-1	-1	0	0	加金系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
金魔	0	0	5	168	80	100	-1	-1	0	0	加金系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
金魔	0	0	6	168	100	120	-1	-1	0	0	加金系技能伤害	1800	1800	0	0	0	0	0	0	0	0	0
金魔	0	0	7	168	120	140	-1	-1	0	0	加金系技能伤害	1600	1600	0	0	0	0	0	0	0	0	0
金魔	0	0	8	168	140	160	-1	-1	0	0	加金系技能伤害	1400	1400	0	0	0	0	0	0	0	0	0
金魔	0	0	9	168	160	180	-1	-1	0	0	加金系技能伤害	1200	1200	0	0	0	0	0	0	0	0	0
金魔	0	0	10	168	180	200	-1	-1	0	0	加金系技能伤害	1000	1000	0	0	0	0	0	0	0	0	0
水魔	0	2	1	169	1	20	-1	-1	0	0	加水系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
水魔	0	2	2	169	20	40	-1	-1	0	0	加水系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
水魔	0	2	3	169	40	60	-1	-1	0	0	加水系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
水魔	0	2	4	169	60	80	-1	-1	0	0	加水系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
水魔	0	2	5	169	80	100	-1	-1	0	0	加水系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
水魔	0	2	6	169	100	120	-1	-1	0	0	加水系技能伤害	1800	1800	0	0	0	0	0	0	0	0	0
水魔	0	2	7	169	120	140	-1	-1	0	0	加水系技能伤害	1600	1600	0	0	0	0	0	0	0	0	0
水魔	0	2	8	169	140	160	-1	-1	0	0	加水系技能伤害	1400	1400	0	0	0	0	0	0	0	0	0
水魔	0	2	9	169	160	180	-1	-1	0	0	加水系技能伤害	1200	1200	0	0	0	0	0	0	0	0	0
水魔	0	2	10	169	180	200	-1	-1	0	0	加水系技能伤害	1000	1000	0	0	0	0	0	0	0	0	0
火魔	0	3	1	170	1	20	-1	-1	0	0	加火系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
火魔	0	3	2	170	20	40	-1	-1	0	0	加火系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
火魔	0	3	3	170	40	60	-1	-1	0	0	加火系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
火魔	0	3	4	170	60	80	-1	-1	0	0	加火系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
火魔	0	3	5	170	80	100	-1	-1	0	0	加火系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
火魔	0	3	6	170	100	120	-1	-1	0	0	加火系技能伤害	1800	1800	0	0	0	0	0	0	0	0	0
火魔	0	3	7	170	120	140	-1	-1	0	0	加火系技能伤害	1600	1600	0	0	0	0	0	0	0	0	0
火魔	0	3	8	170	140	160	-1	-1	0	0	加火系技能伤害	1400	1400	0	0	0	0	0	0	0	0	0
火魔	0	3	9	170	160	180	-1	-1	0	0	加火系技能伤害	1200	1200	0	0	0	0	0	0	0	0	0
火魔	0	3	10	170	180	200	-1	-1	0	0	加火系技能伤害	1000	1000	0	0	0	0	0	0	0	0	0
土魔	0	4	1	171	1	20	-1	-1	0	0	加土系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
土魔	0	4	2	171	20	40	-1	-1	0	0	加土系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
土魔	0	4	3	171	40	60	-1	-1	0	0	加土系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
土魔	0	4	4	171	60	80	-1	-1	0	0	加土系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
土魔	0	4	5	171	80	100	-1	-1	0	0	加土系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
土魔	0	4	6	171	100	120	-1	-1	0	0	加土系技能伤害	1800	1800	0	0	0	0	0	0	0	0	0
土魔	0	4	7	171	120	140	-1	-1	0	0	加土系技能伤害	1600	1600	0	0	0	0	0	0	0	0	0
土魔	0	4	8	171	140	160	-1	-1	0	0	加土系技能伤害	1400	1400	0	0	0	0	0	0	0	0	0
土魔	0	4	9	171	160	180	-1	-1	0	0	加土系技能伤害	1200	1200	0	0	0	0	0	0	0	0	0
土魔	0	4	10	171	180	200	-1	-1	0	0	加土系技能伤害	1000	1000	0	0	0	0	0	0	0	0	0
木魔	0	1	1	172	1	5	-1	-1	0	0	加木系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
木魔	0	1	2	172	5	10	-1	-1	0	0	加木系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
木魔	0	1	3	172	10	15	-1	-1	0	0	加木系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
木魔	0	1	4	172	15	20	-1	-1	0	0	加木系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
木魔	0	1	5	172	20	25	-1	-1	0	0	加木系技能伤害	2000	2000	0	0	0	0	0	0	0	0	0
木魔	0	1	6	172	25	30	-1	-1	0	0	加木系技能伤害	1800	1800	0	0	0	0	0	0	0	0	0
木魔	0	1	7	172	30	35	-1	-1	0	0	加木系技能伤害	1600	1600	0	0	0	0	0	0	0	0	0
木魔	0	1	8	172	35	40	-1	-1	0	0	加木系技能伤害	1400	1400	0	0	0	0	0	0	0	0	0
木魔	0	1	9	172	40	45	-1	-1	0	0	加木系技能伤害	1200	1200	0	0	0	0	0	0	0	0	0
木魔	0	1	10	172	45	50	-1	-1	0	0	加木系技能伤害	1000	1000	0	0	0	0	0	0	0	0	0
