Ãû³Æ	ItemGenre	DetailType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ParticularType
Qu¹t l¸ sen	4	190	\spr\item\questkey\taskobj067.spr	41	1	1	Lo¹i qu¹t c¸c v¨n sÜ thİch dïng	0
Vßng tay	4	191	\spr\item\equip\bangle\obj-bangle06.spr	41	1	2	Lo¹i vßng n÷ giíi th­êng ®eo 	0
Kh¨n Uyªn ¦¬ng	4	192	\spr\item\questkey\taskobj068.spr	41	1	1	Lo¹i kh¨n quÊn cã thªu h×nh ong b­ím, kü thuËt tinh x¶o. 	0
BUG	4	193	\spr\item\questkey\taskobj005.spr	41	1	1	Chóc mõng! B¹n ®· bŞ bug! 	0
Hoa t­¬i	4	194	\spr\item\questkey\flower.spr	330	1	1	Cã thÓ ®Ó biÓu ®¹t t×nh c¶m cña m×nh.	1
Nh¹c V­¬ng kiÕm 	4	195	\spr\item\questkey\ÔÀÍõ½£.spr	41	2	3	Béi kiÕm cña Nh¹c Phi, tİn vËt ®Ó kiÕn lËp bang héi	1
Ch×a khãa s¾t	4	196	\spr\item\questkey\taskobj092-6.spr	41	1	1	Mét chiÕc ch×a khãa t×m thÊy trong §iÓm Th­¬ng ®éng	0
Ch×a khãa  §ång	4	197	\spr\item\questkey\taskobj092-6.spr	41	1	1	Mét chiÕc ch×a khãa t×m thÊy trong §iÓm Th­¬ng ®éng	0
Ch×a khãa B¹c	4	198	\spr\item\questkey\taskobj092-6.spr	41	1	1	Mét chiÕc ch×a khãa t×m thÊy trong §iÓm Th­¬ng ®éng	0
§Şa ®å Trung nguyªn	4	199	\spr\item\questkey\taskobj076.spr	41	2	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 8	4	200	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 2	4	201	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Ch×a khãa C¸i bang Bİnh 	4	202	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa mËt ®éng C¸i bang, trªn kh¾c 1 ch÷  “Bİnh” 	0
Ch×a khãa C¸i bang Gi¸p 	4	203	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa mËt ®éng C¸i bang, trªn kh¾c 1 ch÷  “Gi¸p” 	0
Ch×a khãa C¸i bang Êt 	4	204	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa mËt ®éng C¸i bang, trªn kh¾c 1 ch÷  “Êt” 	0
Tói v¶i thø 9 	4	205	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 6	4	206	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 7 	4	207	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 3 	4	208	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 4 	4	209	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 5 	4	210	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Tói v¶i thø 1 	4	211	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Ch×a khãa KiÕn Tİnh phong s¬n  ®éng 	4	212	\spr\item\questkey\taskobj092.spr	41	1	1	Ch×a khãa t×m thÊy trong KiÕn Tİnh Phong s¬n  ®éng 	0
Ch×a khãa b¨ng lao 	4	213	\spr\item\questkey\taskobj092.spr	41	1	1	Ch×a khãa ®Ó më b¨ng lao	0
B¸t nhµ s­ 	4	214	\spr\item\questkey\taskobj032.spr	41	1	1	VËt phÈm nhiÖm vô  	0
ThiÒn tr­îng 	4	215	\spr\item\questkey\taskobj030.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Méc ng­ 	4	216	\spr\item\questkey\taskobj031.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Trµng h¹t 	4	217	\spr\item\questkey\taskobj029.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Kiªn Tinh Th¹ch	4	218	\spr\item\questkey\taskobj025.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Th­ tİn chøng minh	4	219	\spr\item\questkey\taskobj091.spr	41	1	1	Th­ do nh÷ng ¨n mµy ë BiÖn Kinh giao cho ThiÕu L©m Tù 	0
10 bao Tİn th¹ch	4	220	\spr\item\questkey\taskobj128.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Méc H­¬ng §Ønh thËt	4	221	\spr\item\questkey\taskobj081.spr	41	1	1	Méc H­¬ng §Ønh thËt, ph¸t ra ¸nh s¸ng huyÒn ¶o	0
Tİch §éc Ch©u 	4	222	\spr\item\questkey\taskobj083.spr	41	1	2	VËt phÈm nhiÖm vô  	0
Sîi l«ng Khæng t­íc thø 2 	4	223	\spr\item\questkey\taskobj079.spr	41	1	2	VËt phÈm nhiÖm vô  	0
Sîi l«ng Khæng t­íc thø 3 	4	224	\spr\item\questkey\taskobj080.spr	41	1	2	VËt phÈm nhiÖm vô  	0
Sîi l«ng Khæng t­íc thø 4 	4	225	\spr\item\questkey\taskobj081.spr	41	1	2	VËt phÈm nhiÖm vô  	0
Sîi l«ng Khæng t­íc thø 5 	4	226	\spr\item\questkey\taskobj082.spr	41	1	2	VËt phÈm nhiÖm vô  	0
Sîi l«ng Khæng t­íc thø 1 	4	227	\spr\item\questkey\taskobj078.spr	41	1	2	VËt phÈm nhiÖm vô  	0
ThŞt heo rõng	4	228	\spr\item\questkey\taskobj150.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Ph¸ ®ao	4	229	\spr\item\questkey\taskobj152.spr	41	1	2	Mét thanh ®ao bŞ g·y mÎ rÊt nham nhë 	0
B¶o ®ao	4	230	\spr\item\questkey\taskobj151.spr	41	1	2	Mét thanh ®ao ph¸t ra ¸nh s¸ng l¹nh, trªn kh¾c mét ch÷ “Bµnh” 	0
D­¬ng Xu©n Linh Chi	4	231	\spr\item\questkey\taskobj153.spr	41	1	1	Lo¹i d­îc th¶o chØ mäc ë nh÷ng vïng hoang d· 	0
B¹ch TuyÕt B¸ch Hîp	4	232	\spr\item\questkey\taskobj103.spr	41	1	1	Lo¹i B¸ch hîp hoa ®Æc thï, rÊt hiÕm thÊy	0
Giá c¬m 	4	233	\spr\item\questkey\taskobj154.spr	41	1	1	Lo¹i giá tre dïng ®ùng thøc ¨n	0
NhÉn cña A Kinh, 	4	234	\spr\item\equip\ring\obj-ring09.spr	41	1	1	Lo¹i nhÉn ®eo b»ng M· N·o, ®iªu kh¶m rÊt tinh tÕ 	0
Th­ v« danh 	4	235	\spr\item\questkey\taskobj091.spr	41	1	1	Th­ cña “V« Danh l·o gi¶” göi cho ch­ëng m«n hiÖn thêi	0
Thİch s¸t mËt hµm	4	236	\spr\item\questkey\taskobj091.spr	41	1	1	MËt hµm thİch s¸t Tr­¬ng TuÊn cña Kim quèc	0
Thóy Yªn CÊm ®Şa  ph¸ch 	4	237	\spr\item\questkey\taskobj007.spr	41	1	1	VËt phÈm nhiÖm vô  	0
Lam Thñy Tinh	4	238	\spr\item\questkey\baoshi_zhuanxu.spr	333	1	1	Lo¹i Thñy tinh cã thÓ lµm thay ®æi ngò hµnh cña trang bŞ 	1
Tö Thñy Tinh	4	239	\spr\item\questkey\baoshi_xingtian.spr	333	1	1	Lo¹i Thñy tinh cã thÓ n©ng cÊp trang bŞ.  	1
Lôc Thñy Tinh	4	240	\spr\item\questkey\baoshi_nvwa.spr	333	1	1	Lo¹i thñy tinh cã thÓ gióp thay ®æi c¸c thuéc tİnh cña trang bŞ 	1
Hoa s¬n  Anh hïng lÖnh	4	241	\spr\item\questkey\taskobj126.spr	336	1	1	Tİn vËt ®Ó tham gia Hoa s¬n  Anh Hïng héi 	0
